コード	名称	日経 業種	みなし額面	日時	株価	前日比	前日比(％)	前日終値	始値	高値	安値	出来高	売買代金(千円)	時価総額(百万円)	値幅下限	値幅上限
1332	日本水産	水産	50	2/24 15:00	558	-11	-1.93	569	567	567	558	3452700	1937354	174336	469	669
1333	マルハニチロ	水産	500	2/24 15:00	3340	-20	-0.60	3360	3355	3385	3330	218200	731817	175874	2660	4060
1605	国際石油開発帝石	鉱業	125	2/24 15:00	1147	+2	+0.17	1145	1143.5	1162.5	1135	5830000	6708174	1677285	845	1445
1721	コムシスホールディングス	建設	50	2/24 15:00	1994	-17	-0.85	2011	1988	1998	1980	587700	1170212	281154	1511	2511
1801	大成建設	建設	50	2/24 15:00	791	-6	-0.75	797	792	796	788	4257000	3371780	907082	647	947
1802	大林組	建設	50	2/24 15:00	1060	-11	-1.03	1071	1066	1073	1057	2286900	2433859	764800	771	1371
1803	清水建設	建設	50	2/24 15:00	1045	-8	-0.76	1053	1050	1053	1041	1611000	1686013	823998	753	1353
1808	長谷工コーポレーション	建設	250	2/24 15:00	1330	+10	+0.76	1320	1314	1332	1306	1986000	2630477	400057	1020	1620
1812	鹿島建設	建設	50	2/24 15:00	737	-5	-0.67	742	739	741	735	4816000	3551955	779239	592	892
1925	大和ハウス工業	建設	50	2/24 15:00	3134	-17	-0.54	3151	3136	3166	3129	1379800	4336817	2087991	2451	3851
1928	積水ハウス	建設	50	2/24 15:00	1815	+15.5	+0.86	1799.5	1800.5	1825.5	1798.5	2192100	3979178	1288075	1399.5	2199.5
1963	日揮	建設	50	2/24 15:00	2030	-25	-1.22	2055	2039	2052	2025	857800	1745652	525877	1555	2555
2002	日清製粉グループ本社	食品	50	2/24 15:00	1700	0	0.00	1700	1690	1712	1681	536900	912179	517408	1300	2100
2269	明治ホールディングス	食品	250	2/24 15:00	8950	+150	+1.70	8800	8890	9060	8880	1149400	10303345	1366516	7300	10300
2282	日本ハム	食品	50	2/24 15:00	3000	-10	-0.33	3010	2996	3040	2995	1294000	3896072	612000	2310	3710
2432	ディー・エヌ・エー	サービス	166.6	2/24 15:00	2484	+6	+0.24	2478	2461	2510	2455	1643700	4093165	374612	1978	2978
2501	サッポロホールディングス	食品	250	2/24 15:00	2850	+17	+0.60	2833	2825	2867	2825	529300	1507100	224564	2333	3335
2502	アサヒグループホールディングス	食品	50	2/24 15:00	4038	+8	+0.20	4030	4029	4094	4020	1109200	4493347	1952720	3330	4730
2503	キリンホールディングス	食品	50	2/24 15:00	1955	+6	+0.31	1949	1943.5	1967	1943	2590500	5068235	1786870	1549	2349
2531	宝ホールディングス	食品	50	2/24 15:00	1145	+1	+0.09	1144	1138	1148	1127	709700	810811	249266	844	1444
2768	双日	商社	500	2/24 15:00	298	-1	-0.33	299	298	301	297	11117200	3327222	372947	219	379
2801	キッコーマン	食品	50	2/24 15:00	3410	0	0.00	3410	3390	3435	3380	387000	1319325	717407	2710	4110
2802	味の素	食品	50	2/24 15:00	2254.5	+21	+0.94	2233.5	2229.5	2260	2228.5	2055700	4623854	1289266	1733.5	2733.5
2871	ニチレイ	食品	100	2/24 15:00	2605	+6	+0.23	2599	2583	2618	2574	458200	1191312	385346	2099	3100
2914	日本たばこ産業	食品	50	2/24 15:00	3805	-6	-0.16	3811	3825	3832	3791	2867500	10933118	7610000	3111	4511
3086	J.フロントリテイリング	小売業	100	2/24 15:00	1738	-25	-1.42	1763	1731	1748	1722	889400	1543948	465991	1349	2149
3099	三越伊勢丹ホールディングス	小売業	50	2/24 15:00	1427	+3	+0.21	1424	1416	1438	1411	1933400	2760347	563965	1124	1724
3101	東洋紡	繊維	50	2/24 15:00	197	-3	-1.50	200	200	200	197	2991000	593876	175426	120	280
3103	ユニチカ	繊維	50	2/24 15:00	94	+1	+1.08	93	93	97	93	29052000	2752740	54287	63	123
3105	日清紡ホールディングス	繊維	50	2/24 15:00	1174	-3	-0.25	1177	1171	1177	1161	375600	439851	209910	877	1477
3289	東急不動産ホールディングス	不動産	50	2/24 15:00	650	+1	+0.15	649	647	655	646	2409800	1567856	416540	549	749
3382	セブン＆アイ・ホールディングス	小売業	50	2/24 15:00	4386	-62	-1.39	4448	4353	4425	4353	2946400	12906554	3887935	3703	5103
3401	帝人	繊維	250	2/24 15:00	2176	-9	-0.41	2185	2173	2187	2166	1132200	2464433	428567	1685	2685
3402	東レ	繊維	50	2/24 15:00	1009	-8.5	-0.84	1017.5	1012	1017	1007.5	3889000	3932281	1646165	717.5	1317.5
3405	クラレ	化学	50	2/24 15:00	1727	-9	-0.52	1736	1725	1734	1708	1115800	1923209	612849	1336	2136
3407	旭化成	化学	50	2/24 15:00	1106.5	+7	+0.64	1099.5	1094.5	1113	1083.5	3443000	3794678	1551995	799.5	1399.5
3436	SUMCO	非鉄・金属	500	2/24 15:00	1717	-26	-1.49	1743	1720	1739	1706	5494400	9449126	503571	1343	2143
3861	王子ホールディングス	パルプ・紙	50	2/24 15:00	540	+1	+0.19	539	535	541	532	3854000	2072376	547766	439	639
3863	日本製紙	パルプ・紙	500	2/24 15:00	2061	-7	-0.34	2068	2053	2074	2053	590400	1218326	239601	1568	2568
3865	北越紀州製紙	パルプ・紙	50	2/24 15:00	781	0	0.00	781	780	785	774	330700	258040	163435	631	931
4004	昭和電工	化学	500	2/24 15:00	2000	-23	-1.14	2023	2005	2020	1983	915400	1832736	299423	1523	2523
4005	住友化学	化学	50	2/24 15:00	642	-6	-0.93	648	645	646	636	6689000	4294581	1062796	548	748
4021	日産化学工業	化学	50	2/24 15:00	3705	-70	-1.85	3775	3720	3735	3670	939400	3476438	570570	3075	4475
4042	東ソー	化学	50	2/24 15:00	985	-22	-2.18	1007	991	1021	798	14189000	13984092	640409	707	1307
4043	トクヤマ	化学	50	2/24 15:00	547	-15	-2.67	562	560	560	543	5899000	3242122	191271	462	662
4061	デンカ	化学	50	2/24 15:00	593	-7	-1.17	600	596	599	591	2108000	1252265	276311	500	700
4063	信越化学工業	化学	50	2/24 15:00	9754	-132	-1.34	9886	9811	9819	9742	1141500	11159364	4214769	8386	11390
4151	協和発酵キリン	医薬品	50	2/24 15:00	1685	-23	-1.35	1708	1703	1704	1680	716000	1209510	971375	1308	2108
4183	三井化学	化学	50	2/24 15:00	571	-7	-1.21	578	573	576	569	7581000	4334269	583573	478	678
4188	三菱ケミカルホールディングス	化学	100	2/24 15:00	876.7	-12.6	-1.42	889.3	880.4	889.6	874.6	5902400	5191704	1320563	739.3	1039.5
4208	宇部興産	化学	50	2/24 15:00	284	-6	-2.07	290	289	290	284	17622000	5054808	301608	210	370
4272	日本化薬	化学	50	2/24 15:00	1561	-18	-1.14	1579	1579	1579	1554	477000	747272	284888	1179	1979
4324	電通	サービス	50	2/24 15:00	6230	+80	+1.30	6150	6190	6250	6150	1104300	6855809	1796794	5150	7150
4452	花王	化学	50	2/24 15:00	5720	+16	+0.28	5704	5709	5749	5687	970300	5547838	2882880	4704	6704
4502	武田薬品工業	医薬品	50	2/24 15:00	5349	+12	+0.22	5337	5345	5358	5311	1740700	9299406	4227918	4337	6337
4503	アステラス製薬	医薬品	10	2/24 15:00	1531	+1.5	+0.10	1529.5	1529.5	1533.5	1520	6767000	10335975	3297503	1129.5	1929.5
4506	大日本住友製薬	医薬品	50	2/24 15:00	1997	+4	+0.20	1993	1977	2005	1975	830100	1655240	794607	1593	2393
4507	塩野義製薬	医薬品	50	2/24 15:00	5636	-28	-0.49	5664	5614	5650	5575	1584600	8907852	1855011	4664	6664
