概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
ＡＮＡホールディングス(9202)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 369円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価368円,ANAホールディングス,2017/04/01,16:29,買い予想,徳川慶喜さん,-2.73,340.6,-8.34,369,長期(数ヶ月～数年),チャート,,332.0,04月10日,11:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9202-ANAホールディングス/2017-04-10-11-52-02/comment\1.html
ＡＮＡホールディングス(9202)の売り予想。 有馬寿夫 さんの売買予想。 目標株価： 350円 期間： 短期(数分~数日) 理由： 配当(株主優待を含む) 個人投資家の意見「売り」に賛成,ANAホールディングス,2017/03/10,20:36,売り予想,有馬寿夫さん,-7.81,350.0,+14.13,350,短期(数分～数日),配当(株主優待を含む),,332.0,04月10日,11:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9202-ANAホールディングス/2017-04-10-11-52-02/comment\10.html
ＡＮＡホールディングス(9202)の買い予想。 kuracchi さんの売買予想。 目標株価： 403円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価403円,ANAホールディングス,2015/12/03,09:40,買い予想,kuracchiさん,-22.31,348.0,-14.21,403,中期(数週間～数ヶ月),チャート,,332.0,04月10日,11:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9202-ANAホールディングス/2017-04-10-11-52-02/comment\100.html
ＡＮＡホールディングス(9202)の買い予想。 totasu さんの売買予想。 目標株価： 415円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「売り」に反対,ANAホールディングス,2015/12/02,14:05,買い予想,totasuさん,-4.12,352.0,-17.28,415,中期(数週間～数ヶ月),個人投資家の予想,,332.0,04月10日,11:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9202-ANAホールディングス/2017-04-10-11-52-02/comment\101.html
ＡＮＡホールディングス(9202)の買い予想。 musasi3 さんの売買予想。 目標株価： 365円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価365円,ANAホールディングス,2015/12/02,00:02,買い予想,musasi3さん,232.34,348.9,-14.91,365,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,332.0,04月10日,11:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9202-ANAホールディングス/2017-04-10-11-52-02/comment\102.html
ＡＮＡホールディングス(9202)の売り予想。 ゆうちゃん0214 さんの売買予想。 目標株価： 370円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 売り予想 短期 目標株価365円,ANAホールディングス,2015/11/14,21:34,売り予想,ゆうちゃん0214さん,52.2,360.2,+21.78,370,中期(数週間～数ヶ月),個人投資家の予想,,332.0,04月10日,11:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9202-ANAホールディングス/2017-04-10-11-52-02/comment\103.html
ＡＮＡホールディングス(9202)の買い予想。 素人の独り言 さんの売買予想。 目標株価： 350円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対,ANAホールディングス,2015/09/30,16:43,買い予想,素人の独り言さん,-7.49,336.0,-4.57,350,中期(数週間～数ヶ月),チャート,,332.0,04月10日,11:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9202-ANAホールディングス/2017-04-10-11-52-02/comment\104.html
ＡＮＡホールディングス(9202)の買い予想。 MADMAX さんの売買予想。 目標株価： 400円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,ANAホールディングス,2015/09/29,22:16,買い予想,MADMAXさん,31.81,340.3,-8.10,400,中期(数週間～数ヶ月),その他,,332.0,04月10日,11:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9202-ANAホールディングス/2017-04-10-11-52-02/comment\105.html
ＡＮＡホールディングス(9202)の買い予想。 azutsubahika さんの売買予想。 目標株価： 700円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対,ANAホールディングス,2015/09/15,13:47,買い予想,azutsubahikaさん,43.64,341.0,-8.67,700,長期(数ヶ月～数年),その他,,332.0,04月10日,11:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9202-ANAホールディングス/2017-04-10-11-52-02/comment\106.html
ＡＮＡホールディングス(9202)の買い予想。 bone さんの売買予想。 目標株価： 355円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 株主優待,ANAホールディングス,2015/09/08,21:53,買い予想,boneさん,-29.68,341.0,-8.67,355,長期(数ヶ月～数年),配当(株主優待を含む),,332.0,04月10日,11:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9202-ANAホールディングス/2017-04-10-11-52-02/comment\107.html
