概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
ＩＨＩ(7013)の買い予想。 nightpassage さんの売買予想。 目標株価： 378円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,IHI,2017/04/09,15:51,買い予想,nightpassageさん,9.06,成り行き ,,378,中期(数週間～数ヶ月),チャート,,367.0,04月09日,20:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\1.html
ＩＨＩ(7013)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 519円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価519円,IHI,2017/02/26,15:44,買い予想,Newジェントルマンさん,-5.41,341.0,+20.84,519,中期(数週間～数ヶ月),その他,,367.0,04月09日,20:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\10.html
ＩＨＩ(7013)の売り予想。 Rin@DragonBrah さんの売買予想。 目標株価： 437円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対,IHI,2014/06/23,11:28,売り予想,Rin@DragonBrahさん,10.56,466.0,+59.80,437,中期(数週間～数ヶ月),チャート,,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\100.html
ＩＨＩ(7013)の売り予想。 akira1957 さんの売買予想。 目標株価： 438円 期間： 短期(数分~数日) 理由： チャート 株価診断結果「割高」に賛成,IHI,2014/06/17,10:12,売り予想,akira1957さん,27.23,442.0,+47.60,438,短期(数分～数日),チャート,"【株価分析結果】2014/06/17 02:08
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「438円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

",367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\101.html
ＩＨＩ(7013)の買い予想。 pur*ty*ri2 さんの売買予想。 目標株価： 504円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価502円,IHI,2014/06/11,19:00,買い予想,pur*ty*ri2さん,321.63,448.0,-52.04,504,長期(数ヶ月～数年),その他,,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\102.html
ＩＨＩ(7013)の買い予想。 macca1107 さんの売買予想。 目標株価： 553円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成,IHI,2014/06/11,09:15,買い予想,macca1107さん,48.74,448.0,-52.04,553,長期(数ヶ月～数年),その他,,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\103.html
ＩＨＩ(7013)の買い予想。 生涯現役 さんの売買予想。 目標株価： 406円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,IHI,2014/05/23,21:10,買い予想,生涯現役さん,79.35,405.0,-27.38,406,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\104.html
ＩＨＩ(7013)の買い予想。 ☆たけちゃん☆ さんの売買予想。 目標株価： 526円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,IHI,2014/04/11,08:27,買い予想,☆たけちゃん☆さん,93.38,397.0,-22.20,526,中期(数週間～数ヶ月),その他,,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\105.html
ＩＨＩ(7013)の買い予想。 ☆くまもん☆ さんの売買予想。 目標株価： 620円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 米ＧＥの次世代旅客機エンジン開発にシェア12％で参画へ。,IHI,2014/04/11,08:17,買い予想,☆くまもん☆さん,202.74,397.0,-22.20,620,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"11/18
ＰＥＲ ＰＢＲ 利回り 信用倍率 
25.2倍 2.56倍 1.05％ 3.08倍 

570円　 +22 (+4.0％)　　　

 　18日付の朝刊で「GE次世代旅客機エンジン開発に参画へ」と一部報じられたことが買い材料視された。
米ＧＥの次世代旅客機エンジン開発にシェア12％で参画へ。


11/6
ＰＥＲ ＰＢＲ 利回り 信用倍率 
24.7倍 2.50倍 1.08％ 3.97倍 

558円 前日比  +1 (+0.18%) 

レーティング【最上位を継続＋目標株価を増額】　(11月6日)
ＩＨＩ　　　野村　　　　買い　　　　550→650　　　　11/6


11/5
上期経常が38％増益で着地・7-9月期も2.5倍増益

　11月5日後場(14:00)に決算を発表。15年3月期第2四半期累計(4-9月)の連結経常利益は前年同期比38.4％増の323億円に拡大し、通期計画の570億円に対する進捗率は56.7％に達し、5年平均の36.1％も上回った。
 　直近3ヵ月の実績である7-9月期(2Q)の連結経常利益は前年同期比2.5倍の201億円に急拡大し、売上営業利益率は前年同期の4.1％→4.1％とほぼ横ばいだった。


10/27
ＰＥＲ ＰＢＲ 利回り 信用倍率 
23.7倍 2.51倍 1.12％ 3.79倍 

537円 前日比  0 (0.00%) 

上期経常を35％上方修正

　10月27日大引け後(16:00)に業績修正を発表。15年3月期第2四半期累計(4-9月)の連結経常利益を従来予想の240億円→323億円(前年同期は233億円)に34.6％上方修正し、増益率が2.7％増→38.2％増に拡大する見通しとなった。
 　なお、通期の経常利益は従来予想の570億円(前期は532億円)を据え置いた。


10/22
ＰＥＲ ＰＢＲ 利回り 信用倍率 
23.2倍 2.46倍 1.14％ 3.79倍 

526円 前日比  +25 (+4.99%) 

上期最終益は49％増の190億円の公算。従来予想(10％増の140億円)を上回り、上期として4期ぶりに過去最高を更新。


10/2
ＰＥＲ ＰＢＲ 利回り 信用倍率 
23.8倍 2.52倍 1.11％ 1.59倍 

539円 前日比  -16 (-2.88%) 

レーティング【最上位を継続＋目標株価を増額】
ＩＨＩ 　　　メリル　　　買い　　　　580→670　　　　10/2


9/18
ＰＥＲ ＰＢＲ 利回り 信用倍率 
22.7倍 2.41倍 1.17％ 2.00倍 

514円 前日比  +9 (+1.78%) 

レーティング【格上げ↑】　
ＩＨＩ　　　Ｃスイス　　中立→強気　450→600　　　　9/18


8/21
ＰＥＲ ＰＢＲ 利回り 信用倍率 
21.7倍 2.30倍 1.22％ 3.59倍 

 491円　 +13 (+2.7％)　　　

 　21日付の朝刊で「同社などが純国産戦闘機のエンジンを試作へ」と一部報じられたことが買い材料視された。


8/11
レーティング【最上位を継続＋目標株価を増額】
ＩＨＩ　　　　野村　　　　買い　　　　480→550　　　　8/11


8/4
ＰＥＲ ＰＢＲ 利回り 信用倍率 
21.5倍 2.28倍 1.23％ 2.74倍 

487円 前日比  +9 (+1.88%) 

上期経常を一転3％増益に上方修正

　8月4日後場(14:00)に決算を発表。15年3月期第1四半期(4-6月)の連結経常利益は前年同期比20.0％減の121億円に減った。
 　しかしながら、併せて4-9月期(上期)の同利益を従来予想の210億円→240億円(前年同期は233億円)に14.3％上方修正し、一転して2.7％増益見通しとなった。
 　なお、通期の経常利益は従来予想の570億円(前期は532億円)を据え置いた。
 　直近3ヵ月の実績である4-6月期(1Q)の売上営業利益率は前年同期の3.1％→5.4％に改善した。


7/25
ＰＥＲ ＰＢＲ 利回り 信用倍率 
21.3倍 2.16倍 1.24％ 2.65倍 

483円　 +11 (+2.3％)　　

 　25日付の朝刊で「4-6月営業益は80％増の140億円の模様」と一部報じられたことが買い材料視された。


7/10
重機械セクターのトップピックとの評価

　メリルリンチ（ML）では投資判断を「中立」から「買い」に格上げ、目標株価も520円から580円に引き上げている。航空機エンジン事業が収益回収期に入る見込みであること、海外の大型工事が収益寄与するフェーズに入ること、自動車用ターボチャージャが内定案件の寄与で販売台数が拡大することなどを評価。重機械セクターのトップピックとして推奨しているようだ。


6/12
洋上原油設備を二百数十億円で受注。


6/10
ＰＥＲ 19.8倍
ＰＢＲ 2.01倍
利回り 1.34％
信用倍率 6.51倍 

448円　 +3 (+0.7％)　　　

 　日刊工業新聞が10日付で「ＩＨＩは海洋開発事業大手のノルウェー・ＢＷオフショア(BWO)から浮体式海洋石油・ガス生産貯蔵積出設備(FPSO)船体部分を受注した。受注額は二百数十億円と見られる」と報じたことが買い材料視された。報道によると「2015年春から愛知工場(愛知県知多市)で建造する。完成後はＢＷＯが英プレミアオイルにリースし、17年半ばから北海で運用する」としている。FPSOの受注を素直に好感した買いが向かった。


6/9
江東区 東京五輪へロープウエー建設を要望
江東区・豊洲地区を中心に不動産価格上昇や再開発などの思惑も高まりやすい。


5/23
ＰＥＲ 17.5倍
ＰＢＲ  1.78倍
利回り 1.51％
信用倍率 10.98倍

397円 前日比  +6 (+1.53%)

23日付の朝刊で「福島と群馬に航空機エンジン工場を新設」と一部報じられたことが買い材料視された。4/27にも同ニュースあり。 


5/21
ＰＥＲ 17.0倍
ＰＢＲ 1.72倍
利回り 1.56％
信用倍率 10.98倍 

 384円　 +1 (+0.3％)　　　
 　21日付の朝刊で「インドネシアでシールド掘進機を受注」と一部報じられたことが買い材料視された。


5/10 ＩＨＩ、欧米軍需品大手とミサイルの推進装置開発で協議。新三原則の導入に対応。


今期経常は7％増で2期連続最高益、前期配当を1円増額・今期も6円継続へ

　5月8日後場(14:00)に決算を発表。14年3月期の連結経常利益は前の期比47.0％増の532億円に拡大し、15年3月期も前期比7.1％増の570億円に伸びを見込み、2期連続で過去最高益を更新する見通しとなった。4期連続増収になる。

 　同時に、前期の年間配当を5円→6円(前の期は5円)に増額し、今期も6円を継続する方針とした。



5/2 米サード・ポイントによる株式保有を材料視

   米サード・ポイントが同社株の保有を明らかにしたと伝わっている。1株1000円以上の価値があるとし、過去のコングロマリット型組織を脱して「高リターン分野」に集中すれば利益を押し上げられると指摘しているようだ。ソニーにエンタメ部門の分離・上場を提案をしたことで知られる投資ファンドであり、格好の押し目買い材料につながる状況へ。


4/27 ＩＨＩ、福島・群馬に航空機エンジン新工場を建設。17年度に生産能力を3割増に 


4/11 東京・砂町工場閉鎖　再開発案件、都と交渉（日刊工）


4/03 ＩＨＩ、丸紅とタイでLNG輸入基地を400億円強で受注。高度な設計・建設ノウハウ生かす。 


3/19 ＩＨＩ、過給機の生産能力を15年度に15％増へ。中国や欧州で現地生産増やす。 


3/14 ＩＨＩ、三菱重と提携へ。航空機エンジン事業の新会社を共同で設立。政投銀も出資。


2/25 ＩＨＩ、ボイラー部品を増産。４億円を投じ、工場自動化、生産能力２割増へ。 


2/11 ＩＨＩ、「イプシロン」の衛星搭載能力を３割増へ。素材・設計見直し、打ち上げ費用安く 


1/31 ＩＨＩ、水門の自動開閉装置発売。安全性に優れ割安、津波対策の更新需要狙う。 


1/20 ＩＨＩ、津波・水害時に利用の救命艇を量産。アジア需要狙う。年産300隻体制整える。 


1/18 ＩＨＩ、老朽石炭火力の改修技術開発。発電効率を最高水準に。費用は新設の1/5。 


12/23 ＩＨＩ、人材育成プログラムを国内グループ約50社で統一。事業のグローバル化に対応。 


12/14 ＩＨＩ、ボイラー等の運用のネット監視サービスを開始。競合と差別化、東南ア開拓に活用。 


12/07 ＩＨＩ、立体駐車場を無料で建設し、長期の運営受託で収益確保。海外でも展開。 


11/26 ＩＨＩ、トルコで同社らの共同企業体がボスポラス海峡の橋改修工事を125億円で受注。 


11/23 ＩＨＩ、車燃費改善へ部品加工技術を開発。表面処理で摩擦抑制。印・北米を開拓。 


11/15 ＩＨＩ、屋外で燃料用藻の安定培養に成功。生産コストを1リットル1000円→500円に。 


11/14 「15年度をめどに人工衛星事業に参入」 


11/12 ＩＨＩ、中国で低価格農機販売。欧米大手の1/5以下。5年後、中国農機売上10倍に。 


11/06 ＩＨＩ、最新鋭ステルス戦闘機「F35」のエンジンを米P&W社と共同生産へ。日本企業で初。 


",367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\106.html
ＩＨＩ(7013)の買い予想。 シマネコ さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： その他 インフラ輸出 原発再稼働の流れで,IHI,2014/01/30,09:07,買い予想,シマネコさん,43.54,477.0,-66.17,500,中期(数週間～数ヶ月),その他,,367.0,04月09日,20:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7013-IHI/2017-04-09-20-44-33/comment\107.html
