0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"Ｊ．フロント リテイリング(3086)の売り予想。 クニハロー さんの売買予想。 目標株価： 1,582円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対",J.フロントリテイリング,2017/03/31,20:22,売り予想,クニハローさん,-0.11,"1,661.0",+13.52,"1,582",中期(数週間～数ヶ月),チャート,,"1,581.0",04月08日,20:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\1.html
"Ｊ．フロント リテイリング(3086)の買い予想。 tasuke-evian さんの売買予想。 目標株価： 1,766円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",J.フロントリテイリング,2016/03/30,17:24,買い予想,tasuke-evianさん,48.65,"1,498.0",+15.56,"1,766",短期(数分～数日),チャート,,"1,581.0",04月08日,20:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\10.html
"Ｊ．フロント リテイリング(3086)の買い予想。 モーリィー さんの売買予想。 目標株価： 1,906円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価1,906円",J.フロントリテイリング,2016/01/23,20:57,買い予想,モーリィーさん,-1.6,"1,595.0",-2.67,"1,906",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,581.0",04月08日,20:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\11.html
Ｊ．フロント リテイリング(3086)の売り予想。 松岡政也 さんの売買予想。 目標株価： 929円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,J.フロントリテイリング,2015/11/22,18:56,売り予想,松岡政也さん,-25.38,"2,027.0",+62.42,929,長期(数ヶ月～数年),その他,"【株価分析結果】2015/11/21 01:12
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,929円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","1,581.0",04月08日,20:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\12.html
"Ｊ．フロント リテイリング(3086)の買い予想。 munmu さんの売買予想。 目標株価： 2,360円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価2,360円",J.フロントリテイリング,2015/11/06,18:43,買い予想,munmuさん,-41.13,"2,010.0",-60.83,"2,360",長期(数ヶ月～数年),チャート,,"1,581.0",04月08日,20:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\13.html
"Ｊ．フロント リテイリング(3086)の売り予想。 会社員Ａ さんの売買予想。 目標株価： 1,900円 期間： 長期(数ヶ月～数年) 理由： チャート 買いライン",J.フロントリテイリング,2015/11/01,22:03,売り予想,会社員Ａさん,13.47,"1,963.0",+55.19,"1,900",長期(数ヶ月～数年),チャート,,"1,581.0",04月08日,20:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\14.html
"Ｊ．フロント リテイリング(3086)の買い予想。 pinksapphire さんの売買予想。 目標株価： 2,145円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",J.フロントリテイリング,2015/10/07,08:28,買い予想,pinksapphireさん,40.24,"2,049.0",-65.08,"2,145",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,581.0",04月08日,20:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\15.html
"Ｊ．フロント リテイリング(3086)の買い予想。 如月菜 さんの売買予想。 目標株価： 1,743円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割安」に賛成",J.フロントリテイリング,2015/09/08,06:32,買い予想,如月菜さん,5.6,"1,737.0",-25.70,"1,743",長期(数ヶ月～数年),その他,"【株価分析結果】2015/09/08 01:14　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,757円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。","1,581.0",04月08日,20:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\16.html
"Ｊ．フロント リテイリング(3086)の買い予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 2,877円 期間： 長期(数ヶ月～数年) 理由： チャート 御祝い。大阪市・住民投票・勝利で、「買い」",J.フロントリテイリング,2015/08/17,23:10,買い予想,エグゼクティブ・まっちさん,-14.13,"2,201.0",-80.23,"2,876",長期(数ヶ月～数年),チャート,,"1,581.0",04月08日,20:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\17.html
Ｊ．フロント リテイリング(3086)の売り予想。 短期決戦 さんの売買予想。 目標株価： 700円 期間： 長期(数ヶ月～数年) 理由： チャート 売り転。,J.フロントリテイリング,2015/07/11,16:14,売り予想,短期決戦さん,131.46,"2,269.0",+86.09,700,長期(数ヶ月～数年),チャート,,"1,581.0",04月08日,20:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\18.html
"Ｊ．フロント リテイリング(3086)の買い予想。 Brutale さんの売買予想。 目標株価： 2,400円 期間： 短期(数分~数日) 理由： チャート 買い",J.フロントリテイリング,2015/06/16,01:14,買い予想,Brutaleさん,-4.6,"2,255.0",-85.11,"2,400",短期(数分～数日),チャート,,"1,581.0",04月08日,20:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\19.html
"Ｊ．フロント リテイリング(3086)の買い予想。 twitter88 さんの売買予想。 目標株価： 2,366円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価2,364円",J.フロントリテイリング,2017/03/27,15:58,買い予想,twitter88さん,-0.95,"1,696.0",-19.44,"2,366",長期(数ヶ月～数年),チャート,,"1,581.0",04月08日,20:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\2.html
"Ｊ．フロント リテイリング(3086)の買い予想。 asakiti さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 買い",J.フロントリテイリング,2015/02/25,00:18,買い予想,asakitiさん,-22.85,"1,640.0",-10.40,"1,000",長期(数ヶ月～数年),個人投資家の予想,,"1,581.0",04月08日,20:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\20.html
"Ｊ．フロント リテイリング(3086)の買い予想。 荒野ノ大鷹 さんの売買予想。 目標株価： 1,799円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価1,799円",J.フロントリテイリング,2014/12/15,17:19,買い予想,荒野ノ大鷹さん,51.47,"1,402.0",+36.10,"1,799",長期(数ヶ月～数年),その他,,"1,581.0",04月08日,20:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\21.html
"Ｊ．フロント リテイリング(3086)の売り予想。 いぬ尾 さんの売買予想。 目標株価： 1,350円 期間： 中期(数週間~数ヶ月) 理由： その他 売り予想 中期 目標株価1,350円",J.フロントリテイリング,2014/12/12,18:13,売り予想,いぬ尾さん,-69.26,"1,378.0",-42.09,"1,350",中期(数週間～数ヶ月),その他,,"1,581.0",04月08日,20:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3086-J.フロントリテイリング/2017-04-08-20-53-26/comment\22.html
