0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ＮＴＴドコモ(9437)の買い予想。 やったるで さんの売買予想。 目標株価： 2,684円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価2,684円",NTTドコモ,2017/04/04,11:20,買い予想,やったるでさん,-0.03,"2,643.0",-1.45,"2,684",短期(数分～数日),チャート,,"2,630.5",04月10日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9437-NTTドコモ/2017-04-10-12-41-59/comment\1.html
"ＮＴＴドコモ(9437)の買い予想。 京子ちゃん さんの売買予想。 目標株価： 2,800円 期間： 長期(数ヶ月～数年) 理由： チャート 逆張り･･･。買い♪",NTTドコモ,2016/12/07,17:34,買い予想,京子ちゃんさん,3.22,"2,587.0",+4.67,"2,800",長期(数ヶ月～数年),チャート,"割安です。
ディフェンシブ株･･･。
下がった分、値上がりするものと、予想します。
如何でしょうか･･･♪
","2,630.5",04月10日,12:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9437-NTTドコモ/2017-04-10-12-41-59/comment\10.html
"ＮＴＴドコモ(9437)の買い予想。 血で染まる雪 さんの売買予想。 目標株価： 2,200円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",NTTドコモ,2014/11/25,09:34,買い予想,血で染まる雪さん,18.72,"1,834.0",+123.34,"2,200",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,630.5",04月10日,12:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9437-NTTドコモ/2017-04-10-12-41-59/comment\100.html
"ＮＴＴドコモ(9437)の買い予想。 ラッキーワンチャン さんの売買予想。 目標株価： 1,900円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",NTTドコモ,2014/11/02,09:30,買い予想,ラッキーワンチャンさん,43.57,"1,880.0",+113.36,"1,900",中期(数週間～数ヶ月),個人投資家の予想,,"2,630.5",04月10日,12:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9437-NTTドコモ/2017-04-10-12-41-59/comment\101.html
"ＮＴＴドコモ(9437)の買い予想。 アジア さんの売買予想。 目標株価： 1,661円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",NTTドコモ,2014/10/18,00:55,買い予想,アジアさん,-5.18,"1,661.0",+165.80,"1,660",中期(数週間～数ヶ月),その他,,"2,630.5",04月10日,12:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9437-NTTドコモ/2017-04-10-12-41-59/comment\102.html
"ＮＴＴドコモ(9437)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 1,202円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対",NTTドコモ,2014/10/10,00:46,売り予想,エグゼクティブ・まっちさん,-14.13,"1,695.0",-157.11,"1,202",長期(数ヶ月～数年),チャート,,"2,630.5",04月10日,12:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9437-NTTドコモ/2017-04-10-12-41-59/comment\103.html
"ＮＴＴドコモ(9437)の買い予想。 coopee06 さんの売買予想。 目標株価： 1,950円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,950円",NTTドコモ,2014/10/02,18:56,買い予想,coopee06さん,76.41,"1,754.0",+141.93,"1,950",長期(数ヶ月～数年),チャート,,"2,630.5",04月10日,12:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9437-NTTドコモ/2017-04-10-12-41-59/comment\104.html
"ＮＴＴドコモ(9437)の買い予想。 SG1113 さんの売買予想。 目標株価： 1,918円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",NTTドコモ,2014/09/10,19:02,買い予想,SG1113さん,-32.27,"1,880.0",+113.36,"1,917",短期(数分～数日),業績(会社計画の修正発表を含む),,"2,630.5",04月10日,12:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9437-NTTドコモ/2017-04-10-12-41-59/comment\105.html
"ＮＴＴドコモ(9437)の買い予想。 kinbeni さんの売買予想。 目標株価： 2,179円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",NTTドコモ,2014/08/20,21:11,買い予想,kinbeniさん,19.98,"1,831.0",+124.00,"2,179",長期(数ヶ月～数年),チャート,,"2,630.5",04月10日,12:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9437-NTTドコモ/2017-04-10-12-41-59/comment\106.html
"ＮＴＴドコモ(9437)の買い予想。 もか7 さんの売買予想。 目標株価： 1,800円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 何となく",NTTドコモ,2014/08/09,12:04,買い予想,もか7さん,-1.99,"1,800.0",+131.04,"1,800",短期(数分～数日),業績(会社計画の修正発表を含む),,"2,630.5",04月10日,12:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9437-NTTドコモ/2017-04-10-12-41-59/comment\107.html
