0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ＳＣＲＥＥＮホールディングス(7735)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 7,781円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 84.2ps",SCREENホールディングス,2017/04/03,09:00,売り予想,７本ＤＭさん,0.86,"8,280.0",+18.16,"7,780",中期(数週間～数ヶ月),個人投資家の予想,,"7,750.0",04月10日,01:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\1.html
"ＳＣＲＥＥＮホールディングス(7735)の買い予想。 ma-cyann さんの売買予想。 目標株価： 7,524円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",SCREENホールディングス,2017/02/06,18:40,買い予想,ma-cyannさん,8.04,"6,850.0",+37.31,"7,524",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"平成29年3月期第3四半期決算短信〔日本基準〕（連結）(適時開示)
2017/02/06(16:00)
http://minkabu.jp/stock/7735/news/1229326","7,750.0",04月10日,01:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\10.html
"ＳＣＲＥＥＮホールディングス(7735)の買い予想。 kabukabuman さんの売買予想。 目標株価： 7,500円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",SCREENホールディングス,2017/02/03,01:21,買い予想,kabukabumanさん,1.01,"7,010.0",+29.97,"7,500",中期(数週間～数ヶ月),その他,,"7,750.0",04月10日,01:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\11.html
"ＳＣＲＥＥＮホールディングス(7735)の売り予想。 ちくわまる さんの売買予想。 目標株価： 6,265円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に反対",SCREENホールディングス,2017/01/06,19:04,売り予想,ちくわまるさん,-30.13,"7,120.0",-25.20,"6,265",短期(数分～数日),チャート,,"7,750.0",04月10日,01:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\12.html
"ＳＣＲＥＥＮホールディングス(7735)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 4,977円 期間： 長期(数ヶ月～数年) 理由： チャート 2017",SCREENホールディングス,2017/01/05,16:54,売り予想,エグゼクティブ・まっちさん,-14.13,"7,030.0",-29.16,"4,977",長期(数ヶ月～数年),チャート,,"7,750.0",04月10日,01:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\13.html
"ＳＣＲＥＥＮホールディングス(7735)の売り予想。 わたつみの自游人 さんの売買予想。 目標株価： 6,048円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に反対",SCREENホールディングス,2016/11/17,09:23,売り予想,わたつみの自游人さん,89.36,"6,660.0",-46.58,"6,048",短期(数分～数日),チャート,,"7,750.0",04月10日,01:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\14.html
"ＳＣＲＥＥＮホールディングス(7735)の買い予想。 coopee06 さんの売買予想。 目標株価： 7,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,400円",SCREENホールディングス,2016/09/17,18:49,買い予想,coopee06さん,76.41,"6,220.0",+69.90,"7,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"7,750.0",04月10日,01:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\15.html
"ＳＣＲＥＥＮホールディングス(7735)の買い予想。 fsicon さんの売買予想。 目標株価： 5,390円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 買い予想 長期 目標株価1,066円",SCREENホールディングス,2016/07/10,17:00,買い予想,fsiconさん,11.38,"5,420.0",+122.19,"5,390",長期(数ヶ月～数年),個人投資家の予想,,"7,750.0",04月10日,01:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\16.html
"ＳＣＲＥＥＮホールディングス(7735)の買い予想。 にゃいた さんの売買予想。 目標株価： 7,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,500円",SCREENホールディングス,2016/07/07,22:17,買い予想,にゃいたさん,24.97,"5,275.0",+133.36,"7,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"7,750.0",04月10日,01:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\17.html
"ＳＣＲＥＥＮホールディングス(7735)の買い予想。 かしやのよっちゃん さんの売買予想。 目標株価： 7,080円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,408円",SCREENホールディングス,2016/06/01,17:09,買い予想,かしやのよっちゃんさん,1.61,"5,255.0",+134.95,"7,080",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"7,750.0",04月10日,01:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\18.html
"ＳＣＲＥＥＮホールディングス(7735)の売り予想。 大金太郎 さんの売買予想。 目標株価： 3,355円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対",SCREENホールディングス,2016/03/20,11:49,売り予想,大金太郎さん,10.9,"3,930.0",-276.47,"3,355",長期(数ヶ月～数年),チャート,,"7,750.0",04月10日,01:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\19.html
"ＳＣＲＥＥＮホールディングス(7735)の買い予想。 twitter88 さんの売買予想。 目標株価： 11,607円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価11,600円",SCREENホールディングス,2017/03/27,14:56,買い予想,twitter88さん,-0.95,"7,880.0",-4.72,"11,607",長期(数ヶ月～数年),チャート,,"7,750.0",04月10日,01:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\2.html
"ＳＣＲＥＥＮホールディングス(7735)の売り予想。 松岡政也 さんの売買予想。 目標株価： 2,188円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想",SCREENホールディングス,2015/12/13,12:30,売り予想,松岡政也さん,-25.38,"4,250.0",-234.24,"2,187",長期(数ヶ月～数年),その他,,"7,750.0",04月10日,01:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\20.html
"ＳＣＲＥＥＮホールディングス(7735)の売り予想。 yu-ji さんの売買予想。 目標株価： 2,750円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 長期 目標株価550円",SCREENホールディングス,2015/11/13,20:05,売り予想,yu-jiさん,-79.26,"4,135.0",-248.66,"2,750",中期(数週間～数ヶ月),チャート,,"7,750.0",04月10日,01:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\21.html
"ＳＣＲＥＥＮホールディングス(7735)の買い予想。 ファミリア、マクハリ さんの売買予想。 目標株価： 3,135円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",SCREENホールディングス,2015/10/14,19:29,買い予想,ファミリア、マクハリさん,148.36,"3,020.0",+445.27,"3,135",短期(数分～数日),個人投資家の予想,,"7,750.0",04月10日,01:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\22.html
"ＳＣＲＥＥＮホールディングス(7735)の買い予想。 pinksapphire さんの売買予想。 目標株価： 4,260円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",SCREENホールディングス,2015/10/10,17:16,買い予想,pinksapphireさん,40.24,"3,205.0",+403.16,"4,260",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"7,750.0",04月10日,01:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7735-SCREENホールディングス/2017-04-10-01-17-09/comment\23.html
