概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ＳＵＭＣＯ(3436)の買い予想。 kabukabuman さんの売買予想。 目標株価： 1,900円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",SUMCO,2017/04/07,11:32,買い予想,kabukabumanさん,1.01,"1,786.0",+2.54,"1,900",長期(数ヶ月～数年),その他,,"1,803.0",04月08日,22:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3436-SUMCO/2017-04-08-22-05-31/comment\1.html
"ＳＵＭＣＯ(3436)の買い予想。 ぽっぷさん さんの売買予想。 目標株価： 1,810円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",SUMCO,2017/02/04,21:31,買い予想,ぽっぷさんさん,2.82,"1,754.0",+7.78,"1,810",中期(数週間～数ヶ月),その他,レーティングとして。,"1,803.0",04月08日,22:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3436-SUMCO/2017-04-08-22-05-31/comment\10.html
"ＳＵＭＣＯ(3436)の買い予想。 風来の相場師 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 強気",SUMCO,2013/08/30,15:32,買い予想,風来の相場師さん,112.18,820.0,+340.53,"1,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),業績は良好な決算｡下値は限定的｡下がれば買い増しのｽﾀﾝｽで間違いないかと,"1,803.0",04月08日,22:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3436-SUMCO/2017-04-08-22-05-31/comment\100.html
"ＳＵＭＣＯ(3436)の買い予想。 株って食べ物だっけ？ﾚﾍﾞﾙ さんの売買予想。 目標株価： 1,400円 期間： 長期(数ヶ月～数年) 理由： チャート 買い",SUMCO,2013/07/28,03:17,買い予想,株って食べ物だっけ？ﾚﾍﾞﾙさん,26.59,880.0,+297.93,"1,400",長期(数ヶ月～数年),チャート,,"1,803.0",04月08日,22:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3436-SUMCO/2017-04-08-22-05-31/comment\101.html
"ＳＵＭＣＯ(3436)の買い予想。 レイジ５５ さんの売買予想。 目標株価： 1,063円 期間： 短期(数分~数日) 理由： チャート 安すぎ！ 今月中に1100台になるｖ",SUMCO,2013/07/23,11:42,買い予想,レイジ５５さん,79.8,967.0,+245.54,"1,063",短期(数分～数日),チャート,,"1,803.0",04月08日,22:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3436-SUMCO/2017-04-08-22-05-31/comment\102.html
"ＳＵＭＣＯ(3436)の買い予想。 ビッグバン2011 さんの売買予想。 目標株価： 1,119円 期間： 中期(数週間~数ヶ月) 理由： チャート 1000円に接近",SUMCO,2013/07/20,10:47,買い予想,ビッグバン2011さん,-8.06,"1,029.0",+213.61,"1,119",中期(数週間～数ヶ月),チャート,,"1,803.0",04月08日,22:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3436-SUMCO/2017-04-08-22-05-31/comment\103.html
"ＳＵＭＣＯ(3436)の買い予想。 rodent さんの売買予想。 目標株価： 1,160円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",SUMCO,2013/06/10,20:33,買い予想,rodentさん,-3.5,"1,141.0",+164.73,"1,160",中期(数週間～数ヶ月),その他,買い,"1,803.0",04月08日,22:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3436-SUMCO/2017-04-08-22-05-31/comment\104.html
"ＳＵＭＣＯ(3436)の買い予想。 takachin-k2 さんの売買予想。 目標株価： 1,450円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",SUMCO,2013/06/02,16:14,買い予想,takachin-k2さん,135.05,"1,240.0",+128.87,"1,450",中期(数週間～数ヶ月),チャート,,"1,803.0",04月08日,22:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3436-SUMCO/2017-04-08-22-05-31/comment\105.html
"ＳＵＭＣＯ(3436)の買い予想。 ＳＥＩ さんの売買予想。 目標株価： 1,872円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い^ ^",SUMCO,2013/03/09,15:39,買い予想,ＳＥＩさん,104.63,"1,130.0",+169.10,"1,872",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),1ドル96円台突入 ψ(｀∇´)ψ,"1,803.0",04月08日,22:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3436-SUMCO/2017-04-08-22-05-31/comment\106.html
"ＳＵＭＣＯ(3436)の買い予想。 hanakuso さんの売買予想。 目標株価： 1,228円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割高」に反対",SUMCO,2013/02/08,00:32,買い予想,hanakusoさん,126.95,927.0,+268.40,"1,228",中期(数週間～数ヶ月),チャート,"【株価分析結果】2013/02/07 01:29
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「632円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一取引市場の平均値よりも高い為、相対比較の観点からは割高と判断されます。
","1,803.0",04月08日,22:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3436-SUMCO/2017-04-08-22-05-31/comment\107.html
