0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ＴＤＫ(6762)の売り予想。 Toshi928 さんの売買予想。 目標株価： 5,794円 期間： 短期(数分~数日) 理由： チャート 売り予想 短期 目標株価5,754円",TDK,2017/04/07,14:51,売り予想,Toshi928さん,0.57,"6,770.0",+0.79,"5,794",短期(数分～数日),チャート,,"6,750.0",04月09日,18:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6762-TDK/2017-04-09-18-41-03/comment\1.html
"ＴＤＫ(6762)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 8,180円 期間： 中期(数週間~数ヶ月) 理由： チャート ｡｡★中期予想★｡｡8180",TDK,2016/12/22,11:46,売り予想,ひとみん｡｡☆さん,0.86,"8,240.0",+51.38,"8,180",中期(数週間～数ヶ月),チャート,,"6,750.0",04月09日,18:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6762-TDK/2017-04-09-18-41-03/comment\10.html
"ＴＤＫ(6762)の買い予想。 プ～ さんの売買予想。 目標株価： 3,922円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",TDK,2011/09/08,12:13,買い予想,プ～さん,427.24,"3,000.0",+355.35,"3,922",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/09/08 03:50
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,922円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","6,750.0",04月09日,18:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6762-TDK/2017-04-09-18-41-03/comment\100.html
"ＴＤＫ(6762)の買い予想。 kuritann さんの売買予想。 目標株価： 3,922円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",TDK,2011/09/08,11:11,買い予想,kuritannさん,362.13,"3,000.0",+355.35,"3,922",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/09/08 03:50
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,922円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","6,750.0",04月09日,18:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6762-TDK/2017-04-09-18-41-03/comment\101.html
"ＴＤＫ(6762)の買い予想。 ネオプラネット さんの売買予想。 目標株価： 10,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 悪材料だらけの今がチャンス",TDK,2011/09/07,00:20,買い予想,ネオプラネットさん,624.73,"3,040.0",+346.93,"10,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"6,750.0",04月09日,18:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6762-TDK/2017-04-09-18-41-03/comment\102.html
"ＴＤＫ(6762)の買い予想。 yottsu さんの売買予想。 目標株価： 4,590円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割安」に賛成",TDK,2011/09/06,11:26,買い予想,yottsuさん,391.6,"3,055.0",+343.83,"4,590",長期(数ヶ月～数年),その他,"【株価分析結果】2011/09/06 03:50
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,942円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","6,750.0",04月09日,18:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6762-TDK/2017-04-09-18-41-03/comment\103.html
"ＴＤＫ(6762)の買い予想。 七星愛煙家 さんの売買予想。 目標株価： 4,062円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",TDK,2011/09/02,11:16,買い予想,七星愛煙家さん,361.2,"3,255.0",+305.23,"4,062",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/09/02 03:50
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「4,062円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","6,750.0",04月09日,18:44,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6762-TDK/2017-04-09-18-41-03/comment\104.html
"ＴＤＫ(6762)の買い予想。 ぽぷら さんの売買予想。 目標株価： 4,413円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",TDK,2011/08/30,21:17,買い予想,ぽぷらさん,400.15,"3,370.0",+285.11,"4,413",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"6,750.0",04月09日,18:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6762-TDK/2017-04-09-18-41-03/comment\105.html
"ＴＤＫ(6762)の買い予想。 上昇トレンド さんの売買予想。 目標株価： 3,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",TDK,2011/08/07,13:18,買い予想,上昇トレンドさん,404.82,"3,555.0",+255.48,"3,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"6,750.0",04月09日,18:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6762-TDK/2017-04-09-18-41-03/comment\106.html
"ＴＤＫ(6762)の買い予想。 ナポレオン・ソロ さんの売買予想。 目標株価： 5,029円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",TDK,2011/07/24,04:04,買い予想,ナポレオン・ソロさん,162.23,"4,310.0",+160.91,"5,029",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2011/07/23 03:47
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「5,029円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","6,750.0",04月09日,18:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6762-TDK/2017-04-09-18-41-03/comment\107.html
