概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ＴＯＴＯ(5332)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 4,213円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 92.6pss",TOTO,2017/03/21,21:41,売り予想,７本ＤＭさん,0.86,"4,330.0",+8.80,"4,213",中期(数週間～数ヶ月),個人投資家の予想,,"4,195.0",04月09日,03:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5332-TOTO/2017-04-09-03-32-36/comment\1.html
"ＴＯＴＯ(5332)の買い予想。 kabukabuman さんの売買予想。 目標株価： 5,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",TOTO,2016/08/26,14:28,買い予想,kabukabumanさん,1.01,"3,785.0",+30.72,"5,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"4,195.0",04月09日,03:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5332-TOTO/2017-04-09-03-32-36/comment\10.html
"ＴＯＴＯ(5332)の買い予想。 株主 さんの売買予想。 目標株価： 1,300円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い",TOTO,2010/02/01,23:28,買い予想,株主さん,509.23,"1,188.0",+719.51,"1,300",短期(数分～数日),業績(会社計画の修正発表を含む),,"4,195.0",04月09日,03:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5332-TOTO/2017-04-09-03-32-36/comment\100.html
"ＴＯＴＯ(5332)の買い予想。 桃陵健児 さんの売買予想。 目標株価： 1,600円 期間： 中期(数週間~数ヶ月) 中国進出に期待",TOTO,2010/01/17,00:55,買い予想,桃陵健児さん,202.21,"1,190.0",+717.83,"1,600",中期(数週間～数ヶ月),,,"4,195.0",04月09日,03:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5332-TOTO/2017-04-09-03-32-36/comment\101.html
ＴＯＴＯ(5332)の買い予想。 RX78G3 さんの売買予想。 目標株価： 17円 期間： 短期(数分~数日) 買い,TOTO,2009/12/04,12:02,買い予想,RX78G3さん,601.44,"1,082.0",+817.86,17,短期(数分～数日),,,"4,195.0",04月09日,03:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5332-TOTO/2017-04-09-03-32-36/comment\102.html
"ＴＯＴＯ(5332)の買い予想。 一寸法師 さんの売買予想。 目標株価： 1,196円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",TOTO,2009/10/20,02:14,買い予想,一寸法師さん,422.39,"1,082.0",+817.86,"1,196",,業績(会社計画の修正発表を含む),"【株価分析結果】2009/10/17 03:18
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「598円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","4,195.0",04月09日,03:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5332-TOTO/2017-04-09-03-32-36/comment\103.html
ＴＯＴＯ(5332)の売り予想。 空飛ぶ モンティ・パイ さんの売買予想。 目標株価： 17円 100年に一度の大暴落が,TOTO,2009/10/15,20:36,売り予想,空飛ぶ モンティ・パイさん,-418.66,"1,110.0",-790.57,17,,,今年もガチでキます。,"4,195.0",04月09日,03:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5332-TOTO/2017-04-09-03-32-36/comment\104.html
"ＴＯＴＯ(5332)の買い予想。 カクタス さんの売買予想。 目標株価： 1,200円 期間： 中期(数週間~数ヶ月) 理由： チャート toto",TOTO,2009/10/10,11:00,買い予想,カクタスさん,30.02,"1,070.0",+830.22,"1,200",中期(数週間～数ヶ月),チャート,,"4,195.0",04月09日,03:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5332-TOTO/2017-04-09-03-32-36/comment\105.html
"ＴＯＴＯ(5332)の買い予想。 danel_jacson_sgc さんの売買予想。 目標株価： 1,640円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対",TOTO,2009/09/20,17:51,買い予想,danel_jacson_sgcさん,994.86,"1,220.0","+1,386.37","1,640",中期(数週間～数ヶ月),チャート,"ペナント形成最終段階、空売り多く踏み上げ可能
業績最終黒字転換","4,195.0",04月09日,03:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5332-TOTO/2017-04-09-03-32-36/comment\106.html
"ＴＯＴＯ(5332)の買い予想。 keepura さんの売買予想。 目標株価： 1,440円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",TOTO,2009/08/27,18:03,買い予想,keepuraさん,162.99,"1,320.0",+619.12,"1,440",中期(数週間～数ヶ月),チャート,,"4,195.0",04月09日,03:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5332-TOTO/2017-04-09-03-32-36/comment\107.html
