概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"いすゞ自動車(7202)の売り予想。 徳川慶喜 さんの売買予想。 目標株価： 1,366円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",いすゞ自動車,2017/04/01,11:14,売り予想,徳川慶喜さん,-2.73,"1,477.0",+8.27,"1,366",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2017/04/01 03:42　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「1,366円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。","1,433.0",04月09日,21:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7202-いすゞ自動車/2017-04-09-21-31-29/comment\1.html
"いすゞ自動車(7202)の買い予想。 なおき投資 さんの売買予想。 目標株価： 1,669円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",いすゞ自動車,2016/11/19,08:05,買い予想,なおき投資さん,15.05,"1,279.0",+34.01,"1,668",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/11/19 03:50
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,315円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","1,433.0",04月09日,21:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7202-いすゞ自動車/2017-04-09-21-31-29/comment\10.html
いすゞ自動車(7202)の売り予想。 ずー さんの売買予想。 目標株価： 764円 期間： 短期(数分~数日) 理由： その他 上げ止まる,いすゞ自動車,2011/07/13,06:14,売り予想,ずーさん,15.77,766.0,-247.97,764,短期(数分～数日),その他,"いすゞが逆行高、新興国需要で増額修正観測が浮上(メルトレ)
2011/07/12(17:02)
http://minkabu.jp/stock/7202/news/208902","1,433.0",04月09日,21:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7202-いすゞ自動車/2017-04-09-21-31-29/comment\100.html
"いすゞ自動車(7202)の買い予想。 石くん さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",いすゞ自動車,2011/06/21,17:45,買い予想,石くんさん,240.1,682.0,+312.71,"3,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,433.0",04月09日,21:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7202-いすゞ自動車/2017-04-09-21-31-29/comment\101.html
いすゞ自動車(7202)の買い予想。 magariya さんの売買予想。 目標株価： 686円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,いすゞ自動車,2011/06/12,06:54,買い予想,magariyaさん,262.02,694.0,+302.38,686,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,433.0",04月09日,21:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7202-いすゞ自動車/2017-04-09-21-31-29/comment\102.html
いすゞ自動車(7202)の買い予想。 まつぴょん さんの売買予想。 目標株価： 776円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,いすゞ自動車,2011/05/18,10:16,買い予想,まつぴょんさん,245.42,704.0,+294.05,776,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/05/18 03:28
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「336円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも低い為、相対比較の観点からは割高と判断されます。

","1,433.0",04月09日,21:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7202-いすゞ自動車/2017-04-09-21-31-29/comment\103.html
いすゞ自動車(7202)の買い予想。 短期決戦 さんの売買予想。 目標株価： 780円 期間： 短期(数分~数日) 理由： その他 k,いすゞ自動車,2011/05/13,20:03,買い予想,短期決戦さん,131.46,722.0,+279.63,780,短期(数分～数日),その他,k,"1,433.0",04月09日,21:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7202-いすゞ自動車/2017-04-09-21-31-29/comment\104.html
いすゞ自動車(7202)の売り予想。 kanaeboo さんの売買予想。 目標株価： 600円 期間： 短期(数分~数日) 理由： チャート 株価診断結果「割高」に賛成,いすゞ自動車,2011/05/11,13:35,売り予想,kanaebooさん,-36.1,724.0,-278.86,600,短期(数分～数日),チャート,"【株価分析結果】2011/05/11 03:28
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「299円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも低い為、相対比較の観点からは割高と判断されます。

","1,433.0",04月09日,21:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7202-いすゞ自動車/2017-04-09-21-31-29/comment\105.html
いすゞ自動車(7202)の売り予想。 terry1948 さんの売買予想。 目標株価： 622円 期間： 中期(数週間~数ヶ月) 理由： チャート 割高,いすゞ自動車,2011/05/01,15:30,売り予想,terry1948さん,181.7,700.0,-298.17,622,中期(数週間～数ヶ月),チャート,,"1,433.0",04月09日,21:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7202-いすゞ自動車/2017-04-09-21-31-29/comment\106.html
いすゞ自動車(7202)の買い予想。 みみ☆ さんの売買予想。 目標株価： 660円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,いすゞ自動車,2011/04/24,04:36,買い予想,みみ☆さん,163.79,690.0,+305.79,660,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,433.0",04月09日,21:35,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7202-いすゞ自動車/2017-04-09-21-31-29/comment\107.html
