概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
みずほフィナンシャルグループ(8411)の売り予想。 waraukadoniwafukukitaru さんの売買予想。 目標株価： 162円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「売り」に賛成,みずほフィナンシャルグループ,2017/04/08,12:37,売り予想,waraukadoniwafukukitaruさん,32.66,成り行き ,,162,中期(数週間～数ヶ月),個人投資家の予想,,193.9,04月10日,06:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8411-みずほフィナンシャルグループ/2017-04-10-06-41-38/comment\1.html
みずほフィナンシャルグループ(8411)の売り予想。 kitaro09211 さんの売買予想。 目標株価： 101円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 売り予想 長期 目標株価101円,みずほフィナンシャルグループ,2017/04/03,10:57,売り予想,kitaro09211さん,-2.21,202.0,+9.99,101,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,193.9,04月10日,06:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8411-みずほフィナンシャルグループ/2017-04-10-06-41-38/comment\10.html
みずほフィナンシャルグループ(8411)の買い予想。 佐渡が島 さんの売買予想。 目標株価： 210円 期間： 短期(数分~数日) 理由： チャート トランポノミクスに期待,みずほフィナンシャルグループ,2016/11/28,05:16,買い予想,佐渡が島さん,-20.2,196.0,-4.49,210,短期(数分～数日),チャート,,193.9,04月10日,06:45,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8411-みずほフィナンシャルグループ/2017-04-10-06-41-38/comment\100.html
みずほフィナンシャルグループ(8411)の買い予想。 あーす さんの売買予想。 目標株価： 454円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,みずほフィナンシャルグループ,2013/05/14,06:08,買い予想,あーすさん,28.46,229.0,-44.82,454,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,193.9,04月10日,07:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8411-みずほフィナンシャルグループ/2017-04-10-06-41-38/comment\1000.html
みずほフィナンシャルグループ(8411)の買い予想。 susumu-chan さんの売買予想。 目標株価： 295円 期間： 短期(数分~数日) 理由： その他 今日はみずほ中心で,みずほフィナンシャルグループ,2013/05/14,05:37,買い予想,susumu-chanさん,-43.95,229.0,-44.82,295,短期(数分～数日),その他,"みずほ中心だねー
昨日は9898でもうけさせてもらったよーw
作られた景気でも、みんなで買えば上がるでしょー
",193.9,04月10日,07:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8411-みずほフィナンシャルグループ/2017-04-10-06-41-38/comment\1001.html
みずほフィナンシャルグループ(8411)の買い予想。 kouta625 さんの売買予想。 目標株価： 454円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成,みずほフィナンシャルグループ,2013/05/14,03:25,買い予想,kouta625さん,-34.51,229.0,-44.82,454,長期(数ヶ月～数年),チャート,,193.9,04月10日,07:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8411-みずほフィナンシャルグループ/2017-04-10-06-41-38/comment\1002.html
みずほフィナンシャルグループ(8411)の買い予想。 柏餅 さんの売買予想。 目標株価： 249円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,みずほフィナンシャルグループ,2013/05/14,00:08,買い予想,柏餅さん,-174.47,229.0,-44.82,249,中期(数週間～数ヶ月),チャート,,193.9,04月10日,07:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8411-みずほフィナンシャルグループ/2017-04-10-06-41-38/comment\1003.html
みずほフィナンシャルグループ(8411)の買い予想。 KRAYT さんの売買予想。 目標株価： 295円 期間： 長期(数ヶ月～数年) 理由： チャート 株価診断結果「割高」に反対,みずほフィナンシャルグループ,2013/05/13,23:58,買い予想,KRAYTさん,-43.95,229.0,-44.82,295,長期(数ヶ月～数年),チャート,"【株価分析結果】2013/05/11 02:29
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「148円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
",193.9,04月10日,07:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8411-みずほフィナンシャルグループ/2017-04-10-06-41-38/comment\1004.html
みずほフィナンシャルグループ(8411)の売り予想。 snoopy2 さんの売買予想。 目標株価： 200円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に反対,みずほフィナンシャルグループ,2013/05/13,23:08,売り予想,snoopy2さん,-39.81,229.0,+84.68,200,短期(数分～数日),チャート,,193.9,04月10日,07:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8411-みずほフィナンシャルグループ/2017-04-10-06-41-38/comment\1005.html
みずほフィナンシャルグループ(8411)の売り予想。 mikmane2 さんの売買予想。 目標株価： 200円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に反対,みずほフィナンシャルグループ,2013/05/13,22:54,売り予想,mikmane2さん,-39.81,229.0,+84.68,200,短期(数分～数日),チャート,,193.9,04月10日,07:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8411-みずほフィナンシャルグループ/2017-04-10-06-41-38/comment\1006.html
