0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
りそなホールディングス(8308)の買い予想。 コールラビ さんの売買予想。 目標株価： 650円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,りそなホールディングス,2017/04/08,08:20,買い予想,コールラビさん,7.48,成り行き ,,650,中期(数週間～数ヶ月),個人投資家の予想,,557.3,04月10日,05:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8308-りそなホールディングス/2017-04-10-05-47-50/comment\1.html
りそなホールディングス(8308)の買い予想。 アンパン爺 さんの売買予想。 目標株価： 689円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「買い」に賛成,りそなホールディングス,2017/01/07,09:28,買い予想,アンパン爺さん,127.05,615.0,-54.28,689,中期(数週間～数ヶ月),配当(株主優待を含む),信用取引比率が良く、業績もよい　メガバンクを超えるパフォーマンス期待,557.3,04月10日,05:48,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8308-りそなホールディングス/2017-04-10-05-47-50/comment\10.html
りそなホールディングス(8308)の売り予想。 ｵﾘﾝﾎﾟｽ さんの売買予想。 目標株価： 400円 期間： 中期(数週間~数ヶ月) 理由： その他 売り,りそなホールディングス,2013/10/18,16:10,売り予想,ｵﾘﾝﾎﾟｽさん,-75.67,527.0,-16.88,400,中期(数週間～数ヶ月),その他,,557.3,04月10日,05:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8308-りそなホールディングス/2017-04-10-05-47-50/comment\100.html
りそなホールディングス(8308)の買い予想。 たつのこ さんの売買予想。 目標株価： 660円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,りそなホールディングス,2013/10/12,07:23,買い予想,たつのこさん,149.84,511.0,+25.20,660,中期(数週間～数ヶ月),チャート,,557.3,04月10日,05:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8308-りそなホールディングス/2017-04-10-05-47-50/comment\101.html
"りそなホールディングス(8308)の買い予想。 ジャックブルー さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想！",りそなホールディングス,2013/07/29,14:48,買い予想,ジャックブルーさん,630.31,486.0,+41.13,"1,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),業績好調！長期保有☆！買い予想！,557.3,04月10日,05:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8308-りそなホールディングス/2017-04-10-05-47-50/comment\102.html
りそなホールディングス(8308)の買い予想。 神輿 さんの売買予想。 目標株価： 526円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,りそなホールディングス,2013/07/13,23:41,買い予想,神輿さん,13.22,517.0,+21.61,526,中期(数週間～数ヶ月),その他,,557.3,04月10日,05:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8308-りそなホールディングス/2017-04-10-05-47-50/comment\103.html
りそなホールディングス(8308)の売り予想。 WERD さんの売買予想。 目標株価： 444円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割安」に反対,りそなホールディングス,2013/07/09,06:50,売り予想,WERDさん,-109.54,500.0,-33.15,444,中期(数週間～数ヶ月),チャート,"【株価分析結果】2013/07/09 02:27
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「508円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。
",557.3,04月10日,05:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8308-りそなホールディングス/2017-04-10-05-47-50/comment\104.html
りそなホールディングス(8308)の売り予想。 是川 ﾊﾞﾌｪｯﾄ さんの売買予想。 目標株価： 470円 期間： 長期(数ヶ月～数年) 理由： その他 銀行の時代じゃない,りそなホールディングス,2013/06/07,04:04,売り予想,是川 ﾊﾞﾌｪｯﾄさん,-41.66,431.0,-83.98,470,長期(数ヶ月～数年),その他,嫌いだから,557.3,04月10日,05:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8308-りそなホールディングス/2017-04-10-05-47-50/comment\105.html
りそなホールディングス(8308)の買い予想。 mituisan さんの売買予想。 目標株価： 669円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い増し,りそなホールディングス,2013/06/05,20:21,買い予想,mituisanさん,113.9,438.0,+76.80,669,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),好業績なのに、一段の上昇期待です。水準訂正待ちです。,557.3,04月10日,05:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8308-りそなホールディングス/2017-04-10-05-47-50/comment\106.html
りそなホールディングス(8308)の買い予想。 ダテマキ さんの売買予想。 目標株価： 485円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,りそなホールディングス,2013/06/04,07:20,買い予想,ダテマキさん,34.6,437.0,+77.62,485,中期(数週間～数ヶ月),チャート,,557.3,04月10日,05:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8308-りそなホールディングス/2017-04-10-05-47-50/comment\107.html
