0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"アサヒグループホールディングス(2502)の買い予想。 fsicon さんの売買予想。 目標株価： 4,355円 期間： 短期(数分~数日) 理由： 個人投資家の予想 買い予想 短期 目標株価5,000円",アサヒグループホールディングス,2017/04/05,13:14,買い予想,fsiconさん,11.38,"4,254.0",+3.34,"4,355",短期(数分～数日),個人投資家の予想,,"4,305.0",04月08日,19:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2502-アサヒグループホールディングス/2017-04-08-19-46-54/comment\1.html
"アサヒグループホールディングス(2502)の買い予想。 ff86jj さんの売買予想。 目標株価： 3,580円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 @",アサヒグループホールディングス,2016/12/17,14:29,買い予想,ff86jjさん,22.03,"3,514.0",+63.92,"3,580",長期(数ヶ月～数年),個人投資家の予想,,"4,305.0",04月08日,19:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2502-アサヒグループホールディングス/2017-04-08-19-46-54/comment\10.html
"アサヒグループホールディングス(2502)の買い予想。 ころがし涼太？ さんの売買予想。 目標株価： 2,156円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",アサヒグループホールディングス,2011/08/15,23:43,買い予想,ころがし涼太？さん,306.26,"1,587.0",+486.83,"2,156",中期(数週間～数ヶ月),チャート,"なんだか吹きそうな予感
(*´▽`)*´▽`)*´▽`)ﾉ ﾆﾊﾟｯ ﾆﾊﾟｯﾆﾊﾟｯ","4,305.0",04月08日,19:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2502-アサヒグループホールディングス/2017-04-08-19-46-54/comment\100.html
"アサヒグループホールディングス(2502)の買い予想。 レクサス さんの売買予想。 目標株価： 1,601円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",アサヒグループホールディングス,2011/08/10,01:10,買い予想,レクサスさん,154.68,"1,550.0",+505.24,"1,601",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2011/08/09 03:14
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,601円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","4,305.0",04月08日,19:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2502-アサヒグループホールディングス/2017-04-08-19-46-54/comment\101.html
"アサヒグループホールディングス(2502)の買い予想。 dennouzenkai さんの売買予想。 目標株価： 1,698円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) アサヒだから",アサヒグループホールディングス,2011/08/07,23:41,買い予想,dennouzenkaiさん,255.75,"1,540.0",+510.37,"1,698",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"4,305.0",04月08日,19:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2502-アサヒグループホールディングス/2017-04-08-19-46-54/comment\102.html
"アサヒグループホールディングス(2502)の買い予想。 パラギン さんの売買予想。 目標株価： 2,473円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",アサヒグループホールディングス,2011/07/26,21:01,買い予想,パラギンさん,203.94,"1,656.0",+454.70,"2,473",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"4,305.0",04月08日,19:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2502-アサヒグループホールディングス/2017-04-08-19-46-54/comment\103.html
"アサヒグループホールディングス(2502)の買い予想。 ちぃ・マルコフス さんの売買予想。 目標株価： 2,100円 期間： 中期(数週間~数ヶ月) 理由： その他 三矢ｻｲﾀﾞｰ､十六茶",アサヒグループホールディングス,2011/07/06,16:26,買い予想,ちぃ・マルコフスさん,426.89,"1,624.0",+469.26,"2,100",中期(数週間～数ヶ月),その他,あついですもん｡三矢ｻｲﾀﾞｰ大好き｡子供たちに飲ませるのはﾉﾝｶﾌｪｲﾝの十六茶｡同じﾌﾞﾚﾝﾄﾞ茶でも爽健美茶はｶﾌｪｲﾝあるしな｡緑茶も敬遠｡麦茶はﾘﾝが多いから､ﾉﾝｶﾌｪｲﾝでも子供には飲ませたくないかな｡三矢ｻｲﾀﾞｰのいろんな味のんが出てるけど､三矢ｻｲﾀﾞｰらしい味はしっかり残ってたな｡,"4,305.0",04月08日,19:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2502-アサヒグループホールディングス/2017-04-08-19-46-54/comment\104.html
"アサヒグループホールディングス(2502)の買い予想。 haru1234* さんの売買予想。 目標株価： 1,776円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「妥当圏内」に反対",アサヒグループホールディングス,2011/06/30,17:55,買い予想,haru1234*さん,411.96,"1,617.0",+472.52,"1,776",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/06/30 03:13
　妥当圏内

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「妥当圏内」と結論付けました。
　現在値から下落すれば割安圏内に、上昇すれば割高圏内となります。
　このように、この銘柄は現在の株価水準において妥当圏内と判断されますが、この結果は必ずしも今後の株価の維持を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","4,305.0",04月08日,19:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2502-アサヒグループホールディングス/2017-04-08-19-46-54/comment\105.html
"アサヒグループホールディングス(2502)の買い予想。 ☆プリ☆彡 さんの売買予想。 目標株価： 1,778円 期間： 中期(数週間~数ヶ月) 理由： その他 ☆暑いっ",アサヒグループホールディングス,2011/06/23,14:02,買い予想,☆プリ☆彡さん,426.89,"1,616.0",+472.99,"1,778",中期(数週間～数ヶ月),その他,暑いから☆～！,"4,305.0",04月08日,19:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2502-アサヒグループホールディングス/2017-04-08-19-46-54/comment\106.html
"アサヒグループホールディングス(2502)の買い予想。 杉下警部 さんの売買予想。 目標株価： 1,741円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",アサヒグループホールディングス,2011/06/04,22:12,買い予想,杉下警部さん,155.09,"1,591.0",+484.89,"1,741",中期(数週間～数ヶ月),その他,,"4,305.0",04月08日,19:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2502-アサヒグループホールディングス/2017-04-08-19-46-54/comment\107.html
