概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"アステラス製薬(4503)の買い予想。 ノリダー385 さんの売買予想。 目標株価： 1,719円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",アステラス製薬,2017/04/08,18:37,買い予想,ノリダー385さん,-24.3,成り行き ,,"1,719",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2017/04/08 02:41　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,642円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPSRは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","1,494.0",04月09日,00:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\1.html
"アステラス製薬(4503)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 1,437円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 75.0pdd",アステラス製薬,2017/02/20,17:43,売り予想,７本ＤＭさん,0.86,"1,503.0",+1.51,"1,437",中期(数週間～数ヶ月),個人投資家の予想,,"1,494.0",04月09日,00:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\10.html
"アステラス製薬(4503)の買い予想。 ストロングレモン さんの売買予想。 目標株価： 2,400円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 政府のいう 経済成長の中核",アステラス製薬,2015/02/26,12:50,買い予想,ストロングレモンさん,-36.26,"1,894.0",-60.20,"2,400",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"1,494.0",04月09日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\100.html
"アステラス製薬(4503)の買い予想。 りつこ さんの売買予想。 目標株価： 2,505円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価2,505円",アステラス製薬,2015/02/24,09:50,買い予想,りつこさん,-1.08,"1,853.0",-55.24,"2,505",長期(数ヶ月～数年),その他,,"1,494.0",04月09日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\101.html
"アステラス製薬(4503)の売り予想。 Pf_Snowman さんの売買予想。 目標株価： 1,437円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",アステラス製薬,2015/02/23,11:13,売り予想,Pf_Snowmanさん,82.84,"1,876.0",+57.75,"1,437",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/02/21 01:41
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,437円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","1,494.0",04月09日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\102.html
"アステラス製薬(4503)の買い予想。 黄昏営業ﾏﾝ さんの売買予想。 目標株価： 2,400円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見｢買い｣に賛成",アステラス製薬,2015/01/26,10:31,買い予想,黄昏営業ﾏﾝさん,-14.25,"1,769.0",-44.36,"2,400",長期(数ヶ月～数年),個人投資家の予想,,"1,494.0",04月09日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\103.html
"アステラス製薬(4503)の買い予想。 たいそんぱぱ さんの売買予想。 目標株価： 2,311円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",アステラス製薬,2015/01/10,13:45,買い予想,たいそんぱぱさん,43.28,"1,753.0",-42.17,"2,311",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,494.0",04月09日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\104.html
"アステラス製薬(4503)の買い予想。 minnsann123 さんの売買予想。 目標株価： 1,855円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",アステラス製薬,2014/12/11,19:39,買い予想,minnsann123さん,-3.06,"1,697.0",-34.18,"1,855",中期(数週間～数ヶ月),チャート,,"1,494.0",04月09日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\105.html
"アステラス製薬(4503)の買い予想。 bounennkai さんの売買予想。 目標株価： 1,803円 期間： 短期(数分~数日) 理由： チャート yaltuto modoru",アステラス製薬,2014/12/08,20:37,買い予想,bounennkaiさん,35.04,"1,721.0",-37.67,"1,803",短期(数分～数日),チャート,,"1,494.0",04月09日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\106.html
"アステラス製薬(4503)の買い予想。 dounikatanomu さんの売買予想。 目標株価： 1,803円 期間： 短期(数分~数日) 理由： 個人投資家の予想 最近の寄付きに注目",アステラス製薬,2014/12/06,13:11,買い予想,dounikatanomuさん,-39.87,"1,740.0",-40.36,"1,803",短期(数分～数日),個人投資家の予想,,"1,494.0",04月09日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\107.html
"アステラス製薬(4503)の買い予想。 kei_ichi さんの売買予想。 目標株価： 1,986円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",アステラス製薬,2014/11/19,07:43,買い予想,kei_ichiさん,-56.56,"1,805.0",-49.15,"1,985",中期(数週間～数ヶ月),その他,,"1,494.0",04月09日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\108.html
"アステラス製薬(4503)の買い予想。 zx124569 さんの売買予想。 目標株価： 1,728円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",アステラス製薬,2014/10/30,14:25,買い予想,zx124569さん,45.25,"1,645.0",-26.27,"1,727",短期(数分～数日),業績(会社計画の修正発表を含む),増益,"1,494.0",04月09日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\109.html
"アステラス製薬(4503)の買い予想。 tsuka dai さんの売買予想。 目標株価： 1,611円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い予想 中期 目標株価1,611円",アステラス製薬,2017/02/11,17:37,買い予想,tsuka daiさん,6.46,"1,537.5",-8.23,"1,611",中期(数週間～数ヶ月),個人投資家の予想,,"1,494.0",04月09日,00:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\11.html
"アステラス製薬(4503)の買い予想。 RandomW@lker さんの売買予想。 目標株価： 2,002円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価2,002円",アステラス製薬,2014/10/10,22:55,買い予想,RandomW@lkerさん,13.4,"1,540.0",-8.67,"2,002",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,494.0",04月09日,00:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\110.html
"アステラス製薬(4503)の売り予想。 プラチナヒルズ さんの売買予想。 目標株価： 1,200円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",アステラス製薬,2014/09/13,18:20,売り予想,プラチナヒルズさん,-71.4,"1,593.0",+17.49,"1,200",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"GPIFをはじめとする官製相場の無様のドシロウト買いの結果、ファイザーやメルクに比べ、PERで割高と化してしまった。IFRS採用後のPERなので、言い訳無用だ。企業規模ではファイザーやメルクの何分の一だが、世界に打って出ている企業に「日本国内基準」なんて通用しない。日本株で見てしまえば、タケダや中外などに比べて割安なのは否定しないが、「それらに比べて割安」と、証券アナリストは言うだろうが、そんなのは正当化に過ぎない。EPS75円として、PER16倍の1200円がせいぜいである。株価が1200円辺りだった5月12日の場中に、自社株買いを発表してきたことはまだ責めるに値しないが、その後のGPIFや公務員共済の「パワハラとしか思えない」株価吊り上げ行為は、世界の真っ当な投資家の視点で見れば、「高く買ってバカじゃないの」と嘲る以外にない。＝＝＝＝＝＝＝＝＝＝【株価分析結果】2014/09/13 01:42　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「1,304円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPBRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。","1,494.0",04月09日,00:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\111.html
"アステラス製薬(4503)の買い予想。 coopee06 さんの売買予想。 目標株価： 1,803円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,803円",アステラス製薬,2014/09/03,11:51,買い予想,coopee06さん,76.41,"1,526.0",-6.14,"1,803",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,494.0",04月09日,00:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4503-アステラス製薬/2017-04-08-23-59-58/comment\112.html
