概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"アドバンテスト(6857)の買い予想。 kabukabuman さんの売買予想。 目標株価： 2,150円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",アドバンテスト,2017/04/07,11:30,買い予想,kabukabumanさん,1.01,"1,999.0",+5.12,"2,150",中期(数週間～数ヶ月),その他,,"2,036.0",04月09日,19:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6857-アドバンテスト/2017-04-09-19-11-49/comment\1.html
"アドバンテスト(6857)の買い予想。 masahira さんの売買予想。 目標株価： 2,500円 期間： 中期(数週間~数ヶ月) 理由： チャート チャート",アドバンテスト,2017/01/12,20:42,買い予想,masahiraさん,137.88,"1,963.0",+10.42,"2,500",中期(数週間～数ヶ月),チャート,,"2,036.0",04月09日,19:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6857-アドバンテスト/2017-04-09-19-11-49/comment\10.html
"アドバンテスト(6857)の買い予想。 あんぱんまーん さんの売買予想。 目標株価： 3,700円 期間： 長期(数ヶ月～数年) 理由： チャート 注目株を応援",アドバンテスト,2010/05/28,22:10,買い予想,あんぱんまーんさん,73.13,"2,043.0",-1.11,"3,700",長期(数ヶ月～数年),チャート,,"2,036.0",04月09日,19:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6857-アドバンテスト/2017-04-09-19-11-49/comment\100.html
"アドバンテスト(6857)の買い予想。 ひが さんの売買予想。 目標株価： 6,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) かい",アドバンテスト,2010/04/16,14:16,買い予想,ひがさん,150.6,"2,416.0",-44.84,"6,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),ｄｄ,"2,036.0",04月09日,19:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6857-アドバンテスト/2017-04-09-19-11-49/comment\101.html
"アドバンテスト(6857)の買い予想。 はまやら さんの売買予想。 目標株価： 2,700円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割高」に反対",アドバンテスト,2010/03/19,22:25,買い予想,はまやらさん,-47.13,"2,220.0",-47.39,"2,700",中期(数週間～数ヶ月),その他,"【株価分析結果】2010/03/19 03:23
　割高

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「2,004円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","2,036.0",04月09日,19:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6857-アドバンテスト/2017-04-09-19-11-49/comment\102.html
"アドバンテスト(6857)の買い予想。 にこる丸 さんの売買予想。 目標株価： 2,450円 期間： 中期(数週間~数ヶ月) 理由： チャート そろそろ・・",アドバンテスト,2010/03/15,16:28,買い予想,にこる丸さん,770.82,"2,190.0",-20.12,"2,450",中期(数週間～数ヶ月),チャート,四季報も良さげに書いてあったし・・一月末に空けた窓を埋めにいきそうですねぇ・・・,"2,036.0",04月09日,19:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6857-アドバンテスト/2017-04-09-19-11-49/comment\103.html
"アドバンテスト(6857)の買い予想。 もももも さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 理由： チャート かい",アドバンテスト,2010/01/21,17:06,買い予想,ももももさん,423.34,"2,505.0",-53.35,"3,000",中期(数週間～数ヶ月),チャート,,"2,036.0",04月09日,19:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6857-アドバンテスト/2017-04-09-19-11-49/comment\104.html
"アドバンテスト(6857)の買い予想。 dreamcatcher さんの売買予想。 目標株価： 2,700円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",アドバンテスト,2010/01/15,21:51,買い予想,dreamcatcherさん,43.52,"2,505.0",-53.35,"2,700",長期(数ヶ月～数年),チャート,,"2,036.0",04月09日,19:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6857-アドバンテスト/2017-04-09-19-11-49/comment\105.html
"アドバンテスト(6857)の買い予想。 くまきちくん さんの売買予想。 目標株価： 2,750円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",アドバンテスト,2010/01/11,16:59,買い予想,くまきちくんさん,-254.78,"2,465.0",-49.60,"2,750",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"半導体が好調
ここのところ上げのスピードが速かったので
もうそんなには上がらないと思う","2,036.0",04月09日,19:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6857-アドバンテスト/2017-04-09-19-11-49/comment\106.html
"アドバンテスト(6857)の売り予想。 これかわぎんぞう2世 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) URI",アドバンテスト,2009/12/30,09:52,売り予想,これかわぎんぞう2世さん,-377.96,"2,465.0",+49.37,"2,000",中期(数週間～数ヶ月),,,"2,036.0",04月09日,19:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6857-アドバンテスト/2017-04-09-19-11-49/comment\107.html
