0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"アマダホールディングス(6113)の売り予想。 たかまさ0519 さんの売買予想。 目標株価： 1,150円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対",アマダホールディングス,2017/03/03,13:53,売り予想,たかまさ0519さん,8.0,"1,309.0",+5.21,"1,150",中期(数週間～数ヶ月),チャート,,"1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\1.html
アマダホールディングス(6113)の売り予想。 松岡政也 さんの売買予想。 目標株価： 600円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,アマダホールディングス,2015/12/05,14:11,売り予想,松岡政也さん,-25.38,"1,270.0",-3.35,600,長期(数ヶ月～数年),その他,,"1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\10.html
"アマダホールディングス(6113)の買い予想。 東海の博打打ち さんの売買予想。 目標株価： 1,255円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",アマダホールディングス,2015/10/24,20:40,買い予想,東海の博打打ちさん,-3.56,"1,113.0",+43.43,"1,255",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2015/10/24 01:30
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,255円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは日本株全体の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\11.html
"アマダホールディングス(6113)の買い予想。 pinksapphire さんの売買予想。 目標株価： 1,251円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",アマダホールディングス,2015/10/10,08:03,買い予想,pinksapphireさん,40.24,"1,060.0",+59.82,"1,251",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/10/10 01:29
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,251円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは日本株全体の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\12.html
"アマダホールディングス(6113)の買い予想。 だびんち さんの売買予想。 目標株価： 1,018円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",アマダホールディングス,2015/10/01,23:40,買い予想,だびんちさん,63.67,913.0,+115.23,"1,017",長期(数ヶ月～数年),個人投資家の予想,増収増益,"1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\13.html
"アマダホールディングス(6113)の買い予想。 78deda さんの売買予想。 目標株価： 1,433円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",アマダホールディングス,2015/08/03,11:39,買い予想,78dedaさん,96.67,"1,193.0",+21.45,"1,433",中期(数週間～数ヶ月),個人投資家の予想,,"1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\14.html
"アマダホールディングス(6113)の買い予想。 これだけ さんの売買予想。 目標株価： 1,445円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",アマダホールディングス,2015/08/02,16:07,買い予想,これだけさん,35.44,"1,215.0",+15.91,"1,445",中期(数週間～数ヶ月),個人投資家の予想,,"1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\15.html
"アマダホールディングス(6113)の買い予想。 maru_nya さんの売買予想。 目標株価： 1,404円 期間： 短期(数分~数日) 理由： その他 日経新聞07/20 一面に掲載",アマダホールディングス,2015/07/21,00:48,買い予想,maru_nyaさん,7.24,"1,281.0",+0.44,"1,404",短期(数分～数日),その他,,"1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\16.html
"アマダホールディングス(6113)の買い予想。 elli さんの売買予想。 目標株価： 1,423円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価1,423円",アマダホールディングス,2015/07/16,11:12,買い予想,elliさん,28.9,"1,262.0",+4.73,"1,423",中期(数週間～数ヶ月),チャート,,"1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\17.html
"アマダホールディングス(6113)の買い予想。 kob*74*5 さんの売買予想。 目標株価： 1,393円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",アマダホールディングス,2015/05/14,09:44,買い予想,kob*74*5さん,7.27,"1,251.0",+7.27,"1,393",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\18.html
"アマダホールディングス(6113)の買い予想。 伊集院優作 さんの売買予想。 目標株価： 1,278円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",アマダホールディングス,2015/05/13,18:20,買い予想,伊集院優作さん,-2.33,"1,266.0",+3.81,"1,278",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\19.html
"アマダホールディングス(6113)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 1,938円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価1,900円",アマダホールディングス,2017/02/26,15:38,買い予想,Newジェントルマンさん,-5.41,"1,283.0",+0.00,"1,938",中期(数週間～数ヶ月),その他,,"1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\2.html
"アマダホールディングス(6113)の買い予想。 coopee06 さんの売買予想。 目標株価： 1,300円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,300円",アマダホールディングス,2015/02/24,22:48,買い予想,coopee06さん,76.41,"1,110.0",+44.31,"1,300",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,284.0",04月09日,13:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\20.html
"アマダホールディングス(6113)の買い予想。 vitz さんの売買予想。 目標株価： 1,391円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",アマダホールディングス,2015/01/20,14:12,買い予想,vitzさん,136.23,"1,063.0",+58.85,"1,391",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,284.0",04月09日,13:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\21.html
"アマダホールディングス(6113)の買い予想。 ユニマニ さんの売買予想。 目標株価： 1,170円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 割安",アマダホールディングス,2014/12/28,05:19,買い予想,ユニマニさん,44.82,"1,066.0",+57.88,"1,170",中期(数週間～数ヶ月),個人投資家の予想,,"1,284.0",04月09日,13:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\22.html
"アマダホールディングス(6113)の買い予想。 ヤミ帽 さんの売買予想。 目標株価： 1,199円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",アマダホールディングス,2014/11/28,19:54,買い予想,ヤミ帽さん,-51.47,"1,066.0",+57.88,"1,199",中期(数週間～数ヶ月),チャート,,"1,284.0",04月09日,13:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\23.html
"アマダホールディングス(6113)の買い予想。 ｺﾞｰﾙﾄﾞｼｯﾌﾟ さんの売買予想。 目標株価： 1,300円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",アマダホールディングス,2014/08/13,01:29,買い予想,ｺﾞｰﾙﾄﾞｼｯﾌﾟさん,65.22,970.0,+91.75,"1,300",中期(数週間～数ヶ月),その他,,"1,284.0",04月09日,13:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\24.html
アマダホールディングス(6113)の買い予想。 ect0926 さんの売買予想。 目標株価： 986円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成,アマダホールディングス,2014/07/18,09:54,買い予想,ect0926さん,127.49,987.0,+85.27,986,中期(数週間～数ヶ月),その他,,"1,284.0",04月09日,13:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\25.html
"アマダホールディングス(6113)の買い予想。 ats*shi*ura**a さんの売買予想。 目標株価： 1,206円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「買い」に賛成",アマダホールディングス,2014/07/17,09:00,買い予想,ats*shi*ura**aさん,45.62,"1,028.0",+70.53,"1,206",中期(数週間～数ヶ月),配当(株主優待を含む),仕手株まとめサイト,"1,284.0",04月09日,13:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6113-アマダホールディングス/2017-04-09-13-02-13/comment\26.html
