0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"アルプス電気(6770)の売り予想。 Toshi928 さんの売買予想。 目標株価： 2,453円 期間： 短期(数分~数日) 理由： チャート 売り予想 短期 目標株価2,431円",アルプス電気,2017/04/08,01:00,売り予想,Toshi928さん,0.57,成り行き ,,"2,453",短期(数分～数日),チャート,,"2,988.0",04月09日,18:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6770-アルプス電気/2017-04-09-18-47-22/comment\1.html
"アルプス電気(6770)の売り予想。 セレブニート さんの売買予想。 目標株価： 2,518円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に反対",アルプス電気,2016/10/06,17:22,売り予想,セレブニートさん,-45.04,"2,600.0",-42.54,"2,518",短期(数分～数日),個人投資家の予想,,"2,988.0",04月09日,18:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6770-アルプス電気/2017-04-09-18-47-22/comment\10.html
アルプス電気(6770)の売り予想。 WERD さんの売買予想。 目標株価： 601円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割高」に賛成,アルプス電気,2013/08/14,12:03,売り予想,WERDさん,-109.54,780.0,-805.32,601,中期(数週間～数ヶ月),チャート,"【株価分析結果】2013/08/14 02:03
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「601円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","2,988.0",04月09日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6770-アルプス電気/2017-04-09-18-47-22/comment\101.html
アルプス電気(6770)の買い予想。 俺のしお さんの売買予想。 目標株価： 900円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) うおおおおおおお！,アルプス電気,2013/06/09,23:02,買い予想,俺のしおさん,112.74,667.0,"+1,978.15",900,短期(数分～数日),業績(会社計画の修正発表を含む),90円想定,"2,988.0",04月09日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6770-アルプス電気/2017-04-09-18-47-22/comment\102.html
アルプス電気(6770)の買い予想。 ☆プリ☆彡 さんの売買予想。 目標株価： 700円 期間： 短期(数分~数日) 理由： その他 ☆いつもお世話になってます,アルプス電気,2013/06/08,10:00,買い予想,☆プリ☆彡さん,426.89,667.0,+989.07,700,短期(数分～数日),その他,,"2,988.0",04月09日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6770-アルプス電気/2017-04-09-18-47-22/comment\103.html
アルプス電気(6770)の買い予想。 海中ブランド さんの売買予想。 目標株価： 851円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,アルプス電気,2013/06/06,23:37,買い予想,海中ブランドさん,89.23,640.0,"+1,042.80",851,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,988.0",04月09日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6770-アルプス電気/2017-04-09-18-47-22/comment\104.html
アルプス電気(6770)の買い予想。 jyunmiyu さんの売買予想。 目標株価： 709円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「売り」に反対,アルプス電気,2013/05/01,14:40,買い予想,jyunmiyuさん,220.28,670.0,+983.37,709,短期(数分～数日),その他,,"2,988.0",04月09日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6770-アルプス電気/2017-04-09-18-47-22/comment\105.html
アルプス電気(6770)の買い予想。 t-oku さんの売買予想。 目標株価： 828円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,アルプス電気,2013/04/10,16:11,買い予想,t-okuさん,47.03,660.0,"+1,002.58",828,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/04/10 02:14
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「605円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","2,988.0",04月09日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6770-アルプス電気/2017-04-09-18-47-22/comment\106.html
アルプス電気(6770)の買い予想。 マッシュ君 さんの売買予想。 目標株価： 700円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対,アルプス電気,2013/03/20,18:59,買い予想,マッシュ君さん,1007.75,660.0,"+1,002.58",700,中期(数週間～数ヶ月),チャート,,"2,988.0",04月09日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6770-アルプス電気/2017-04-09-18-47-22/comment\107.html
アルプス電気(6770)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 670円 期間： 中期(数週間~数ヶ月) 理由： その他 今買わないと何時になっても買えない,アルプス電気,2013/02/15,14:26,買い予想,37 　 工事中 !さん,57.65,634.0,"+1,055.36",670,中期(数週間～数ヶ月),その他,,"2,988.0",04月09日,18:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6770-アルプス電気/2017-04-09-18-47-22/comment\108.html
