0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"イオン(8267)の売り予想。 リサ・ランドール さんの売買予想。 目標株価： 1,588円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想 長期 目標株価1,582円",イオン,2017/04/06,19:10,売り予想,リサ・ランドールさん,0.01,"1,627.0",-2.44,"1,588",長期(数ヶ月～数年),その他,,"1,640.0",04月10日,03:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8267-イオン/2017-04-10-03-49-57/comment\1.html
"イオン(8267)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 2,546円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価2,500円",イオン,2017/02/26,14:35,買い予想,Newジェントルマンさん,-5.41,"1,655.0",-2.74,"2,546",中期(数週間～数ヶ月),その他,,"1,640.0",04月10日,03:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8267-イオン/2017-04-10-03-49-57/comment\10.html
"イオン(8267)の買い予想。 どろっぽ さんの売買予想。 目標株価： 1,900円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 株価診断結果「割安」に賛成",イオン,2016/01/24,14:15,買い予想,どろっぽさん,-3.06,"1,555.0",+15.36,"1,900",長期(数ヶ月～数年),配当(株主優待を含む),"【株価分析結果】2016/01/23 01:48　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,916円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","1,640.0",04月10日,03:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8267-イオン/2017-04-10-03-49-57/comment\100.html
"イオン(8267)の買い予想。 池照檀那 さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",イオン,2016/01/23,13:59,買い予想,池照檀那さん,50.29,"1,555.0",+15.36,"2,000",長期(数ヶ月～数年),個人投資家の予想,,"1,640.0",04月10日,03:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8267-イオン/2017-04-10-03-49-57/comment\101.html
"イオン(8267)の買い予想。 工事屋さん さんの売買予想。 目標株価： 1,915円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割安」に賛成",イオン,2016/01/14,22:05,買い予想,工事屋さんさん,10.77,"1,583.0",+10.05,"1,915",長期(数ヶ月～数年),その他,"【株価分析結果】2016/01/14 01:43　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「2,007円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","1,640.0",04月10日,03:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8267-イオン/2017-04-10-03-49-57/comment\102.html
"イオン(8267)の買い予想。 ﾄｼ☆ さんの売買予想。 目標株価： 1,700円 期間： 短期(数分~数日) 理由： その他 買い",イオン,2016/01/13,19:17,買い予想,ﾄｼ☆さん,-5.47,"1,572.5",+12.02,"1,700",短期(数分～数日),その他,,"1,640.0",04月10日,03:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8267-イオン/2017-04-10-03-49-57/comment\103.html
"イオン(8267)の売り予想。 isono_tubasa さんの売買予想。 目標株価： 1,007円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対",イオン,2016/01/13,14:21,売り予想,isono_tubasaさん,70.41,"1,589.0",-9.30,"1,007",長期(数ヶ月～数年),チャート,,"1,640.0",04月10日,03:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8267-イオン/2017-04-10-03-49-57/comment\104.html
"イオン(8267)の買い予想。 第68旅団 さんの売買予想。 目標株価： 1,900円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 株価診断結果「割安」に賛成",イオン,2016/01/12,19:57,買い予想,第68旅団さん,-6.24,"1,611.0",+4.94,"1,900",中期(数週間～数ヶ月),配当(株主優待を含む),"【株価分析結果】2016/01/09 01:46
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,031円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","1,640.0",04月10日,03:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8267-イオン/2017-04-10-03-49-57/comment\105.html
"イオン(8267)の買い予想。 ともちょこ さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： その他 買",イオン,2016/01/11,11:31,買い予想,ともちょこさん,95.61,"1,700.0",-10.20,"2,000",長期(数ヶ月～数年),その他,,"1,640.0",04月10日,03:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8267-イオン/2017-04-10-03-49-57/comment\106.html
"イオン(8267)の買い予想。 ぼちぼちウサギ さんの売買予想。 目標株価： 2,050円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「買い」に賛成",イオン,2016/01/10,11:27,買い予想,ぼちぼちウサギさん,-4.18,"1,700.0",-10.20,"2,050",中期(数週間～数ヶ月),配当(株主優待を含む),,"1,640.0",04月10日,03:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8267-イオン/2017-04-10-03-49-57/comment\107.html
