概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ＮＴＴデータ(9613)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 5,759円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価5,759円",エヌ・ティ・ティ・データ,2017/04/07,23:18,買い予想,徳川慶喜さん,-2.73,"5,170.0",-2.80,"5,759",中期(数週間～数ヶ月),チャート,,"5,120.0",04月10日,14:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9613-エヌ・ティ・ティ・データ/2017-04-10-14-45-59/comment\1.html
"ＮＴＴデータ(9613)の買い予想。 練習さん さんの売買予想。 目標株価： 6,985円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",エヌ・ティ・ティ・データ,2016/01/09,21:51,買い予想,練習さんさん,20.84,"5,620.0",-25.34,"6,985",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"5,120.0",04月10日,14:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9613-エヌ・ティ・ティ・データ/2017-04-10-14-45-59/comment\10.html
"ＮＴＴデータ(9613)の買い予想。 るんるんゆっこ さんの売買予想。 目標株価： 3,500円 期間： 短期(数分~数日) 理由： チャート kai",エヌ・ティ・ティ・データ,2009/06/10,21:31,買い予想,るんるんゆっこさん,285.5,"3,000.0",+200.85,"3,500",短期(数分～数日),チャート,,"5,130.0",04月10日,14:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9613-エヌ・ティ・ティ・データ/2017-04-10-14-45-59/comment\100.html
"ＮＴＴデータ(9613)の買い予想。 RX78G3 さんの売買予想。 目標株価： 3,375円 期間： 短期(数分~数日) ｋ",エヌ・ティ・ティ・データ,2009/04/19,12:45,買い予想,RX78G3さん,601.44,"2,628.0",+269.53,"3,375",短期(数分～数日),,,"5,130.0",04月10日,14:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9613-エヌ・ティ・ティ・データ/2017-04-10-14-45-59/comment\101.html
"ＮＴＴデータ(9613)の買い予想。 ｍｏｍｏｎｇａ さんの売買予想。 目標株価： 3,375円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",エヌ・ティ・ティ・データ,2009/02/25,22:51,買い予想,ｍｏｍｏｎｇａさん,401.27,"2,300.0",+348.52,"3,375",中期(数週間～数ヶ月),チャート,,"5,130.0",04月10日,14:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9613-エヌ・ティ・ティ・データ/2017-04-10-14-45-59/comment\102.html
"ＮＴＴデータ(9613)の買い予想。 にゃんこ先生 さんの売買予想。 目標株価： 3,375円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 今が買い時！",エヌ・ティ・ティ・データ,2009/02/11,15:15,買い予想,にゃんこ先生さん,61.63,"2,476.0",+303.53,"3,375",短期(数分～数日),業績(会社計画の修正発表を含む),"経営状態いいのに、売られすぎではないですか？
なぜ、状態いいのに、株価下がるのでしょうね？

そろそろ↗↗↗
","5,130.0",04月10日,14:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9613-エヌ・ティ・ティ・データ/2017-04-10-14-45-59/comment\103.html
"ＮＴＴデータ(9613)の買い予想。 Zarkava さんの売買予想。 目標株価： 3,375円 期間： 短期(数分~数日) 理由： チャート 買い",エヌ・ティ・ティ・データ,2009/02/10,12:22,買い予想,Zarkavaさん,544.87,"2,518.0",+293.73,"3,375",短期(数分～数日),チャート,,"5,130.0",04月10日,14:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9613-エヌ・ティ・ティ・データ/2017-04-10-14-45-59/comment\104.html
"ＮＴＴデータ(9613)の買い予想。 紗夜 さんの売買予想。 目標株価： 5,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",エヌ・ティ・ティ・データ,2009/02/03,11:50,買い予想,紗夜さん,-198.27,"2,837.0",+228.73,"5,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),超悪い決算は出てこなさそう。,"5,130.0",04月10日,14:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9613-エヌ・ティ・ティ・データ/2017-04-10-14-45-59/comment\105.html
"ＮＴＴデータ(9613)の売り予想。 gangan0403 さんの売買予想。 目標株価： 3,375円 期間： 中期(数週間~数ヶ月) 理由： その他 売り",エヌ・ティ・ティ・データ,2008/12/03,20:37,売り予想,gangan0403さん,-189.57,"3,490.0",-132.89,"3,375",中期(数週間～数ヶ月),その他,3→2,"5,130.0",04月10日,14:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9613-エヌ・ティ・ティ・データ/2017-04-10-14-45-59/comment\106.html
"ＮＴＴデータ(9613)の買い予想。 ミミちゃん さんの売買予想。 目標株価： 3,500円 期間： 中期(数週間~数ヶ月) 三菱ＵＦＪでは「１」を継続、目標株価44万円としている",エヌ・ティ・ティ・データ,2008/12/02,21:16,買い予想,ミミちゃんさん,168.79,"3,420.0",+141.26,"3,500",中期(数週間～数ヶ月),,"三菱ＵＦＪでは「１」を継続、目標株価44万円としているnewsミミ



","5,130.0",04月10日,14:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9613-エヌ・ティ・ティ・データ/2017-04-10-14-45-59/comment\107.html
