0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"オリンパス(7733)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 4,288円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価4,265円",オリンパス,2017/04/01,10:54,買い予想,徳川慶喜さん,-2.73,"4,300.0",-10.31,"4,288",中期(数週間～数ヶ月),チャート,,"4,145.0",04月10日,01:05,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7733-オリンパス/2017-04-10-01-05-23/comment\1.html
"オリンパス(7733)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 3,475円 期間： 長期(数ヶ月～数年) 理由： その他 買い直し 買い予想 長期 目標株価3,475円",オリンパス,2016/09/15,20:58,買い予想,37 　 工事中 !さん,57.65,"3,430.0",+59.19,"3,475",長期(数ヶ月～数年),その他,,"4,145.0",04月10日,01:06,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7733-オリンパス/2017-04-10-01-05-23/comment\10.html
"オリンパス(7733)の買い予想。 yoc1234 さんの売買予想。 目標株価： 1,605円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「買い」に賛成",オリンパス,2012/06/26,11:32,買い予想,yoc1234さん,458.15,"1,208.0",+691.12,"1,605",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"4,145.0",04月10日,01:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7733-オリンパス/2017-04-10-01-05-23/comment\100.html
"オリンパス(7733)の買い予想。 ぶひ さんの売買予想。 目標株価： 1,815円 期間： 長期(数ヶ月～数年) 理由： チャート 買い",オリンパス,2012/06/26,11:29,買い予想,ぶひさん,-401.87,"1,213.0",+687.10,"1,815",長期(数ヶ月～数年),チャート,"オリンパスが反発、ソニーが５００億円出資と(株式ネット新聞)
2012/06/22(12:01)
http://minkabu.jp/stock/7733/news/392869","4,145.0",04月10日,01:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7733-オリンパス/2017-04-10-01-05-23/comment\101.html
オリンパス(7733)の売り予想。 みえすく さんの売買予想。 目標株価： 243円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成,オリンパス,2012/06/15,23:18,売り予想,みえすくさん,-286.14,"1,248.0",-660.31,243,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2012/06/15 02:19
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「550円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは日本株全体の平均値よりも高い為、相対比較の観点からは割高と判断されます。

","4,145.0",04月10日,01:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7733-オリンパス/2017-04-10-01-05-23/comment\102.html
"オリンパス(7733)の売り予想。 ACｻﾝｸﾁｭｱﾘ さんの売買予想。 目標株価： 1,100円 期間： 中期(数週間~数ヶ月) 理由： その他 売り",オリンパス,2012/06/08,21:14,売り予想,ACｻﾝｸﾁｭｱﾘさん,-287.9,"1,321.0",-608.11,"1,100",中期(数週間～数ヶ月),その他,円高であがってきたからこれから円安で下がる？,"4,145.0",04月10日,01:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7733-オリンパス/2017-04-10-01-05-23/comment\103.html
"オリンパス(7733)の買い予想。 呑気呆亭 さんの売買予想。 目標株価： 1,200円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",オリンパス,2012/05/16,23:51,買い予想,呑気呆亭さん,280.57,"1,084.0",+802.71,"1,200",中期(数週間～数ヶ月),その他,,"4,145.0",04月10日,01:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7733-オリンパス/2017-04-10-01-05-23/comment\104.html
"オリンパス(7733)の買い予想。 delpiero さんの売買予想。 目標株価： 1,700円 期間： 長期(数ヶ月～数年) 理由： チャート カイ",オリンパス,2012/05/10,19:47,買い予想,delpieroさん,247.82,"1,150.0",+740.32,"1,700",長期(数ヶ月～数年),チャート,,"4,145.0",04月10日,01:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7733-オリンパス/2017-04-10-01-05-23/comment\105.html
"オリンパス(7733)の買い予想。 【ランキング１位】神様【５冠王】 さんの売買予想。 目標株価： 1,148円 期間： 長期(数ヶ月～数年) 理由： その他 買い",オリンパス,2012/05/09,16:36,買い予想,【ランキング１位】神様【５冠王】さん,591.12,"1,092.0",+794.75,"1,148",長期(数ヶ月～数年),その他,,"4,145.0",04月10日,01:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7733-オリンパス/2017-04-10-01-05-23/comment\106.html
"オリンパス(7733)の買い予想。 bogy0070 さんの売買予想。 目標株価： 1,270円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株主総会後 もっと上がると予想",オリンパス,2012/02/09,16:30,買い予想,bogy0070さん,631.0,"1,292.0",+627.70,"1,270",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),4月頃には判断したい,"4,145.0",04月10日,01:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7733-オリンパス/2017-04-10-01-05-23/comment\107.html
