概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"オークマ(6103)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 1,825円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価1,825円",オークマ,2017/02/26,15:37,買い予想,Newジェントルマンさん,-5.41,"1,215.0",-25.51,"1,825",中期(数週間～数ヶ月),その他,,"1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\1.html
オークマ(6103)の買い予想。 kouboudaisi さんの売買予想。 目標株価： 830円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割安」に賛成,オークマ,2016/07/06,21:12,買い予想,kouboudaisiさん,12.36,634.0,+211.70,830,中期(数週間～数ヶ月),個人投資家の予想,,"1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\10.html
"オークマ(6103)の買い予想。 kazu.n1 さんの売買予想。 目標株価： 1,200円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",オークマ,2016/04/18,21:42,買い予想,kazu.n1さん,437.72,882.0,+72.21,"1,200",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\11.html
オークマ(6103)の買い予想。 ライオンキング☆ノノノ さんの売買予想。 目標株価： 965円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,オークマ,2016/03/06,13:16,買い予想,ライオンキング☆ノノノさん,185.54,889.0,+69.41,964,中期(数週間～数ヶ月),個人投資家の予想,,"1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\12.html
オークマ(6103)の買い予想。 tomonorimasayuu さんの売買予想。 目標株価： 900円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価900円,オークマ,2016/02/01,20:55,買い予想,tomonorimasayuuさん,127.67,823.0,+97.78,900,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\13.html
"オークマ(6103)の買い予想。 グズ坊 さんの売買予想。 目標株価： 1,080円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価1,077円",オークマ,2016/01/30,10:20,買い予想,グズ坊さん,60.6,900.0,+65.08,"1,080",短期(数分～数日),チャート,,"1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\14.html
"オークマ(6103)の買い予想。 shintarou さんの売買予想。 目標株価： 1,212円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 異常な安値。業績も良く、回復する。",オークマ,2016/01/23,10:11,買い予想,shintarouさん,162.0,904.0,+63.54,"1,212",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\15.html
オークマ(6103)の買い予想。 グフカスタム さんの売買予想。 目標株価： 976円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,オークマ,2016/01/13,09:18,買い予想,グフカスタムさん,-8.39,931.0,+53.45,975,短期(数分～数日),個人投資家の予想,,"1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\16.html
"オークマ(6103)の売り予想。 ファミリア、マクハリ さんの売買予想。 目標株価： 1,081円 期間： 短期(数分~数日) 理由： その他 sd",オークマ,2015/12/09,16:17,売り予想,ファミリア、マクハリさん,148.36,"1,088.0",-5.22,"1,081",短期(数分～数日),その他,,"1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\17.html
オークマ(6103)の売り予想。 松岡政也 さんの売買予想。 目標株価： 550円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,オークマ,2015/12/05,14:01,売り予想,松岡政也さん,-25.38,"1,122.0",+3.54,550,長期(数ヶ月～数年),その他,"【株価分析結果】2015/12/05 01:29
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,121円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\18.html
"オークマ(6103)の買い予想。 きゃっと.NET さんの売買予想。 目標株価： 1,251円 期間： 長期(数ヶ月～数年) 理由： その他 かい",オークマ,2015/10/29,05:02,買い予想,きゃっと.NETさん,23.36,968.0,+40.53,"1,251",長期(数ヶ月～数年),その他,,"1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\19.html
"オークマ(6103)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 1,161円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 82.3p",オークマ,2017/02/18,11:33,売り予想,７本ＤＭさん,0.86,"1,213.0",+24.61,"1,160",中期(数週間～数ヶ月),個人投資家の予想,,"1,107.0",04月09日,12:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6103-オークマ/2017-04-09-12-59-04/comment\2.html
