0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"カシオ計算機(6952)の買い予想。 twitter88 さんの売買予想。 目標株価： 2,779円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価2,775円",カシオ計算機,2017/03/27,14:53,買い予想,twitter88さん,-0.95,"1,558.0",-6.20,"2,779",長期(数ヶ月～数年),チャート,,"1,525.0",04月09日,19:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6952-カシオ計算機/2017-04-09-19-25-57/comment\1.html
"カシオ計算機(6952)の買い予想。 那須のきゅうり さんの売買予想。 目標株価： 2,018円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",カシオ計算機,2017/01/15,23:37,買い予想,那須のきゅうりさん,14.5,"1,606.0",-14.51,"2,018",長期(数ヶ月～数年),チャート,,"1,525.0",04月09日,19:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6952-カシオ計算機/2017-04-09-19-25-57/comment\10.html
カシオ計算機(6952)の買い予想。 むかちゃん さんの売買予想。 目標株価： 435円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い,カシオ計算機,2012/01/18,09:41,買い予想,むかちゃんさん,505.28,435.0,+711.88,435,短期(数分～数日),業績(会社計画の修正発表を含む),,"1,525.0",04月09日,19:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6952-カシオ計算機/2017-04-09-19-25-57/comment\100.html
カシオ計算機(6952)の買い予想。 moko♡ さんの売買予想。 目標株価： 462円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い♡,カシオ計算機,2012/01/17,00:28,買い予想,moko♡さん,338.94,441.0,+698.32,462,中期(数週間～数ヶ月),チャート,"全銘柄分析中で～す♡ 

 ヨコヨコだね 
　(＊^_-＊)~♡ 
","1,525.0",04月09日,19:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6952-カシオ計算機/2017-04-09-19-25-57/comment\101.html
カシオ計算機(6952)の買い予想。 mac_kun1964 さんの売買予想。 目標株価： 486円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,カシオ計算機,2012/01/16,01:14,買い予想,mac_kun1964さん,420.34,439.0,+702.80,486,中期(数週間～数ヶ月),その他,,"1,525.0",04月09日,19:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6952-カシオ計算機/2017-04-09-19-25-57/comment\102.html
カシオ計算機(6952)の買い予想。 Roi1 さんの売買予想。 目標株価： 882円 期間： 長期(数ヶ月～数年) 理由： チャート 拾い場,カシオ計算機,2012/01/12,13:31,買い予想,Roi1さん,36.37,441.0,+698.32,882,長期(数ヶ月～数年),チャート,,"1,525.0",04月09日,19:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6952-カシオ計算機/2017-04-09-19-25-57/comment\103.html
カシオ計算機(6952)の買い予想。 AAI Fund さんの売買予想。 目標株価： 449円 期間： 長期(数ヶ月～数年) 理由： チャート kai,カシオ計算機,2012/01/06,21:51,買い予想,AAI Fundさん,594.97,437.0,+707.32,449,長期(数ヶ月～数年),チャート,,"1,525.0",04月09日,19:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6952-カシオ計算機/2017-04-09-19-25-57/comment\104.html
カシオ計算機(6952)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 470円 期間： 長期(数ヶ月～数年) 理由： その他 買い,カシオ計算機,2011/11/15,13:42,買い予想,goodknight1987さん,319.77,438.0,+705.05,470,長期(数ヶ月～数年),その他,,"1,525.0",04月09日,19:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6952-カシオ計算機/2017-04-09-19-25-57/comment\105.html
"カシオ計算機(6952)の買い予想。 しろ011 さんの売買予想。 目標株価： 3,000円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「売り」に反対",カシオ計算機,2011/10/27,10:31,買い予想,しろ011さん,392.53,468.0,+641.63,"3,000",長期(数ヶ月～数年),チャート,大ヒット開発。,"1,525.0",04月09日,19:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6952-カシオ計算機/2017-04-09-19-25-57/comment\106.html
カシオ計算機(6952)の売り予想。 じむ さんの売買予想。 目標株価： 420円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に賛成,カシオ計算機,2011/09/11,22:28,売り予想,じむさん,-1343.68,455.0,"-1,338.68",420,中期(数週間～数ヶ月),チャート,,"1,525.0",04月09日,19:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6952-カシオ計算機/2017-04-09-19-25-57/comment\107.html
