概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"キッコーマン(2801)の買い予想。 rEgAIn さんの売買予想。 目標株価： 4,639円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想",キッコーマン,2017/04/04,01:02,買い予想,rEgAInさん,23.94,"3,390.0",-5.53,"4,639",長期(数ヶ月～数年),その他,,"3,325.0",04月08日,20:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2801-キッコーマン/2017-04-08-20-29-27/comment\1.html
"キッコーマン(2801)の買い予想。 ひろらん さんの売買予想。 目標株価： 4,085円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い予想 中期 目標株価4,023円",キッコーマン,2016/06/22,17:02,買い予想,ひろらんさん,27.67,"3,845.0",-38.53,"4,085",中期(数週間～数ヶ月),チャート,,"3,325.0",04月08日,20:29,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2801-キッコーマン/2017-04-08-20-29-27/comment\10.html
"キッコーマン(2801)の買い予想。 素人の独り言 さんの売買予想。 目標株価： 3,700円 期間： 中期(数週間~数ヶ月) 理由： チャート そろそろ",キッコーマン,2016/05/07,08:21,買い予想,素人の独り言さん,-7.49,"3,480.0",-12.74,"3,700",中期(数週間～数ヶ月),チャート,,"3,325.0",04月08日,20:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2801-キッコーマン/2017-04-08-20-29-27/comment\11.html
"キッコーマン(2801)の買い予想。 ちえりん さんの売買予想。 目標株価： 5,148円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",キッコーマン,2016/01/30,21:53,買い予想,ちえりんさん,43.53,"4,000.0",-48.05,"5,148",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,325.0",04月08日,20:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2801-キッコーマン/2017-04-08-20-29-27/comment\12.html
"キッコーマン(2801)の売り予想。 松岡政也 さんの売買予想。 目標株価： 1,800円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想",キッコーマン,2015/11/03,12:32,売り予想,松岡政也さん,-25.38,"3,750.0",+32.15,"1,800",長期(数ヶ月～数年),その他,,"3,325.0",04月08日,20:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2801-キッコーマン/2017-04-08-20-29-27/comment\13.html
"キッコーマン(2801)の買い予想。 pinksapphire さんの売買予想。 目標株価： 4,103円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",キッコーマン,2015/10/07,07:25,買い予想,pinksapphireさん,40.24,"3,585.0",-20.70,"4,103",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"3,325.0",04月08日,20:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2801-キッコーマン/2017-04-08-20-29-27/comment\14.html
"キッコーマン(2801)の買い予想。 takasitokio さんの売買予想。 目標株価： 4,177円 期間： 長期(数ヶ月～数年) 理由： その他 買い",キッコーマン,2015/09/09,05:28,買い予想,takasitokioさん,32.21,"3,340.0",-1.36,"4,177",長期(数ヶ月～数年),その他,,"3,325.0",04月08日,20:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2801-キッコーマン/2017-04-08-20-29-27/comment\15.html
キッコーマン(2801)の売り予想。 短期決戦 さんの売買予想。 目標株価： 800円 期間： 長期(数ヶ月～数年) 理由： チャート 売り転換。,キッコーマン,2015/06/13,16:43,売り予想,短期決戦さん,131.46,"3,510.0",+14.90,800,長期(数ヶ月～数年),チャート,,"3,325.0",04月08日,20:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2801-キッコーマン/2017-04-08-20-29-27/comment\16.html
"キッコーマン(2801)の買い予想。 motta さんの売買予想。 目標株価： 4,000円 期間： 短期(数分~数日) 理由： その他 ADR株価急騰！？",キッコーマン,2015/05/03,23:13,買い予想,mottaさん,-2.59,"3,360.0",-3.04,"4,000",短期(数分～数日),その他,"5月1日のADR株価が円換算で4062円。
http://moneybox.jp/investment/adr.php?t=2801
+662 円（+19.46%）と書いてあります。
これが本当ならば、キッコーマンは買いですし、まもなく決算を迎え、決算が良いと予想され、キッコーマンと同様に海外展開も行っている他の会社の株（例：カルビー、グリコ）の売買にも影響がありそう。流れが変わる？？？
でも、このADR株価の値はしばらく売買がないので古い値？　やっぱり流れ変わらないかも。どなたか詳しい方、教えてください。","3,325.0",04月08日,20:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2801-キッコーマン/2017-04-08-20-29-27/comment\17.html
"キッコーマン(2801)の買い予想。 ★急成長★買付余力XXX億円★ハゲタカファンド さんの売買予想。 目標株価： 4,400円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 抑えるか",キッコーマン,2015/04/03,15:04,買い予想,★急成長★買付余力XXX億円★ハゲタカファンドさん,137.3,"3,975.0",-46.57,"4,400",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,325.0",04月08日,20:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2801-キッコーマン/2017-04-08-20-29-27/comment\18.html
