0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"キヤノン(7751)の買い予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 4,200円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･騰がりそう☆",キヤノン,2017/04/07,12:49,買い予想,ひとみん｡｡☆さん,0.86,"3,469.0",-0.40,"4,200",中期(数週間～数ヶ月),チャート,,"3,465.0",04月10日,01:20,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7751-キヤノン/2017-04-10-01-20-49/comment\1.html
"キヤノン(7751)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 4,125円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価4,125円",キヤノン,2017/02/24,12:00,買い予想,Newジェントルマンさん,-5.41,"3,309.0",+13.31,"4,125",中期(数週間～数ヶ月),その他,,"3,465.0",04月10日,01:21,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7751-キヤノン/2017-04-10-01-20-49/comment\10.html
"キヤノン(7751)の買い予想。 h_w*fe*t さんの売買予想。 目標株価： 3,907円 期間： 長期(数ヶ月～数年) 理由： 配当(株主優待を含む) 買い予想 長期 目標株価3,891円",キヤノン,2015/02/15,14:12,買い予想,h_w*fe*tさん,49.12,"3,834.0",-27.44,"3,907",長期(数ヶ月～数年),配当(株主優待を含む),,"3,465.0",04月10日,01:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7751-キヤノン/2017-04-10-01-20-49/comment\100.html
"キヤノン(7751)の買い予想。 exexex さんの売買予想。 目標株価： 4,052円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価4,039円",キヤノン,2015/02/13,21:08,買い予想,exexexさん,-84.95,"3,834.0",-27.44,"4,052",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,465.0",04月10日,01:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7751-キヤノン/2017-04-10-01-20-49/comment\101.html
"キヤノン(7751)の買い予想。 wolfgang777 さんの売買予想。 目標株価： 3,991円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",キヤノン,2015/02/10,16:56,買い予想,wolfgang777さん,-29.75,"3,880.0",-30.48,"3,991",短期(数分～数日),個人投資家の予想,,"3,465.0",04月10日,01:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7751-キヤノン/2017-04-10-01-20-49/comment\102.html
"キヤノン(7751)の買い予想。 ジョントラ さんの売買予想。 目標株価： 4,079円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",キヤノン,2014/12/30,12:36,買い予想,ジョントラさん,57.5,"3,877.0",-30.29,"4,079",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2014/12/30 02:17　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「3,413円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。","3,465.0",04月10日,01:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7751-キヤノン/2017-04-10-01-20-49/comment\103.html
"キヤノン(7751)の売り予想。 幸一 さんの売買予想。 目標株価： 3,200円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対",キヤノン,2014/10/27,19:47,売り予想,幸一さん,39.58,"3,230.0",-20.77,"3,200",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,465.0",04月10日,01:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7751-キヤノン/2017-04-10-01-20-49/comment\104.html
"キヤノン(7751)の買い予想。 ｺｳｳﾝ さんの売買予想。 目標株価： 2,900円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い時",キヤノン,2014/10/26,18:14,買い予想,ｺｳｳﾝさん,18.52,"3,294.0",+14.67,"2,900",中期(数週間～数ヶ月),チャート,安2900,"3,465.0",04月10日,01:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7751-キヤノン/2017-04-10-01-20-49/comment\105.html
"キヤノン(7751)の買い予想。 SG1113 さんの売買予想。 目標株価： 3,600円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",キヤノン,2014/09/10,18:58,買い予想,SG1113さん,-32.27,"3,500.0",-2.92,"3,599",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"3,465.0",04月10日,01:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7751-キヤノン/2017-04-10-01-20-49/comment\106.html
"キヤノン(7751)の買い予想。 フェブラリーキング さんの売買予想。 目標株価： 7,421円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",キヤノン,2014/08/30,23:36,買い予想,フェブラリーキングさん,70.22,"3,391.5",+6.07,"7,421",長期(数ヶ月～数年),個人投資家の予想,,"3,465.0",04月10日,01:24,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7751-キヤノン/2017-04-10-01-20-49/comment\107.html
