概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"キリンホールディングス(2503)の買い予想。 twitter88 さんの売買予想。 目標株価： 2,675円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価2,675円",キリンホールディングス,2017/03/27,13:20,買い予想,twitter88さん,-0.95,"2,071.5",+5.14,"2,675",長期(数ヶ月～数年),チャート,,"2,110.0",04月08日,19:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\1.html
"キリンホールディングス(2503)の買い予想。 いくほし さんの売買予想。 目標株価： 1,997円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",キリンホールディングス,2016/12/14,15:52,買い予想,いくほしさん,-1.19,"1,918.5",+28.23,"1,997",短期(数分～数日),個人投資家の予想,,"2,110.0",04月08日,19:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\10.html
"キリンホールディングス(2503)の買い予想。 ますー さんの売買予想。 目標株価： 1,324円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",キリンホールディングス,2012/03/21,11:59,買い予想,ますーさん,220.98,"1,019.0",+304.17,"1,324",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/03/20 01:17
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「957円」を割ると割安圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\100.html
"キリンホールディングス(2503)の買い予想。 中学生 さんの売買予想。 目標株価： 1,006円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",キリンホールディングス,2012/03/08,14:50,買い予想,中学生さん,286.63,979.0,+328.21,"1,006",中期(数週間～数ヶ月),その他,,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\101.html
"キリンホールディングス(2503)の買い予想。 sanchome0512 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",キリンホールディングス,2012/01/10,21:10,買い予想,sanchome0512さん,352.89,930.0,+360.49,"1,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"なんとなく
","2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\102.html
"キリンホールディングス(2503)の買い予想。 get_syouri さんの売買予想。 目標株価： 1,408円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",キリンホールディングス,2011/12/24,12:44,買い予想,get_syouriさん,440.38,949.0,+347.58,"1,408",中期(数週間～数ヶ月),チャート,,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\103.html
"キリンホールディングス(2503)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 1,175円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",キリンホールディングス,2011/11/29,05:33,買い予想,リサ・ランドールさん,137.27,914.0,+371.78,"1,175",中期(数週間～数ヶ月),その他,,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\104.html
"キリンホールディングス(2503)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： その他 買い",キリンホールディングス,2011/11/14,15:12,買い予想,goodknight1987さん,319.77,903.0,+379.77,"1,000",長期(数ヶ月～数年),その他,,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\105.html
"キリンホールディングス(2503)の買い予想。 morimoriman さんの売買予想。 目標株価： 1,100円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",キリンホールディングス,2011/11/07,19:05,買い予想,morimorimanさん,4.61,935.0,+357.04,"1,100",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\106.html
"キリンホールディングス(2503)の買い予想。 C@mC@m さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 株価診断結果「割安」に賛成",キリンホールディングス,2011/11/06,22:40,買い予想,C@mC@mさん,-71.7,959.0,+340.99,"1,500",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),"【株価分析結果】2011/11/05 01:13
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,080円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\107.html
"キリンホールディングス(2503)の買い予想。 eukurides さんの売買予想。 目標株価： 1,137円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",キリンホールディングス,2011/08/09,17:49,買い予想,eukuridesさん,295.43,980.0,+327.59,"1,137",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/08/09 03:14
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,137円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\108.html
"キリンホールディングス(2503)の買い予想。 dennouzenkai さんの売買予想。 目標株価： 1,129円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) キリンだから",キリンホールディングス,2011/08/06,14:23,買い予想,dennouzenkaiさん,255.75,"1,000.0",+315.35,"1,129",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\109.html
"キリンホールディングス(2503)の売り予想。 runa2016 さんの売買予想。 目標株価： 1,730円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 個人投資家の意見「買い」に反対",キリンホールディングス,2016/12/12,19:41,売り予想,runa2016さん,-2.23,"1,969.0",-20.50,"1,730",中期(数週間～数ヶ月),配当(株主優待を含む),,"2,110.0",04月08日,19:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\11.html
"キリンホールディングス(2503)の買い予想。 （ﾟ∀ﾟ） さんの売買予想。 目標株価： 1,078円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「売り」に反対",キリンホールディングス,2011/08/05,20:58,買い予想,（ﾟ∀ﾟ）さん,-5.69,"1,000.0",+315.35,"1,078",短期(数分～数日),その他,"冷房などなくとも、風呂上りはビールと団扇と巨人戦。
ちゃぶ台を囲んだ昭和の風情を思い起こそうぞ！","2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\110.html
"キリンホールディングス(2503)の買い予想。 KENNY MAN さんの売買予想。 目標株価： 1,205円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",キリンホールディングス,2011/08/02,23:15,買い予想,KENNY MANさん,383.56,"1,120.0",+251.10,"1,205",短期(数分～数日),業績(会社計画の修正発表を含む),,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\111.html
"キリンホールディングス(2503)の買い予想。 ﾀｶｻｸ さんの売買予想。 目標株価： 1,300円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",キリンホールディングス,2011/06/02,09:58,買い予想,ﾀｶｻｸさん,375.15,"1,111.0",+255.43,"1,300",中期(数週間～数ヶ月),チャート,,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\112.html
"キリンホールディングス(2503)の買い予想。 -玄人- さんの売買予想。 目標株価： 1,250円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い",キリンホールディングス,2011/05/18,12:28,買い予想,-玄人-さん,294.4,"1,116.0",+253.01,"1,250",短期(数分～数日),業績(会社計画の修正発表を含む),,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\113.html
"キリンホールディングス(2503)の買い予想。 ugauga さんの売買予想。 目標株価： 1,300円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",キリンホールディングス,2011/04/24,10:12,買い予想,ugaugaさん,252.97,"1,080.0",+270.93,"1,300",中期(数週間～数ヶ月),その他,,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\114.html
"キリンホールディングス(2503)の買い予想。 直吉 さんの売買予想。 目標株価： 1,200円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",キリンホールディングス,2011/04/04,20:58,買い予想,直吉さん,195.5,"1,082.0",+269.90,"1,200",中期(数週間～数ヶ月),その他,この辺り株が復活しなければ、日本の未来有りますか？,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\115.html
"キリンホールディングス(2503)の買い予想。 よっしー.com さんの売買予想。 目標株価： 1,200円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",キリンホールディングス,2011/03/30,23:45,買い予想,よっしー.comさん,120.37,"1,100.0",+260.83,"1,200",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),割安,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\116.html
キリンホールディングス(2503)の売り予想。 ｻﾝｼﾞｪﾙﾏﾝ酒田 さんの売買予想。 目標株価： 850円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 新潟向げ生産が見通しただねってぇ(´～｀;)┌,キリンホールディングス,2011/03/27,23:08,売り予想,ｻﾝｼﾞｪﾙﾏﾝ酒田さん,-278.43,"1,081.0",-270.94,850,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),大震災の見えない被害は予想以上に深いらしく〓即席復旧さえも非常に難しいみたい｡,"2,110.0",04月08日,19:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2503-キリンホールディングス/2017-04-08-19-55-53/comment\117.html
