概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"クボタ(6326)の買い予想。 ノリダー385 さんの売買予想。 目標株価： 1,914円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,912円",クボタ,2017/04/08,18:49,買い予想,ノリダー385さん,-24.3,成り行き ,,"1,914",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,652.0",04月09日,13:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6326-クボタ/2017-04-09-13-38-16/comment\1.html
"クボタ(6326)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 1,191円 期間： 長期(数ヶ月～数年) 理由： チャート 2017",クボタ,2017/01/07,12:11,売り予想,エグゼクティブ・まっちさん,-14.13,"1,725.0",+11.86,"1,190",長期(数ヶ月～数年),チャート,,"1,652.0",04月09日,13:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6326-クボタ/2017-04-09-13-38-16/comment\10.html
クボタ(6326)の買い予想。 短期決戦 さんの売買予想。 目標株価： 800円 期間： 短期(数分~数日) 理由： その他 k,クボタ,2011/04/28,14:01,買い予想,短期決戦さん,131.46,768.0,+326.94,800,短期(数分～数日),その他,k,"1,652.0",04月09日,13:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6326-クボタ/2017-04-09-13-38-16/comment\100.html
"クボタ(6326)の買い予想。 kojima さんの売買予想。 目標株価： 1,560円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",クボタ,2011/03/20,16:28,買い予想,kojimaさん,-68.76,835.0,+277.88,"1,560",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,652.0",04月09日,13:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6326-クボタ/2017-04-09-13-38-16/comment\101.html
クボタ(6326)の買い予想。 orennjimikan さんの売買予想。 目標株価： 832円 期間： 短期(数分~数日) 理由： その他 買い,クボタ,2011/03/14,09:08,買い予想,orennjimikanさん,275.36,782.0,+315.99,832,短期(数分～数日),その他,,"1,652.0",04月09日,13:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6326-クボタ/2017-04-09-13-38-16/comment\102.html
"クボタ(6326)の買い予想。 ﾊﾙﾎﾞｳ さんの売買予想。 目標株価： 1,000円 期間： 中期(数週間~数ヶ月) 理由： チャート 買いです",クボタ,2011/03/07,17:23,買い予想,ﾊﾙﾎﾞｳさん,770.57,810.0,+295.24,"1,000",中期(数週間～数ヶ月),チャート,,"1,652.0",04月09日,13:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6326-クボタ/2017-04-09-13-38-16/comment\103.html
"クボタ(6326)の買い予想。 minatoku さんの売買予想。 目標株価： 1,147円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",クボタ,2011/02/10,00:56,買い予想,minatokuさん,205.45,883.0,+247.32,"1,147",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"これからアジアで稼いでくれそうです。
サラリーマンの自分にはのんびりと持っていられそうな銘柄。
食糧、農業関連銘柄は注目していきたい。","1,652.0",04月09日,13:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6326-クボタ/2017-04-09-13-38-16/comment\104.html
クボタ(6326)の買い予想。 アナトリアの傭兵 さんの売買予想。 目標株価： 904円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,クボタ,2011/02/05,13:55,買い予想,アナトリアの傭兵さん,116.95,866.0,+257.76,904,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,652.0",04月09日,13:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6326-クボタ/2017-04-09-13-38-16/comment\105.html
"クボタ(6326)の買い予想。 auction777master さんの売買予想。 目標株価： 1,548円 期間： 中期(数週間~数ヶ月) 理由： チャート good",クボタ,2011/01/25,22:43,買い予想,auction777masterさん,334.84,856.0,+264.09,"1,548",中期(数週間～数ヶ月),チャート,,"1,652.0",04月09日,13:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6326-クボタ/2017-04-09-13-38-16/comment\106.html
クボタ(6326)の買い予想。 starlet★ さんの売買予想。 目標株価： 760円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,クボタ,2011/01/21,13:43,買い予想,starlet★さん,279.92,833.0,+279.23,760,中期(数週間～数ヶ月),チャート,,"1,652.0",04月09日,13:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6326-クボタ/2017-04-09-13-38-16/comment\107.html
