概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"クラレ(3405)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 1,600円 期間： 短期(数分~数日) 理由： チャート ･･･下げそう☆",クラレ,2017/04/07,08:23,売り予想,ひとみん｡｡☆さん,0.86,"1,686.0",+2.02,"1,600",短期(数分～数日),チャート,,"1,673.0",04月08日,21:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3405-クラレ/2017-04-08-21-52-30/comment\1.html
"クラレ(3405)の買い予想。 Satanismformer さんの売買予想。 目標株価： 1,787円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 買い予想 長期 目標株価1,787円",クラレ,2016/11/25,12:12,買い予想,Satanismformerさん,-4.95,"1,585.0",+15.60,"1,787",長期(数ヶ月～数年),個人投資家の予想,,"1,673.0",04月08日,21:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3405-クラレ/2017-04-08-21-52-30/comment\10.html
"クラレ(3405)の買い予想。 yoc1234 さんの売買予想。 目標株価： 1,555円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「売り」に反対",クラレ,2011/03/16,07:01,買い予想,yoc1234さん,458.15,924.0,+230.19,"1,555",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"1,673.0",04月08日,21:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3405-クラレ/2017-04-08-21-52-30/comment\100.html
"クラレ(3405)の買い予想。 sophia..★ さんの売買予想。 目標株価： 1,230円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",クラレ,2011/03/03,17:14,買い予想,sophia..★さん,134.2,"1,147.0",+130.15,"1,230",短期(数分～数日),チャート,,"1,673.0",04月08日,21:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3405-クラレ/2017-04-08-21-52-30/comment\101.html
"クラレ(3405)の買い予想。 ピエール2世 さんの売買予想。 目標株価： 1,400円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",クラレ,2011/02/14,00:15,買い予想,ピエール2世さん,298.82,"1,177.0",+119.59,"1,400",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,673.0",04月08日,21:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3405-クラレ/2017-04-08-21-52-30/comment\102.html
"クラレ(3405)の買い予想。 silentsalt さんの売買予想。 目標株価： 1,226円 期間： 中期(数週間~数ヶ月) 理由： その他 ミラバケッソ",クラレ,2011/01/16,18:51,買い予想,silentsaltさん,878.25,"1,175.0",+120.27,"1,226",中期(数週間～数ヶ月),その他,特にない,"1,673.0",04月08日,21:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3405-クラレ/2017-04-08-21-52-30/comment\103.html
"クラレ(3405)の買い予想。 かべっち さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",クラレ,2010/12/17,10:11,買い予想,かべっちさん,-17.06,"1,175.0",+120.27,"1,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"1,673.0",04月08日,21:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3405-クラレ/2017-04-08-21-52-30/comment\104.html
"クラレ(3405)の買い予想。 ﾛﾍﾞｯﾄ さんの売買予想。 目標株価： 1,248円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",クラレ,2010/12/12,00:32,買い予想,ﾛﾍﾞｯﾄさん,-97.22,"1,192.0",+114.50,"1,248",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,673.0",04月08日,21:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3405-クラレ/2017-04-08-21-52-30/comment\105.html
"クラレ(3405)の買い予想。 mu-tron さんの売買予想。 目標株価： 1,297円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",クラレ,2010/12/08,14:35,買い予想,mu-tronさん,242.56,"1,177.0",+239.18,"1,297",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),絶対買いです。,"1,673.0",04月08日,21:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3405-クラレ/2017-04-08-21-52-30/comment\106.html
"クラレ(3405)の買い予想。 dover さんの売買予想。 目標株価： 1,400円 個人投資家の意見「売り」に反対",クラレ,2010/11/28,19:41,買い予想,doverさん,75.34,"1,180.0",+118.56,"1,400",,,,"1,673.0",04月08日,21:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3405-クラレ/2017-04-08-21-52-30/comment\107.html
"クラレ(3405)の買い予想。 naomo さんの売買予想。 目標株価： 1,100円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",クラレ,2010/09/25,18:07,買い予想,naomoさん,248.08,"1,065.0",+162.07,"1,100",中期(数週間～数ヶ月),その他,,"1,673.0",04月08日,21:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3405-クラレ/2017-04-08-21-52-30/comment\108.html
