0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"クレディセゾン(8253)の売り予想。 t-oku さんの売買予想。 目標株価： 1,387円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 売り",クレディセゾン,2017/04/04,17:32,売り予想,t-okuさん,47.03,"1,974.0",+1.00,"1,387",中期(数週間～数ヶ月),個人投資家の予想,,"1,966.0",04月10日,03:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8253-クレディセゾン/2017-04-10-03-46-02/comment\1.html
"クレディセゾン(8253)の買い予想。 綾鷹 さんの売買予想。 目標株価： 1,806円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 買い予想 短期 目標株価1,802円",クレディセゾン,2016/09/20,18:26,買い予想,綾鷹さん,13.5,"1,706.0",+43.17,"1,806",短期(数分～数日),イベント(増資／合弁・買収／分割等),,"1,966.0",04月10日,03:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8253-クレディセゾン/2017-04-10-03-46-02/comment\10.html
"クレディセゾン(8253)の買い予想。 く〜まん さんの売買予想。 目標株価： 3,000円 期間： 長期(数ヶ月～数年) 経営統合",クレディセゾン,2008/08/07,23:34,買い予想,く〜まんさん,126.79,"2,400.0",-51.54,"3,000",長期(数ヶ月～数年),,,"1,966.0",04月10日,03:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8253-クレディセゾン/2017-04-10-03-46-02/comment\100.html
"クレディセゾン(8253)の買い予想。 右衛門左衛門 さんの売買予想。 目標株価： 2,155円 むぅ",クレディセゾン,2008/07/13,18:30,買い予想,右衛門左衛門さん,74.93,"2,040.0",-10.45,"2,155",,,,"1,966.0",04月10日,03:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8253-クレディセゾン/2017-04-10-03-46-02/comment\101.html
"クレディセゾン(8253)の買い予想。 イサム さんの売買予想。 目標株価： 2,500円 期間： 短期(数分~数日) 理由： その他 レンタル家電をヤマダ電機と",クレディセゾン,2008/06/24,08:25,買い予想,イサムさん,2.1,"2,340.0",-45.57,"2,500",短期(数分～数日),その他,"ひとまずヤマダと組むということに価値がありそうです。

株価はあがるのでは？","1,966.0",04月10日,03:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8253-クレディセゾン/2017-04-10-03-46-02/comment\102.html
"クレディセゾン(8253)の買い予想。 ikehono さんの売買予想。 目標株価： 2,500円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) クレディセゾン080624",クレディセゾン,2008/06/24,02:05,買い予想,ikehonoさん,1049.14,"2,340.0",-91.14,"2,500",短期(数分～数日),イベント(増資／合弁・買収／分割等),"クレセゾンはヤマダ電機と提携し、法人向け家電レンタル事業を開始(株式新聞)
2008/06/23(16:54)
http://minkabu.jp/stock/8253/news/14188","1,966.0",04月10日,03:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8253-クレディセゾン/2017-04-10-03-46-02/comment\103.html
"クレディセゾン(8253)の買い予想。 み～たん さんの売買予想。 目標株価： 2,800円 期間： 中期(数週間~数ヶ月) 理由はないけれど買う。",クレディセゾン,2008/05/28,14:47,買い予想,み～たんさん,7.66,"2,520.0",-62.62,"2,800",中期(数週間～数ヶ月),,,"1,966.0",04月10日,03:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8253-クレディセゾン/2017-04-10-03-46-02/comment\104.html
"クレディセゾン,8253,CreditSaison,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",クレディセゾン,2008/01/09,07:05,売り予想,夕霧さん,73.33,"2,810.0",+85.30,--,,,"貯蓄率低下、ゆうちょなど新規攻勢の戦略が奏功していないこと、
過去にクレジット大手が信用力を落とす中、選別的に継続して
比較的買われていた結果、収益面で割高な状態が残って今に至る
と思われる、配当も特筆すべき水準に無いことから、今後の消費
収縮の全体方向に抗えずに連れ安を開始すると思います。
　","1,966.0",04月10日,03:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8253-クレディセゾン/2017-04-10-03-46-02/comment\105.html
"クレディセゾン,8253,CreditSaison,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",クレディセゾン,2007/08/16,16:31,買い予想,rixiangさん,-71.31,"2,675.0",-75.47,--,,,まだ下がるけど、また上がる,"1,966.0",04月10日,03:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8253-クレディセゾン/2017-04-10-03-46-02/comment\106.html
"クレディセゾン,8253,CreditSaison,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",クレディセゾン,2007/07/06,05:11,買い予想,株トレ中さん,-38.69,"3,170.0",-108.09,--,,,低迷が続いていますが，ここらで目覚めよ！,"1,966.0",04月10日,03:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8253-クレディセゾン/2017-04-10-03-46-02/comment\107.html
