0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"コナミホールディングス(9766)の買い予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 6,000円 期間： 長期(数ヶ月～数年) 理由： チャート ･･･騰がりそう☆",コナミホールディングス,2017/04/06,18:56,買い予想,ひとみん｡｡☆さん,0.86,"4,675.0",+0.54,"6,000",長期(数ヶ月～数年),チャート,,"4,695.0",04月10日,15:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9766-コナミホールディングス/2017-04-10-15-00-22/comment\1.html
"コナミホールディングス(9766)の買い予想。 kouboudaisi さんの売買予想。 目標株価： 3,920円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割高」に反対",コナミホールディングス,2016/12/07,15:13,買い予想,kouboudaisiさん,12.36,"3,735.0",+72.25,"3,920",中期(数週間～数ヶ月),個人投資家の予想,,"4,695.0",04月10日,15:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9766-コナミホールディングス/2017-04-10-15-00-22/comment\10.html
"コナミホールディングス(9766)の売り予想。 rangeman さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 売り",コナミホールディングス,2012/01/07,21:33,売り予想,rangemanさん,-28.58,"2,200.0",-321.32,"2,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),割高で、買い要素乏しいため、売りと判断。5%程度の利ざやを狙います。,"4,690.0",04月10日,15:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9766-コナミホールディングス/2017-04-10-15-00-22/comment\100.html
"コナミホールディングス(9766)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 2,800円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",コナミホールディングス,2011/11/02,22:06,買い予想,goodknight1987さん,319.77,"2,410.0",+268.31,"2,800",中期(数週間～数ヶ月),その他,,"4,690.0",04月10日,15:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9766-コナミホールディングス/2017-04-10-15-00-22/comment\101.html
"コナミホールディングス(9766)の買い予想。 かぶとも さんの売買予想。 目標株価： 4,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) これからのﾄﾘﾌﾟﾙﾃｰﾏ",コナミホールディングス,2011/10/29,01:59,買い予想,かぶともさん,149.05,"2,520.0",+244.18,"4,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),ｱﾌﾟﾘ ｽﾎﾟｰﾂ ｶｼﾞﾉどれでも上がるでしょ,"4,690.0",04月10日,15:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9766-コナミホールディングス/2017-04-10-15-00-22/comment\102.html
"コナミホールディングス(9766)の買い予想。 birdｅｙｅ さんの売買予想。 目標株価： 3,928円 期間： 長期(数ヶ月～数年) 理由： チャート 老人の憩いの場",コナミホールディングス,2011/10/01,13:52,買い予想,birdｅｙｅさん,376.24,"2,609.0",+226.15,"3,928",長期(数ヶ月～数年),チャート,,"4,690.0",04月10日,15:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9766-コナミホールディングス/2017-04-10-15-00-22/comment\103.html
"コナミホールディングス(9766)の買い予想。 トモテイ さんの売買予想。 目標株価： 4,291円 期間： 中期(数週間~数ヶ月) 理由： チャート 貝",コナミホールディングス,2011/09/09,23:45,買い予想,トモテイさん,122.99,"2,840.0",+184.63,"4,291",中期(数週間～数ヶ月),チャート,,"4,690.0",04月10日,15:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9766-コナミホールディングス/2017-04-10-15-00-22/comment\104.html
"コナミホールディングス(9766)の買い予想。 ingo さんの売買予想。 目標株価： 2,761円 期間： 短期(数分~数日) 理由： チャート Çã¤¤",コナミホールディングス,2011/09/06,21:36,買い予想,ingoさん,457.53,"2,780.0",+194.75,"2,761",短期(数分～数日),チャート,,"4,690.0",04月10日,15:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9766-コナミホールディングス/2017-04-10-15-00-22/comment\105.html
"コナミホールディングス(9766)の買い予想。 ushi1222jp さんの売買予想。 目標株価： 3,118円 期間： 中期(数週間~数ヶ月) 理由： チャート 上昇",コナミホールディングス,2011/09/04,19:56,買い予想,ushi1222jpさん,151.78,"2,834.0",+185.62,"3,118",中期(数週間～数ヶ月),チャート,,"4,690.0",04月10日,15:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9766-コナミホールディングス/2017-04-10-15-00-22/comment\106.html
"コナミホールディングス(9766)の売り予想。 高田馬場 さんの売買予想。 目標株価： 1,800円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 上がり過ぎ",コナミホールディングス,2011/07/31,10:38,売り予想,高田馬場さん,-354.55,"2,070.0",-359.36,"1,800",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),上がり過ぎ,"4,690.0",04月10日,15:04,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9766-コナミホールディングス/2017-04-10-15-00-22/comment\107.html
