概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
コニカミノルタ(4902)の売り予想。 Toshi928 さんの売買予想。 目標株価： 515円 期間： 短期(数分~数日) 理由： チャート 売り予想 短期 目標株価493円,コニカミノルタ,2017/04/07,14:52,売り予想,Toshi928さん,0.57,957.0,+0.89,515,短期(数分～数日),チャート,,953.0,04月09日,02:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4902-コニカミノルタ/2017-04-09-02-06-59/comment\1.html
"コニカミノルタ(4902)の買い予想。 きゃんりー4 さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成 ",コニカミノルタ,2016/12/13,14:24,買い予想,きゃんりー4さん,-8.06,"1,128.0",-44.36,"1,500",長期(数ヶ月～数年),個人投資家の予想,,953.0,04月09日,02:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4902-コニカミノルタ/2017-04-09-02-06-59/comment\10.html
コニカミノルタ(4902)の売り予想。 花粉ガード さんの売買予想。 目標株価： 800円 期間： 短期(数分~数日) SELL AA-,コニカミノルタ,2009/07/04,17:45,売り予想,花粉ガードさん,261.15,980.0,+7.54,800,短期(数分～数日),,なぜあがるのか？！,953.0,04月09日,02:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4902-コニカミノルタ/2017-04-09-02-06-59/comment\100.html
コニカミノルタ(4902)の買い予想。 colorlessmind さんの売買予想。 目標株価： 970円 期間： 短期(数分~数日) 理由： チャート kai,コニカミノルタ,2009/06/20,20:17,買い予想,colorlessmindさん,-67.62,958.0,-1.78,970,短期(数分～数日),チャート,,953.0,04月09日,02:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4902-コニカミノルタ/2017-04-09-02-06-59/comment\101.html
"コニカミノルタ(4902)の買い予想。 keepura さんの売買予想。 目標株価： 1,187円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",コニカミノルタ,2009/06/12,10:40,買い予想,keepuraさん,162.99,"1,083.0",-34.39,"1,187",中期(数週間～数ヶ月),チャート,,953.0,04月09日,02:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4902-コニカミノルタ/2017-04-09-02-06-59/comment\102.html
"コニカミノルタ(4902)の買い予想。 ｼｭｶﾞｰ さんの売買予想。 目標株価： 1,300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) よく写し出して見せてね！",コニカミノルタ,2009/06/07,06:13,買い予想,ｼｭｶﾞｰさん,369.75,"1,110.0",-40.47,"1,300",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),ｱﾅﾘｽﾄ予想,953.0,04月09日,02:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4902-コニカミノルタ/2017-04-09-02-06-59/comment\103.html
"コニカミノルタ,4902,KONICAMINOLTA,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",コニカミノルタ,2009/06/06,00:11,買い予想,新卒MBAさん,434.31,"1,110.0",-40.47,--,,,　,953.0,04月09日,02:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4902-コニカミノルタ/2017-04-09-02-06-59/comment\104.html
コニカミノルタ(4902)の売り予想。 kiku1234 さんの売買予想。 目標株価： 700円 期間： 短期(数分~数日) 理由： チャート 売り,コニカミノルタ,2009/04/20,23:07,売り予想,kiku1234さん,-405.62,813.0,-49.31,700,短期(数分～数日),チャート,,953.0,04月09日,02:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4902-コニカミノルタ/2017-04-09-02-06-59/comment\105.html
コニカミノルタ(4902)の売り予想。 茶々猫 さんの売買予想。 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 売り,コニカミノルタ,2009/01/29,15:13,売り予想,茶々猫さん,111.6,700.0,-103.18,--,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,953.0,04月09日,02:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4902-コニカミノルタ/2017-04-09-02-06-59/comment\106.html
コニカミノルタ(4902)の買い予想。 naokiee さんの売買予想。 期間： 中期(数週間~数ヶ月) KAI,コニカミノルタ,2008/10/31,12:12,買い予想,naokieeさん,371.24,649.0,+132.75,--,中期(数週間～数ヶ月),,"コニカミノルタが急反落、世界的な景気減速が影響し０９年３月期予想の経常益２７．１％減を嫌気(株式新聞)
2008/10/31(11:48)
http://minkabu.jp/stock/4902/news/18164",953.0,04月09日,02:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4902-コニカミノルタ/2017-04-09-02-06-59/comment\107.html
