概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"コムシスホールディングス(1721)の買い予想。 twitter88 さんの売買予想。 目標株価： 2,532円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価2,532円",コムシスホールディングス,2017/03/27,13:09,買い予想,twitter88さん,-0.95,"2,030.0",-1.96,"2,532",長期(数ヶ月～数年),チャート,,"2,017.0",04月08日,17:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1721-コムシスホールディングス/2017-04-08-17-15-43/comment\1.html
"コムシスホールディングス(1721)の売り予想。 どあらっこ さんの売買予想。 目標株価： 1,500円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",コムシスホールディングス,2016/09/15,14:37,売り予想,どあらっこさん,-29.18,"1,832.0",-28.87,"1,500",短期(数分～数日),業績(会社計画の修正発表を含む),"【株価分析結果】2016/09/15 01:11　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「1,682円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。","2,017.0",04月08日,17:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1721-コムシスホールディングス/2017-04-08-17-15-43/comment\10.html
"コムシスホールディングス(1721)の買い予想。 岳佑 さんの売買予想。 目標株価： 1,922円 期間： 短期(数分~数日) 理由： 個人投資家の予想 買い予想 短期 目標株価1,922円",コムシスホールディングス,2016/08/17,18:46,買い予想,岳佑さん,37.33,"1,835.0",+28.04,"1,922",短期(数分～数日),個人投資家の予想,,"2,017.0",04月08日,17:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1721-コムシスホールディングス/2017-04-08-17-15-43/comment\11.html
"コムシスホールディングス(1721)の買い予想。 t-oku さんの売買予想。 目標株価： 2,391円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",コムシスホールディングス,2016/08/05,21:50,買い予想,t-okuさん,47.03,"1,701.0",+52.65,"2,390",中期(数週間～数ヶ月),個人投資家の予想,,"2,017.0",04月08日,17:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1721-コムシスホールディングス/2017-04-08-17-15-43/comment\12.html
"コムシスホールディングス(1721)の買い予想。 mama3737 さんの売買予想。 目標株価： 2,208円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 株価診断結果「割高」に反対",コムシスホールディングス,2016/05/25,00:55,買い予想,mama3737さん,31.33,"1,854.0",+24.84,"2,208",長期(数ヶ月～数年),個人投資家の予想,"【株価分析結果】2016/05/24 01:07　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「1,705円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPSRは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。","2,017.0",04月08日,17:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1721-コムシスホールディングス/2017-04-08-17-15-43/comment\13.html
"コムシスホールディングス(1721)の買い予想。 pinksapphire さんの売買予想。 目標株価： 2,003円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",コムシスホールディングス,2016/03/13,17:23,買い予想,pinksapphireさん,40.24,"1,795.0",+35.01,"2,003",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,017.0",04月08日,17:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1721-コムシスホールディングス/2017-04-08-17-15-43/comment\14.html
"コムシスホールディングス(1721)の売り予想。 松岡政也 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： その他 株価診断結果「割安」に反対",コムシスホールディングス,2015/10/28,19:01,売り予想,松岡政也さん,-25.38,"1,600.0",-74.28,"1,000",長期(数ヶ月～数年),その他,"【株価分析結果】2015/10/28 01:04
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,688円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。
","2,017.0",04月08日,17:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1721-コムシスホールディングス/2017-04-08-17-15-43/comment\15.html
コムシスホールディングス(1721)の売り予想。 短期決戦 さんの売買予想。 目標株価： 300円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 売り転換。,コムシスホールディングス,2015/10/25,12:23,売り予想,短期決戦さん,131.46,"1,630.0",-67.68,300,長期(数ヶ月～数年),個人投資家の予想,,"2,017.0",04月08日,17:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1721-コムシスホールディングス/2017-04-08-17-15-43/comment\16.html
"コムシスホールディングス(1721)の買い予想。 リサ・ランドール さんの売買予想。 目標株価： 1,879円 期間： 長期(数ヶ月～数年) 理由： その他 買い",コムシスホールディングス,2015/09/30,04:41,買い予想,リサ・ランドールさん,137.27,"1,409.0",+122.50,"1,879",長期(数ヶ月～数年),その他,,"2,017.0",04月08日,17:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1721-コムシスホールディングス/2017-04-08-17-15-43/comment\17.html
"コムシスホールディングス(1721)の売り予想。 papaちゃん さんの売買予想。 目標株価： 1,725円 期間： 短期(数分~数日) 理由： チャート 売り予想 短期 目標株価1,725円",コムシスホールディングス,2015/06/08,14:23,売り予想,papaちゃんさん,7.87,"1,892.0",-18.93,"1,725",短期(数分～数日),チャート,,"2,017.0",04月08日,17:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1721-コムシスホールディングス/2017-04-08-17-15-43/comment\18.html
