0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
コンコルディア・フィナンシャルグループ(7186)の売り予想。 t-oku さんの売買予想。 目標株価： 347円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 売り,コンコルディア・フィナンシャルグループ,2017/04/05,16:32,売り予想,t-okuさん,47.03,489.6,-6.27,346,中期(数週間～数ヶ月),個人投資家の予想,,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\1.html
コンコルディア・フィナンシャルグループ(7186)の売り予想。 民家部 さんの売買予想。 目標株価： 5円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 売り,コンコルディア・フィナンシャルグループ,2016/08/31,22:48,売り予想,民家部さん,-1.3,534.5,+18.14,5,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\10.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 isono_tubasa さんの売買予想。 目標株価： 510円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価510円,コンコルディア・フィナンシャルグループ,2016/08/05,09:57,買い予想,isono_tubasaさん,70.41,450.0,+30.58,510,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\11.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 409円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価409円,コンコルディア・フィナンシャルグループ,2016/07/11,16:27,買い予想,37 　 工事中 !さん,57.65,418.0,+54.69,409,長期(数ヶ月～数年),その他,,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\12.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 くまー さんの売買予想。 目標株価： 528円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対,コンコルディア・フィナンシャルグループ,2016/06/29,22:53,買い予想,くまーさん,64.61,401.0,+69.06,528,長期(数ヶ月～数年),その他,,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\13.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 moko♡ さんの売買予想。 目標株価： 419円 期間： 中期(数週間~数ヶ月) 理由： その他 買い♪,コンコルディア・フィナンシャルグループ,2016/06/27,14:52,買い予想,moko♡さん,338.94,398.7,+71.10,418,中期(数週間～数ヶ月),その他,"モゴモゴだね 
(＊^_-＊)~♡ 
",499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\14.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 魔女＆ジジの宅配便 さんの売買予想。 目標株価： 565円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 adg,コンコルディア・フィナンシャルグループ,2016/06/19,08:55,買い予想,魔女＆ジジの宅配便さん,7.33,441.8,+36.43,565,中期(数週間～数ヶ月),個人投資家の予想,,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\15.html
"コンコルディア・フィナンシャルグループ(7186)の買い予想。 短期決戦 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 買い。",コンコルディア・フィナンシャルグループ,2016/05/29,12:13,買い予想,短期決戦さん,131.46,511.0,-7.01,"1,000",長期(数ヶ月～数年),個人投資家の予想,,499.4,04月09日,20:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\16.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 pinksapphire さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,コンコルディア・フィナンシャルグループ,2016/05/25,22:30,買い予想,pinksapphireさん,40.24,502.5,-2.32,600,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"■コンコルディ  　494.9円　 +7.4 円 (+1.5％)　　本日終値
　コンコルディア・フィナンシャルグループが反発。ＳＭＢＣ日興証券はリポートで、１７年３月期会社計画純利益は負ののれん約６００億円を除けば、前期比２２％減となる６３５億円と紹介。同証券従来予想と比べて、経営統合に伴う一部資産の時価評価と連単差の部分で多少の差はあったものの、２行合算の純利益では同証券従来予想（６２４億円）に近い６１５億円であったと指摘。これは市場コンセンサス（当時）より低めであったものの、高めの計画が目立つ大手地銀の中では、各項目を見ても相対的に妥当な計画と言えようと解説。投資評価「２」（中立）、目標株価５００円を継続している。",499.4,04月09日,20:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\17.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 こんにちは♪ さんの売買予想。 目標株価： 751円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 ,コンコルディア・フィナンシャルグループ,2017/04/04,09:36,買い予想,こんにちは♪さん,18.56,503.2,-2.71,751,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\2.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 twitter88 さんの売買予想。 目標株価： 691円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価691円,コンコルディア・フィナンシャルグループ,2017/03/27,16:09,買い予想,twitter88さん,-0.95,535.7,-19.79,691,長期(数ヶ月～数年),チャート,,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\3.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 828円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価806円,コンコルディア・フィナンシャルグループ,2017/02/24,12:15,買い予想,Newジェントルマンさん,-5.41,608.0,-51.25,828,中期(数週間～数ヶ月),その他,,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\4.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 dover さんの売買予想。 目標株価： 634円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 ＠,コンコルディア・フィナンシャルグループ,2017/01/26,14:39,買い予想,doverさん,75.34,607.7,-51.14,633,中期(数週間～数ヶ月),個人投資家の予想,,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\5.html
コンコルディア・フィナンシャルグループ(7186)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 394円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,コンコルディア・フィナンシャルグループ,2016/12/31,22:05,売り予想,エグゼクティブ・まっちさん,-14.13,567.1,+33.44,393,長期(数ヶ月～数年),チャート,,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\6.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： チャート ｡｡★中期予想★｡｡600,コンコルディア・フィナンシャルグループ,2016/12/04,19:33,買い予想,ひとみん｡｡☆さん,0.86,537.0,-20.44,600,中期(数週間～数ヶ月),チャート,,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\7.html
コンコルディア・フィナンシャルグループ(7186)の売り予想。 初心者マークん さんの売買予想。 目標株価： 495円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「売り」に賛成,コンコルディア・フィナンシャルグループ,2016/12/04,14:38,売り予想,初心者マークんさん,22.04,537.0,+19.38,495,短期(数分～数日),個人投資家の予想,,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\8.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 fsicon さんの売買予想。 目標株価： 482円 期間： 短期(数分~数日) 理由： 個人投資家の予想 買い予想 短期 目標株価550円,コンコルディア・フィナンシャルグループ,2016/10/26,10:17,買い予想,fsiconさん,11.38,468.7,+18.01,482,短期(数分～数日),個人投資家の予想,,499.4,04月09日,20:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-09-20-55-14/comment\9.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 t-oku さんの売買予想。 目標株価： 668円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い,コンコルディア・フィナンシャルグループ,2017/04/10,15:32,買い予想,t-okuさん,47.03,成り行き ,,668,中期(数週間～数ヶ月),個人投資家の予想,,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\1.html
コンコルディア・フィナンシャルグループ(7186)の売り予想。 民家部 さんの売買予想。 目標株価： 5円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 売り,コンコルディア・フィナンシャルグループ,2016/08/31,22:48,売り予想,民家部さん,-1.3,534.5,+10.10,5,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\10.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 isono_tubasa さんの売買予想。 目標株価： 510円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価510円,コンコルディア・フィナンシャルグループ,2016/08/05,09:57,買い予想,isono_tubasaさん,70.41,450.0,+40.12,510,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\11.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 409円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価409円,コンコルディア・フィナンシャルグループ,2016/07/11,16:27,買い予想,37 　 工事中 !さん,57.65,418.0,+64.96,409,長期(数ヶ月～数年),その他,,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\12.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 くまー さんの売買予想。 目標株価： 528円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対,コンコルディア・フィナンシャルグループ,2016/06/29,22:53,買い予想,くまーさん,64.61,401.0,+79.77,528,長期(数ヶ月～数年),その他,,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\13.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 moko♡ さんの売買予想。 目標株価： 419円 期間： 中期(数週間~数ヶ月) 理由： その他 買い♪,コンコルディア・フィナンシャルグループ,2016/06/27,14:52,買い予想,moko♡さん,338.94,398.7,+81.87,418,中期(数週間～数ヶ月),その他,"モゴモゴだね 
(＊^_-＊)~♡ 
",513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\14.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 魔女＆ジジの宅配便 さんの売買予想。 目標株価： 565円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 adg,コンコルディア・フィナンシャルグループ,2016/06/19,08:55,買い予想,魔女＆ジジの宅配便さん,7.33,441.8,+46.14,565,中期(数週間～数ヶ月),個人投資家の予想,,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\15.html
"コンコルディア・フィナンシャルグループ(7186)の買い予想。 短期決戦 さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 買い。",コンコルディア・フィナンシャルグループ,2016/05/29,12:13,買い予想,短期決戦さん,131.46,511.0,+1.39,"1,000",長期(数ヶ月～数年),個人投資家の予想,,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\16.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 pinksapphire さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,コンコルディア・フィナンシャルグループ,2016/05/25,22:30,買い予想,pinksapphireさん,40.24,502.5,+6.22,600,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"■コンコルディ  　494.9円　 +7.4 円 (+1.5％)　　本日終値
　コンコルディア・フィナンシャルグループが反発。ＳＭＢＣ日興証券はリポートで、１７年３月期会社計画純利益は負ののれん約６００億円を除けば、前期比２２％減となる６３５億円と紹介。同証券従来予想と比べて、経営統合に伴う一部資産の時価評価と連単差の部分で多少の差はあったものの、２行合算の純利益では同証券従来予想（６２４億円）に近い６１５億円であったと指摘。これは市場コンセンサス（当時）より低めであったものの、高めの計画が目立つ大手地銀の中では、各項目を見ても相対的に妥当な計画と言えようと解説。投資評価「２」（中立）、目標株価５００円を継続している。",513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\17.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 こんにちは♪ さんの売買予想。 目標株価： 751円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 ,コンコルディア・フィナンシャルグループ,2017/04/04,09:36,買い予想,こんにちは♪さん,18.56,503.2,+5.82,751,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\2.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 twitter88 さんの売買予想。 目標株価： 691円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価691円,コンコルディア・フィナンシャルグループ,2017/03/27,16:09,買い予想,twitter88さん,-0.95,535.7,-11.78,691,長期(数ヶ月～数年),チャート,,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\3.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 828円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価806円,コンコルディア・フィナンシャルグループ,2017/02/24,12:15,買い予想,Newジェントルマンさん,-5.41,608.0,-44.19,828,中期(数週間～数ヶ月),その他,,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\4.html
コンコルディア・フィナンシャルグループ(7186)の買い予想。 dover さんの売買予想。 目標株価： 634円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 ＠,コンコルディア・フィナンシャルグループ,2017/01/26,14:39,買い予想,doverさん,75.34,607.7,-44.07,633,中期(数週間～数ヶ月),個人投資家の予想,,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\5.html
コンコルディア・フィナンシャルグループ(7186)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 394円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,コンコルディア・フィナンシャルグループ,2016/12/31,22:05,売り予想,エグゼクティブ・まっちさん,-14.13,567.1,+25.87,393,長期(数ヶ月～数年),チャート,,513.9,04月10日,21:17,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7186-コンコルディア・フィナンシャルグループ/2017-04-10-21-17-11/comment\6.html
