0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"サッポロホールディングス(2501)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 2,860円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 87.6pss",サッポロホールディングス,2017/04/03,09:02,売り予想,７本ＤＭさん,0.86,"3,045.0",+2.70,"2,859",中期(数週間～数ヶ月),個人投資家の予想,,"3,015.0",04月08日,19:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2501-サッポロホールディングス/2017-04-08-19-42-26/comment\1.html
"サッポロホールディングス(2501)の買い予想。 ユメオイビト さんの売買予想。 目標株価： 2,748円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",サッポロホールディングス,2016/08/20,20:29,買い予想,ユメオイビトさん,9.86,"2,441.0",+66.75,"2,748",短期(数分～数日),チャート,,"3,015.0",04月08日,19:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2501-サッポロホールディングス/2017-04-08-19-42-26/comment\10.html
"サッポロホールディングス(2501)の買い予想。 PonTaka さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 500円以下は買い",サッポロホールディングス,2008/11/22,22:26,買い予想,PonTakaさん,142.45,"2,575.0",+48.47,"3,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),デフェンシブと業界再編で,"3,015.0",04月08日,19:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2501-サッポロホールディングス/2017-04-08-19-42-26/comment\100.html
"サッポロホールディングス(2501)の買い予想。 yokohama002 さんの売買予想。 目標株価： 3,000円 期間： 短期(数分~数日) 理由： その他 株主優待近し",サッポロホールディングス,2008/11/03,21:12,買い予想,yokohama002さん,186.25,"2,910.0",+10.16,"3,000",短期(数分～数日),その他,,"3,015.0",04月08日,19:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2501-サッポロホールディングス/2017-04-08-19-42-26/comment\101.html
サッポロホールディングス(2501)の買い予想。 naokiee さんの売買予想。 目標株価： 6円 期間： 中期(数週間~数ヶ月) 会です,サッポロホールディングス,2008/10/30,00:24,買い予想,naokieeさん,371.24,"2,980.0",+3.24,5,中期(数週間～数ヶ月),,,"3,015.0",04月08日,19:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2501-サッポロホールディングス/2017-04-08-19-42-26/comment\102.html
"サッポロホールディングス(2501)の買い予想。 ひでとし さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 理由： チャート 買いです。",サッポロホールディングス,2008/10/28,20:34,買い予想,ひでとしさん,193.2,"2,585.0",+47.19,"3,000",中期(数週間～数ヶ月),チャート,,"3,015.0",04月08日,19:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2501-サッポロホールディングス/2017-04-08-19-42-26/comment\103.html
"サッポロホールディングス(2501)の買い予想。 baby-face さんの売買予想。 目標株価： 3,750円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) かい",サッポロホールディングス,2008/10/20,18:12,買い予想,baby-faceさん,133.72,"3,505.0",-39.83,"3,750",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"3,015.0",04月08日,19:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2501-サッポロホールディングス/2017-04-08-19-42-26/comment\104.html
サッポロホールディングス(2501)の買い予想。 ごるどら さんの売買予想。 目標株価： 6円 期間： 短期(数分~数日) 短期買い,サッポロホールディングス,2008/10/14,22:29,買い予想,ごるどらさん,350.13,"3,210.0",-17.36,5,短期(数分～数日),,,"3,015.0",04月08日,19:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2501-サッポロホールディングス/2017-04-08-19-42-26/comment\105.html
サッポロホールディングス(2501)の買い予想。 リカルド さんの売買予想。 目標株価： 6円 期間： 中期(数週間~数ヶ月) 今が買い,サッポロホールディングス,2008/09/10,21:02,買い予想,リカルドさん,234.22,"3,990.0",-69.55,5,中期(数週間～数ヶ月),,,"3,015.0",04月08日,19:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2501-サッポロホールディングス/2017-04-08-19-42-26/comment\106.html
"サッポロホールディングス(2501)の買い予想。 Air さんの売買予想。 目標株価： 4,000円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 黒字化",サッポロホールディングス,2008/07/31,01:40,買い予想,Airさん,90.88,"3,870.0",-62.89,"4,000",短期(数分～数日),業績(会社計画の修正発表を含む),"堅調な推移。
6月中間期決算において最終損益が
95億円の黒字になったと発表した。
前年同期は55億円の赤字だった。
恵比寿ガーデンプレイスの共有持分の15％を
モルガン・スタンレー証券に売却したことで
特別利益計上が寄与したためと。
","3,015.0",04月08日,19:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2501-サッポロホールディングス/2017-04-08-19-42-26/comment\107.html
