概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
シチズン時計(7762)の売り予想。 クニハロー さんの売買予想。 目標株価： 688円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に反対,シチズンホールディングス,2017/03/31,23:50,売り予想,クニハローさん,-0.11,710.0,+7.20,688,中期(数週間～数ヶ月),チャート,,691.0,04月10日,01:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7762-シチズンホールディングス/2017-04-10-01-43-04/comment\1.html
シチズン時計(7762)の売り予想。 ゴメハナ さんの売買予想。 目標株価： 544円 期間： 短期(数分~数日) 理由： チャート 売り予想 短期 目標株価538円,シチズンホールディングス,2016/11/03,12:12,売り予想,ゴメハナさん,-27.27,564.0,-64.53,544,短期(数分～数日),チャート,,691.0,04月10日,01:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7762-シチズンホールディングス/2017-04-10-01-43-04/comment\10.html
シチズン時計(7762)の買い予想。 ron さんの売買予想。 目標株価： 554円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,シチズンホールディングス,2009/11/25,10:20,買い予想,ronさん,217.36,477.0,+126.97,554,,業績(会社計画の修正発表を含む),,691.0,04月10日,01:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7762-シチズンホールディングス/2017-04-10-01-43-04/comment\100.html
シチズン時計(7762)の買い予想。 たけとし？ さんの売買予想。 目標株価： 555円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,シチズンホールディングス,2009/10/27,01:15,買い予想,たけとし？さん,108.92,541.0,+78.31,555,中期(数週間～数ヶ月),その他,ＬＥＤはこれから凄いことになるんじゃない,691.0,04月10日,01:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7762-シチズンホールディングス/2017-04-10-01-43-04/comment\101.html
シチズン時計(7762)の買い予想。 uchiman さんの売買予想。 目標株価： 585円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,シチズンホールディングス,2009/10/20,15:43,買い予想,uchimanさん,301.75,530.0,+85.84,585,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2009/10/20 03:28
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「585円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",691.0,04月10日,01:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7762-シチズンホールディングス/2017-04-10-01-43-04/comment\102.html
シチズン時計(7762)の買い予想。 hirokoshuuhei さんの売買予想。 目標株価： 530円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い,シチズンホールディングス,2009/10/09,04:43,買い予想,hirokoshuuheiさん,97.13,524.0,+90.08,530,短期(数分～数日),業績(会社計画の修正発表を含む),,691.0,04月10日,01:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7762-シチズンホールディングス/2017-04-10-01-43-04/comment\103.html
シチズン時計(7762)の買い予想。 ラットレース さんの売買予想。 目標株価： 585円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,シチズンホールディングス,2009/09/26,18:34,買い予想,ラットレースさん,100.07,507.0,+102.63,585,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2009/09/26 03:27
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「585円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",691.0,04月10日,01:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7762-シチズンホールディングス/2017-04-10-01-43-04/comment\104.html
シチズン時計(7762)の買い予想。 ﾋﾛ坊 さんの売買予想。 目標株価： 680円 期間： 中期(数週間~数ヶ月) 理由： チャート 時計,シチズンホールディングス,2009/09/07,23:10,買い予想,ﾋﾛ坊さん,526.06,569.0,+60.47,680,中期(数週間～数ヶ月),チャート,,691.0,04月10日,01:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7762-シチズンホールディングス/2017-04-10-01-43-04/comment\105.html
シチズン時計(7762)の買い予想。 mikey さんの売買予想。 期間： 中期(数週間~数ヶ月) 買い,シチズンホールディングス,2009/08/25,11:26,買い予想,mikeyさん,-284.8,524.0,+90.08,--,中期(数週間～数ヶ月),,,691.0,04月10日,01:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7762-シチズンホールディングス/2017-04-10-01-43-04/comment\106.html
シチズン時計(7762)の買い予想。 空波 さんの売買予想。 目標株価： 495円 期間： 短期(数分~数日) 理由： チャート 買い,シチズンホールディングス,2009/07/13,13:07,買い予想,空波さん,115.77,425.0,+177.30,495,短期(数分～数日),チャート,,691.0,04月10日,01:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7762-シチズンホールディングス/2017-04-10-01-43-04/comment\107.html
