0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ジェイ エフ イー ホールディングス(5411)の売り予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 1,500円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･下げそう☆",ジェイエフイーホールディングス,2017/04/06,20:53,売り予想,ひとみん｡｡☆さん,0.86,"1,818.0",+1.25,"1,500",中期(数週間～数ヶ月),チャート,,"1,809.0",04月09日,04:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\1.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 musashiXP さんの売買予想。 目標株価： 2,424円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",ジェイエフイーホールディングス,2016/11/10,11:09,買い予想,musashiXPさん,4.55,"1,488.0",+61.15,"2,424",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,809.0",04月09日,04:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\10.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 pureji さんの売買予想。 目標株価： 1,321円 期間： 短期(数分~数日) 理由： チャート 中長期なら今が買",ジェイエフイーホールディングス,2012/07/10,12:55,買い予想,purejiさん,-93.98,"1,197.0",+145.14,"1,321",短期(数分～数日),チャート,"今日の1190円台は買
ここから株価が１180円を割こむのは考えづらい
なぜなら本日自立反発？をして1227で始まった

米も3日続落で反発する可能性が高い
短期的に見ても
下値は1180
上値は1280
こんな水準で買うの悩むのは…？","1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\100.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 ぽこぽこまん さんの売買予想。 目標株価： 1,288円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",ジェイエフイーホールディングス,2012/07/04,20:51,買い予想,ぽこぽこまんさん,339.96,"1,238.0",+130.92,"1,288",中期(数週間～数ヶ月),チャート,,"1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\101.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 芋焼酎派 さんの売買予想。 目標株価： 1,600円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",ジェイエフイーホールディングス,2012/06/16,10:26,買い予想,芋焼酎派さん,205.91,"1,334.0",+202.07,"1,600",中期(数週間～数ヶ月),その他,"1270円あたりから安値拾ってます。
これはこれから楽しみな銘柄","1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\102.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 ｼﾞｮﾃﾞｨﾏﾛﾝｻﾗ さんの売買予想。 目標株価： 1,424円 期間： 短期(数分~数日) 理由： その他 鉄は固い・強いけど錆びる(^-^;",ジェイエフイーホールディングス,2012/05/20,08:07,買い予想,ｼﾞｮﾃﾞｨﾏﾛﾝｻﾗさん,246.66,"1,297.0",+112.03,"1,424",短期(数分～数日),その他,乱高下を楽しんで、日銭でランチビール(*^^*),"1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\103.html
"ジェイ エフ イー ホールディングス(5411)の売り予想。 てゐ さんの売買予想。 目標株価： 1,235円 期間： 中期(数週間~数ヶ月) 理由： チャート もぐもぐ",ジェイエフイーホールディングス,2012/05/16,11:18,売り予想,てゐさん,-370.37,"1,288.0",-115.24,"1,235",中期(数週間～数ヶ月),チャート,,"1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\104.html
"ジェイ エフ イー ホールディングス(5411)の売り予想。 ヘナチョ子 さんの売買予想。 目標株価： 1,300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",ジェイエフイーホールディングス,2012/04/20,23:23,売り予想,ヘナチョ子さん,210.81,"1,609.0",-35.52,"1,300",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"これから原料が安くなるのは考え難いです。

【株価分析結果】2012/04/20 01:57
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,392円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。
　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。

","1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\105.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 cpf**447 さんの売買予想。 目標株価： 1,778円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",ジェイエフイーホールディングス,2012/04/13,19:31,買い予想,cpf**447さん,287.32,"1,587.0",+39.59,"1,778",中期(数週間～数ヶ月),チャート,"自己株式の取得終了に関するお知らせ(適時開示情報)
2012/04/09(15:00)
http://minkabu.jp/stock/5411/news/369150","1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\106.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 tennenboke さんの売買予想。 目標株価： 2,073円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",ジェイエフイーホールディングス,2012/02/17,10:30,買い予想,tennenbokeさん,-106.04,"1,586.0",+39.80,"2,073",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),ここ最近の業績は低迷しているが、企業規模やこれまでの実績などを見てみてもその位の価値は有ると思う,"1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\107.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 morimoriman さんの売買予想。 目標株価： 1,412円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",ジェイエフイーホールディングス,2012/01/10,19:34,買い予想,morimorimanさん,4.61,"1,346.0",+97.60,"1,412",短期(数分～数日),業績(会社計画の修正発表を含む),,"1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\108.html
"ジェイ エフ イー ホールディングス(5411)の売り予想。 katanakya_kuen_nou さんの売買予想。 目標株価： 1,200円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「売り」に賛成",ジェイエフイーホールディングス,2011/12/02,11:07,売り予想,katanakya_kuen_nouさん,24.93,"1,492.0",-60.60,"1,200",短期(数分～数日),その他,バクハツは売り＾＾,"1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\109.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 マツキヨ0622 さんの売買予想。 目標株価： 1,600円 期間： 中期(数週間~数ヶ月) 理由： その他 トランプ下落関連／下がったら買い、でいいのでは?",ジェイエフイーホールディングス,2016/11/09,21:33,買い予想,マツキヨ0622さん,75.01,"1,496.5",+59.19,"1,600",中期(数週間～数ヶ月),その他,"よもやの番狂わせが起こり、株価も狼狽状態。むべなるかな、と言いたいところだが、「下がったところは絶好の買い場」である。
鉄鋼系としては、当社を指名。ぶっちゃけどこでもよかったが、値ごろ感から。","1,809.0",04月09日,04:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\11.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： その他 買い",ジェイエフイーホールディングス,2011/11/14,12:52,買い予想,goodknight1987さん,319.77,"1,349.0",+96.75,"1,500",長期(数ヶ月～数年),その他,,"1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\110.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 okanehashojiki さんの売買予想。 目標株価： 2,009円 期間： 中期(数週間~数ヶ月) 理由： チャート 反発期待",ジェイエフイーホールディングス,2011/10/30,23:31,買い予想,okanehashojikiさん,431.6,"1,510.0",+56.11,"2,009",中期(数週間～数ヶ月),チャート,,"1,809.0",04月09日,04:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\111.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 しろ011 さんの売買予想。 目標株価： 8,000円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「売り」に反対",ジェイエフイーホールディングス,2011/10/27,10:23,買い予想,しろ011さん,392.53,"1,389.0",+85.77,"8,000",長期(数ヶ月～数年),チャート,新日鉄相場、ふたたび。,"1,809.0",04月09日,04:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\112.html
ジェイ エフ イー ホールディングス(5411)の売り予想。 とし1926 さんの売買予想。 目標株価： 985円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に賛成,ジェイエフイーホールディングス,2011/10/26,14:05,売り予想,とし1926さん,-157.49,"1,421.0",-77.84,985,中期(数週間～数ヶ月),チャート,,"1,809.0",04月09日,04:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\113.html
"ジェイ エフ イー ホールディングス(5411)の売り予想。 wanwan352000 さんの売買予想。 目標株価： 1,279円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に賛成",ジェイエフイーホールディングス,2011/10/08,17:35,売り予想,wanwan352000さん,54.43,"1,448.0",-71.09,"1,279",中期(数週間～数ヶ月),チャート,,"1,809.0",04月09日,04:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\114.html
"ジェイ エフ イー ホールディングス(5411)の売り予想。 taatu さんの売買予想。 目標株価： 1,359円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 売り",ジェイエフイーホールディングス,2011/10/03,23:00,売り予想,taatuさん,50.04,"1,462.0",-67.68,"1,359",短期(数分～数日),業績(会社計画の修正発表を含む),,"1,809.0",04月09日,04:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\115.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 arakan さんの売買予想。 目標株価： 1,700円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",ジェイエフイーホールディングス,2011/09/26,20:59,買い予想,arakanさん,219.07,"1,630.0",+31.05,"1,700",短期(数分～数日),業績(会社計画の修正発表を含む),,"1,809.0",04月09日,04:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\116.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 アブラカダブ さんの売買予想。 目標株価： 1,943円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",ジェイエフイーホールディングス,2011/09/01,07:17,買い予想,アブラカダブさん,460.08,"1,777.0",+4.96,"1,943",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,809.0",04月09日,04:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\117.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 nonn0615 さんの売買予想。 目標株価： 2,686円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対",ジェイエフイーホールディングス,2011/08/30,10:57,買い予想,nonn0615さん,292.63,"1,800.0",+1.26,"2,686",中期(数週間～数ヶ月),チャート,,"1,809.0",04月09日,04:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\118.html
"ジェイ エフ イー ホールディングス(5411)の売り予想。 yosi_0701 さんの売買予想。 目標株価： 1,500円 期間： 短期(数分~数日) 理由： その他 売り予想",ジェイエフイーホールディングス,2011/08/29,09:22,売り予想,yosi_0701さん,74.93,"1,701.0",-18.22,"1,500",短期(数分～数日),その他,,"1,809.0",04月09日,04:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\119.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 まぐにき さんの売買予想。 目標株価： 2,187円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",ジェイエフイーホールディングス,2016/10/19,18:54,買い予想,まぐにきさん,21.23,"1,467.0",+66.09,"2,187",長期(数ヶ月～数年),個人投資家の予想,石炭価格にやや不安があるものの、鉄鉱石の価格は安定してきた。中国国有大手鉄鋼メーカーの経営破綻は中国政府の改革意志の表れか？？,"1,809.0",04月09日,04:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\12.html
"ジェイ エフ イー ホールディングス(5411)の買い予想。 nmamo さんの売買予想。 目標株価： 3,306円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「売り」に反対",ジェイエフイーホールディングス,2011/06/30,19:26,買い予想,nmamoさん,237.7,"2,213.0",-52.04,"3,306",長期(数ヶ月～数年),チャート,,"1,809.0",04月09日,04:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5411-ジェイエフイーホールディングス/2017-04-09-04-07-01/comment\120.html
