0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ジェイテクト(6473)の買い予想。 hobbyist さんの売買予想。 目標株価： 2,890円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 株価診断結果「割安」に賛成",ジェイテクト,2017/04/07,10:28,買い予想,hobbyistさん,2.39,"1,691.0",+1.34,"2,890",長期(数ヶ月～数年),個人投資家の予想,"【株価分析結果】2017/04/07 03:23　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「2,608円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは類似時価総額の平均値よりも高い為、相対比較の観点からは割安と判断されます。","1,700.0",04月09日,14:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6473-ジェイテクト/2017-04-09-14-09-07/comment\1.html
"ジェイテクト(6473)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 1,309円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対",ジェイテクト,2016/12/31,21:44,売り予想,エグゼクティブ・まっちさん,-14.13,"1,895.0",+29.11,"1,309",長期(数ヶ月～数年),チャート,,"1,700.0",04月09日,14:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6473-ジェイテクト/2017-04-09-14-09-07/comment\10.html
"ジェイテクト(6473)の買い予想。 じゅりお さんの売買予想。 目標株価： 2,200円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ジェイテクト,2016/11/19,08:06,買い予想,じゅりおさん,-16.66,"1,809.0",-17.29,"2,200",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/11/19 03:29
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,187円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。

","1,700.0",04月09日,14:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6473-ジェイテクト/2017-04-09-14-09-07/comment\11.html
"ジェイテクト(6473)の買い予想。 なおき投資 さんの売買予想。 目標株価： 2,343円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ジェイテクト,2016/11/19,07:37,買い予想,なおき投資さん,15.05,"1,809.0",-17.29,"2,342",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/11/19 03:29
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,187円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。
　結果、現在、この銘柄の配当利回りは同一業種分類の平均値よりも高い為、相対比較の観点からは割安と判断されます。
","1,700.0",04月09日,14:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6473-ジェイテクト/2017-04-09-14-09-07/comment\12.html
"ジェイテクト(6473)の買い予想。 musashiXP さんの売買予想。 目標株価： 2,121円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",ジェイテクト,2016/11/10,08:18,買い予想,musashiXPさん,4.55,"1,543.0",+28.74,"2,120",中期(数週間～数ヶ月),個人投資家の予想,,"1,700.0",04月09日,14:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6473-ジェイテクト/2017-04-09-14-09-07/comment\13.html
"ジェイテクト(6473)の買い予想。 ma-cyann さんの売買予想。 目標株価： 1,145円 期間： 短期(数分~数日) 理由： 個人投資家の予想 買い",ジェイテクト,2016/07/11,08:56,買い予想,ma-cyannさん,8.04,"1,093.0",+157.65,"1,145",短期(数分～数日),個人投資家の予想,,"1,700.0",04月09日,14:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6473-ジェイテクト/2017-04-09-14-09-07/comment\14.html
"ジェイテクト(6473)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 1,168円 期間： 長期(数ヶ月～数年) 理由： その他 買い直し",ジェイテクト,2016/06/26,17:08,買い予想,37 　 工事中 !さん,57.65,"1,154.0",+134.29,"1,168",長期(数ヶ月～数年),その他,,"1,700.0",04月09日,14:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6473-ジェイテクト/2017-04-09-14-09-07/comment\15.html
"ジェイテクト(6473)の買い予想。 arama- さんの売買予想。 目標株価： 1,900円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) トヨタ系",ジェイテクト,2016/04/04,03:57,買い予想,arama-さん,177.73,"1,374.0",+67.26,"1,900",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"トヨタへ納入多し・・・・
買って・・・・","1,700.0",04月09日,14:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6473-ジェイテクト/2017-04-09-14-09-07/comment\16.html
"ジェイテクト(6473)の買い予想。 hammers314 さんの売買予想。 目標株価： 3,609円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",ジェイテクト,2016/01/01,00:50,買い予想,hammers314さん,-4.56,"1,999.0",-42.67,"3,609",長期(数ヶ月～数年),個人投資家の予想,,"1,700.0",04月09日,14:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6473-ジェイテクト/2017-04-09-14-09-07/comment\17.html
"ジェイテクト(6473)の売り予想。 松岡政也 さんの売買予想。 目標株価： 1,100円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想",ジェイテクト,2015/12/06,10:27,売り予想,松岡政也さん,-25.38,"2,185.0",+62.98,"1,100",長期(数ヶ月～数年),その他,"【株価分析結果】2015/12/05 01:31
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「2,098円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは日本株全体の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","1,700.0",04月09日,14:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6473-ジェイテクト/2017-04-09-14-09-07/comment\18.html
