概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
ジーエス・ユアサ コーポレーション(6674)の買い予想。 kabukabuman さんの売買予想。 目標株価： 600円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対,ジーエス・ユアサコーポレーション,2017/04/05,10:05,買い予想,kabukabumanさん,1.01,500.0,-2.84,600,長期(数ヶ月～数年),その他,,496.0,04月09日,16:07,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6674-ジーエス・ユアサコーポレーション/2017-04-09-16-07-30/comment\1.html
ジーエス・ユアサ コーポレーション(6674)の売り予想。 gasira さんの売買予想。 目標株価： 425円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に賛成,ジーエス・ユアサコーポレーション,2016/10/31,17:18,売り予想,gasiraさん,12.22,452.0,-28.31,425,中期(数週間～数ヶ月),チャート,,496.0,04月09日,16:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6674-ジーエス・ユアサコーポレーション/2017-04-09-16-07-30/comment\10.html
ジーエス・ユアサ コーポレーション(6674)の買い予想。 rinryuwan さんの売買予想。 目標株価： 556円 期間： 短期(数分~数日) 理由： 配当(株主優待を含む) 買い予想 短期 目標株価556円,ジーエス・ユアサコーポレーション,2015/01/19,16:13,買い予想,rinryuwanさん,-10.45,517.0,-12.10,556,短期(数分～数日),配当(株主優待を含む),,496.0,04月09日,16:10,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6674-ジーエス・ユアサコーポレーション/2017-04-09-16-07-30/comment\100.html
ジーエス・ユアサ コーポレーション(6674)の買い予想。 JC-120 さんの売買予想。 目標株価： 704円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価702円,ジーエス・ユアサコーポレーション,2015/01/12,22:51,買い予想,JC-120さん,36.73,500.0,-2.84,704,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,496.0,04月09日,16:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6674-ジーエス・ユアサコーポレーション/2017-04-09-16-07-30/comment\101.html
ジーエス・ユアサ コーポレーション(6674)の買い予想。 荒野ノ大鷹 さんの売買予想。 目標株価： 695円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価695円,ジーエス・ユアサコーポレーション,2014/12/22,08:37,買い予想,荒野ノ大鷹さん,51.47,509.0,-7.82,695,長期(数ヶ月～数年),その他,,496.0,04月09日,16:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6674-ジーエス・ユアサコーポレーション/2017-04-09-16-07-30/comment\102.html
ジーエス・ユアサ コーポレーション(6674)の買い予想。 GYAGDAS さんの売買予想。 目標株価： 567円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,ジーエス・ユアサコーポレーション,2014/12/17,21:56,買い予想,GYAGDASさん,-1.82,502.0,-3.96,567,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),【株価分析結果】2014/12/17 02:08　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「567円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは日本株全体の平均値よりも低い為、相対比較の観点からは割安と判断されます。,496.0,04月09日,16:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6674-ジーエス・ユアサコーポレーション/2017-04-09-16-07-30/comment\103.html
ジーエス・ユアサ コーポレーション(6674)の買い予想。 HENRYR さんの売買予想。 目標株価： 608円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,ジーエス・ユアサコーポレーション,2014/12/17,21:02,買い予想,HENRYRさん,-23.33,502.0,-3.96,608,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,496.0,04月09日,16:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6674-ジーエス・ユアサコーポレーション/2017-04-09-16-07-30/comment\104.html
ジーエス・ユアサ コーポレーション(6674)の買い予想。 taiumako32266432 さんの売買予想。 目標株価： 632円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 株価診断結果「割安」に賛成,ジーエス・ユアサコーポレーション,2014/12/07,13:53,買い予想,taiumako32266432さん,-20.15,536.0,-21.75,632,長期(数ヶ月～数年),個人投資家の予想,【株価分析結果】2014/12/06 02:03　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「567円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは日本株全体銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では日本株全体を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは日本株全体の平均値よりも低い為、相対比較の観点からは割安と判断されます。,496.0,04月09日,16:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6674-ジーエス・ユアサコーポレーション/2017-04-09-16-07-30/comment\105.html
ジーエス・ユアサ コーポレーション(6674)の買い予想。 tokiyakun さんの売買予想。 目標株価： 601円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「売り」に反対,ジーエス・ユアサコーポレーション,2014/11/19,06:42,買い予想,tokiyakunさん,83.31,545.0,-26.08,601,短期(数分～数日),チャート,,496.0,04月09日,16:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6674-ジーエス・ユアサコーポレーション/2017-04-09-16-07-30/comment\106.html
ジーエス・ユアサ コーポレーション(6674)の買い予想。 ｍｍ さんの売買予想。 目標株価： 749円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価748円,ジーエス・ユアサコーポレーション,2014/11/16,11:16,買い予想,ｍｍさん,-14.28,541.0,-24.17,749,長期(数ヶ月～数年),チャート,,496.0,04月09日,16:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6674-ジーエス・ユアサコーポレーション/2017-04-09-16-07-30/comment\107.html
