概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"セコム(9735)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 8,308円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",セコム,2017/04/01,11:48,買い予想,徳川慶喜さん,-2.73,"8,017.0",+0.35,"8,308",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2017/04/01 04:33　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「8,308円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄の配当利回りは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に株主還元策が比較されている可能性があります。　結果、現在、この銘柄の配当利回りは類似時価総額の平均値よりも低い為、相対比較の観点からは割高と判断されます。","8,032.0",04月10日,14:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9735-セコム/2017-04-10-14-54-58/comment\1.html
"セコム(9735)の買い予想。 なおき投資 さんの売買予想。 目標株価： 10,498円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",セコム,2016/11/21,08:34,買い予想,なおき投資さん,15.05,"8,082.0",-2.00,"10,497",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"8,031.0",04月10日,14:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9735-セコム/2017-04-10-14-54-58/comment\10.html
"セコム(9735)の買い予想。 是川銀龍 さんの売買予想。 目標株価： 5,200円 期間： 中期(数週間~数ヶ月) 理由： チャート セコムでグー！",セコム,2008/12/08,19:36,買い予想,是川銀龍さん,403.6,"4,340.0",+241.44,"5,200",中期(数週間～数ヶ月),チャート,5000円台復活の日は近し！？,"8,037.0",04月10日,14:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9735-セコム/2017-04-10-14-54-58/comment\100.html
"セコム(9735)の買い予想。 ミミちゃん さんの売買予想。 目標株価： 4,000円 期間： 短期(数分~数日) 振り込め詐欺対策システムを発売",セコム,2008/12/06,00:50,買い予想,ミミちゃんさん,168.79,"4,240.0",+253.84,"4,000",短期(数分～数日),,"最近事件が多い感じです・・師走ですし・・不況ですし・・リストラだし・
安全・安心指向は増加傾向にある感じです。自社株買いは12月22日まで続きます。キムタクのCMが面白かった（＾＾　ミミ","8,037.0",04月10日,14:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9735-セコム/2017-04-10-14-54-58/comment\101.html
"セコム(9735)の買い予想。 つわあああぁぁぁぁ さんの売買予想。 目標株価： 4,600円 期間： 短期(数分~数日) 理由： チャート 上昇トレンド発生か",セコム,2008/11/19,22:35,買い予想,つわあああぁぁぁぁさん,262.35,"4,360.0",+239.03,"4,600",短期(数分～数日),チャート,,"8,037.0",04月10日,14:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9735-セコム/2017-04-10-14-54-58/comment\102.html
"セコム(9735)の買い予想。 ばうあー02 さんの売買予想。 目標株価： 4,600円 期間： 短期(数分~数日) 理由： その他 買い",セコム,2008/11/19,21:24,買い予想,ばうあー02さん,32.35,"4,360.0",+239.03,"4,600",短期(数分～数日),その他,,"8,037.0",04月10日,14:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9735-セコム/2017-04-10-14-54-58/comment\103.html
"セコム(9735)の買い予想。 t55k77 さんの売買予想。 目標株価： 5,000円 期間： 中期(数週間~数ヶ月) 買い",セコム,2008/11/18,17:43,買い予想,t55k77さん,406.76,"4,350.0",+240.23,"5,000",中期(数週間～数ヶ月),,最近セコムしている個人住宅が多いな～,"8,037.0",04月10日,14:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9735-セコム/2017-04-10-14-54-58/comment\104.html
"セコム(9735)の買い予想。 kirima さんの売買予想。 目標株価： 6,000円 期間： 長期(数ヶ月～数年) 買い",セコム,2008/11/12,21:05,買い予想,kirimaさん,507.83,"3,980.0",+578.00,"6,000",長期(数ヶ月～数年),,"安心な食材を供給する分野に注目。
買い手とのルートは既にあり、有利。
そのほかの点でも、目の付けどころ良い感じ。長い目で。","8,037.0",04月10日,14:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9735-セコム/2017-04-10-14-54-58/comment\105.html
"セコム(9735)の買い予想。 ばうぞう さんの売買予想。 目標株価： 4,200円 期間： 中期(数週間~数ヶ月) どうだろう",セコム,2008/11/08,15:53,買い予想,ばうぞうさん,596.21,"3,830.0",+311.45,"4,200",中期(数週間～数ヶ月),,これはいくだろう,"8,037.0",04月10日,14:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9735-セコム/2017-04-10-14-54-58/comment\106.html
"セコム(9735)の買い予想。 ウッシー☆ さんの売買予想。 目標株価： 45,000円 期間： 中期(数週間~数ヶ月) 理由： チャート 内需",セコム,2008/11/02,23:07,買い予想,ウッシー☆さん,276.97,"3,740.0",+325.79,"45,000",中期(数週間～数ヶ月),チャート,,"8,037.0",04月10日,14:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9735-セコム/2017-04-10-14-54-58/comment\107.html
