0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"セブン＆アイ・ホールディングス(3382)の売り予想。 up.down さんの売買予想。 目標株価： 4,039円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価3,984円",セブン＆アイ・ホールディングス,2017/04/07,12:27,売り予想,up.downさん,0.28,"4,618.0",-1.23,"4,039",中期(数週間～数ヶ月),チャート,,"4,637.0",04月08日,21:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3382-セブン＆アイ・ホールディングス/2017-04-08-21-18-29/comment\1.html
"セブン＆アイ・ホールディングス(3382)の買い予想。 earo1029 さんの売買予想。 目標株価： 4,515円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",セブン＆アイ・ホールディングス,2017/03/03,12:26,買い予想,earo1029さん,0.16,"4,424.0",+13.62,"4,515",短期(数分～数日),業績(会社計画の修正発表を含む),,"4,637.0",04月08日,21:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3382-セブン＆アイ・ホールディングス/2017-04-08-21-18-29/comment\10.html
"セブン＆アイ・ホールディングス(3382)の買い予想。 32923292 さんの売買予想。 目標株価： 4,586円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",セブン＆アイ・ホールディングス,2014/07/05,09:42,買い予想,32923292さん,14.55,"4,416.0",+14.16,"4,586",短期(数分～数日),業績(会社計画の修正発表を含む),,"4,637.0",04月08日,21:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3382-セブン＆アイ・ホールディングス/2017-04-08-21-18-29/comment\100.html
"セブン＆アイ・ホールディングス(3382)の買い予想。 akeke さんの売買予想。 目標株価： 4,822円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 買い予想 短期 目標株価4,800円",セブン＆アイ・ホールディングス,2014/07/04,10:16,買い予想,akekeさん,-17.45,"4,456.0",+11.48,"4,822",短期(数分～数日),イベント(増資／合弁・買収／分割等),,"4,637.0",04月08日,21:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3382-セブン＆アイ・ホールディングス/2017-04-08-21-18-29/comment\101.html
"セブン＆アイ・ホールディングス(3382)の買い予想。 cheri244fun9 さんの売買予想。 目標株価： 4,656円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",セブン＆アイ・ホールディングス,2014/07/04,08:04,買い予想,cheri244fun9さん,-3.25,"4,457.0",+11.42,"4,656",短期(数分～数日),業績(会社計画の修正発表を含む),,"4,637.0",04月08日,21:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3382-セブン＆アイ・ホールディングス/2017-04-08-21-18-29/comment\102.html
"セブン＆アイ・ホールディングス(3382)の買い予想。 hammers314 さんの売買予想。 目標株価： 4,840円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",セブン＆アイ・ホールディングス,2014/07/03,22:54,買い予想,hammers314さん,-4.56,"4,457.0",+11.42,"4,840",長期(数ヶ月～数年),その他,,"4,637.0",04月08日,21:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3382-セブン＆アイ・ホールディングス/2017-04-08-21-18-29/comment\103.html
"セブン＆アイ・ホールディングス(3382)の買い予想。 ボタモチ さんの売買予想。 目標株価： 5,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価5,000円",セブン＆アイ・ホールディングス,2014/06/12,09:56,買い予想,ボタモチさん,248.2,"4,103.0",+36.93,"5,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"4,637.0",04月08日,21:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3382-セブン＆アイ・ホールディングス/2017-04-08-21-18-29/comment\104.html
"セブン＆アイ・ホールディングス(3382)の買い予想。 mrftaka さんの売買予想。 目標株価： 4,200円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価4,200円",セブン＆アイ・ホールディングス,2014/05/30,17:43,買い予想,mrftakaさん,108.3,"4,100.0",+37.17,"4,200",短期(数分～数日),チャート,,"4,637.0",04月08日,21:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3382-セブン＆アイ・ホールディングス/2017-04-08-21-18-29/comment\105.html
"セブン＆アイ・ホールディングス(3382)の買い予想。 パチーノ さんの売買予想。 目標株価： 4,300円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",セブン＆アイ・ホールディングス,2014/05/27,19:11,買い予想,パチーノさん,-13.68,"4,130.0",+34.83,"4,300",短期(数分～数日),業績(会社計画の修正発表を含む),,"4,637.0",04月08日,21:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3382-セブン＆アイ・ホールディングス/2017-04-08-21-18-29/comment\106.html
"セブン＆アイ・ホールディングス(3382)の買い予想。 東海の博打打ち さんの売買予想。 目標株価： 3,201円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",セブン＆アイ・ホールディングス,2014/05/01,18:17,買い予想,東海の博打打ちさん,-3.56,"4,058.0",+40.50,"3,201",短期(数分～数日),チャート,,"4,637.0",04月08日,21:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3382-セブン＆アイ・ホールディングス/2017-04-08-21-18-29/comment\107.html
