概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ソニーフィナンシャルホールディングス(8729)の買い予想。 ７本ＤＭ さんの売買予想。 目標株価： 1,809円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 6.9pk",ソニーフィナンシャルホールディングス,2017/04/09,23:04,買い予想,７本ＤＭさん,0.86,"1,737.0",+0.16,"1,809",中期(数週間～数ヶ月),個人投資家の予想,,"1,733.0",04月10日,09:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8729-ソニーフィナンシャルホールディングス/2017-04-10-09-59-16/comment\1.html
"ソニーフィナンシャルホールディングス(8729)の買い予想。 Yasuhiro Tsutsui さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価2,000",ソニーフィナンシャルホールディングス,2016/12/11,18:15,買い予想,Yasuhiro Tsutsuiさん,13.85,"1,880.0",-21.47,"2,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,733.0",04月10日,09:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8729-ソニーフィナンシャルホールディングス/2017-04-10-09-59-16/comment\10.html
"ソニーフィナンシャルホールディングス(8729)の買い予想。 ｍｏｍｏｎｇａ さんの売買予想。 目標株価： 1,250円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",ソニーフィナンシャルホールディングス,2009/03/09,23:26,買い予想,ｍｏｍｏｎｇａさん,401.27,"1,199.0",+128.78,"1,250",中期(数週間～数ヶ月),チャート,,"1,736.0",04月10日,10:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8729-ソニーフィナンシャルホールディングス/2017-04-10-09-59-16/comment\100.html
ソニーフィナンシャルホールディングス(8729)の買い予想。 RX78G3 さんの売買予想。 期間： 中期(数週間~数ヶ月) 下げで始まり戻す,ソニーフィナンシャルホールディングス,2009/03/05,23:40,買い予想,RX78G3さん,601.44,"1,144.5",+148.45,--,中期(数週間～数ヶ月),,ちゅうきで持ちたいが。,"1,736.0",04月10日,10:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8729-ソニーフィナンシャルホールディングス/2017-04-10-09-59-16/comment\101.html
"ソニーフィナンシャルホールディングス(8729)の買い予想。 yoc1234 さんの売買予想。 目標株価： 2,035円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) OK",ソニーフィナンシャルホールディングス,2009/03/05,22:22,買い予想,yoc1234さん,458.15,"1,144.5",+148.45,"2,034",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等)," 313,000 円 前日比 
+18,600(+6.31%) ","1,736.0",04月10日,10:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8729-ソニーフィナンシャルホールディングス/2017-04-10-09-59-16/comment\102.html
"ソニーフィナンシャルホールディングス(8729)の売り予想。 エコーズ さんの売買予想。 目標株価： 1,115円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 次のゲーム機どうかな",ソニーフィナンシャルホールディングス,2009/02/20,22:06,売り予想,エコーズさん,-812.05,"1,250.0",-112.37,"1,115",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,736.0",04月10日,10:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8729-ソニーフィナンシャルホールディングス/2017-04-10-09-59-16/comment\103.html
"ソニーフィナンシャルホールディングス(8729)の買い予想。 miao さんの売買予想。 目標株価： 1,550円 期間： 中期(数週間~数ヶ月) 理由： チャート なし",ソニーフィナンシャルホールディングス,2009/01/26,04:36,買い予想,miaoさん,159.66,"1,350.0",+165.13,"1,550",中期(数週間～数ヶ月),チャート,,"1,736.0",04月10日,10:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8729-ソニーフィナンシャルホールディングス/2017-04-10-09-59-16/comment\104.html
"ソニーフィナンシャルホールディングス(8729)の買い予想。 ミミちゃん さんの売買予想。 目標株価： 1,750円 期間： 中期(数週間~数ヶ月) 野村が投資判断「1」でカバレッジを開始",ソニーフィナンシャルホールディングス,2009/01/08,23:43,買い予想,ミミちゃんさん,168.79,"1,535.0",+38.34,"1,750",中期(数週間～数ヶ月),,野村が投資判断「1」でカバレッジを開始 野村では同社について、生保・損保・銀行のダイレクトチャネルの強みを武器に、景気後退局面においても安定的な成長と収益を確保できるだろうとの見方 newsミミ,"1,736.0",04月10日,10:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8729-ソニーフィナンシャルホールディングス/2017-04-10-09-59-16/comment\105.html
"ソニーフィナンシャルホールディングス(8729)の買い予想。 チュン1919 さんの売買予想。 目標株価： 1,704円 期間： 短期(数分~数日) 理由： その他 勝ちに乗じるプログラム２、その11",ソニーフィナンシャルホールディングス,2008/11/26,22:34,買い予想,チュン1919さん,515.87,"1,492.5",+47.53,"1,704",短期(数分～数日),その他,自作プログラム,"1,736.0",04月10日,10:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8729-ソニーフィナンシャルホールディングス/2017-04-10-09-59-16/comment\106.html
"ソニーフィナンシャルホールディングス(8729)の買い予想。 パラオ海人 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) かい",ソニーフィナンシャルホールディングス,2008/11/03,14:54,買い予想,パラオ海人さん,508.24,"1,610.0",+23.31,"2,000",中期(数週間～数ヶ月),,"ＳＯＮＹＦＨがストップ高、中間純利益の上ブレを好感(株式新聞)
2008/10/30(14:09)
http://minkabu.jp/stock/8729/news/18123","1,736.0",04月10日,10:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8729-ソニーフィナンシャルホールディングス/2017-04-10-09-59-16/comment\107.html
