概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ソフトバンクグループ(9984)の売り予想。 徳川慶喜 さんの売買予想。 目標株価： 7,196円 期間： 中期(数週間~数ヶ月) 理由： チャート 割高",ソフトバンクグループ,2017/04/07,23:23,売り予想,徳川慶喜さん,-2.73,"8,062.0",+1.23,"7,196",中期(数週間～数ヶ月),チャート,,"8,008.0",04月10日,15:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9984-ソフトバンクグループ/2017-04-10-15-26-55/comment\1.html
"ソフトバンクグループ(9984)の買い予想。 マエストロ0268 さんの売買予想。 目標株価： 8,687円 期間： 中期(数週間~数ヶ月) 理由： チャート 4月に!!",ソフトバンクグループ,2017/04/01,00:22,買い予想,マエストロ0268さん,3.05,"7,910.0",+4.13,"8,687",中期(数週間～数ヶ月),チャート,米国発の大きなNEWSがある事に期待して、、、います!!,"8,008.0",04月10日,15:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9984-ソフトバンクグループ/2017-04-10-15-26-55/comment\10.html
"ソフトバンクグループ(9984)の買い予想。 macsp さんの売買予想。 目標株価： 8,000円 期間： 長期(数ヶ月～数年) 理由： イベント(増資／合弁・買収／分割等) 戦略経営に感服",ソフトバンクグループ,2016/09/24,21:05,買い予想,macspさん,57.0,"6,660.0",+58.28,"8,000",長期(数ヶ月～数年),イベント(増資／合弁・買収／分割等),"【買い】ソフトバンクグループ㈱（9984）押し目買いの狙い時！堅調な日経平均に合わせ再び買い戻し進む。= フェアトレード　西村剛(達人の予想)
2016/09/24(18:18)
http://s.minkabu.jp/stock/9984/news/1159665","8,008.0",04月10日,15:30,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9984-ソフトバンクグループ/2017-04-10-15-26-55/comment\100.html
"ソフトバンクグループ(9984)の買い予想。 auction777master さんの売買予想。 目標株価： 2,701円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",ソフトバンクグループ,2012/03/02,12:17,買い予想,auction777masterさん,334.84,"2,461.0",+640.70,"2,701",短期(数分～数日),チャート,いいかんじ,"8,008.0",04月10日,16:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9984-ソフトバンクグループ/2017-04-10-15-26-55/comment\1000.html
"ソフトバンクグループ(9984)の買い予想。 mickey_mickey_77777 さんの売買予想。 目標株価： 4,870円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) ここからが正念場",ソフトバンクグループ,2012/03/01,13:51,買い予想,mickey_mickey_77777さん,109.86,"2,454.0",+643.34,"4,870",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"8,008.0",04月10日,16:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9984-ソフトバンクグループ/2017-04-10-15-26-55/comment\1001.html
"ソフトバンクグループ(9984)の買い予想。 ルナルナママ さんの売買予想。 目標株価： 3,147円 期間： 中期(数週間~数ヶ月) 理由： その他 期待、プラチナバンド！！",ソフトバンクグループ,2012/03/01,08:19,買い予想,ルナルナママさん,635.69,"2,471.0",+636.96,"3,147",中期(数週間～数ヶ月),その他,,"8,008.0",04月10日,16:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9984-ソフトバンクグループ/2017-04-10-15-26-55/comment\1002.html
"ソフトバンクグループ(9984)の買い予想。 ykoku さんの売買予想。 目標株価： 2,542円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",ソフトバンクグループ,2012/02/29,19:40,買い予想,ykokuさん,392.32,"2,471.0",+636.96,"2,542",中期(数週間～数ヶ月),その他,,"8,008.0",04月10日,16:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9984-ソフトバンクグループ/2017-04-10-15-26-55/comment\1003.html
"ソフトバンクグループ(9984)の買い予想。 sawa07 さんの売買予想。 目標株価： 2,663円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 株価診断結果「割安」に賛成",ソフトバンクグループ,2012/02/29,17:45,買い予想,sawa07さん,338.87,"2,471.0",+636.96,"2,663",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),"【株価分析結果】2012/02/29 02:24
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,739円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一取引市場の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","8,008.0",04月10日,16:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9984-ソフトバンクグループ/2017-04-10-15-26-55/comment\1004.html
"ソフトバンクグループ(9984)の売り予想。 zero77 さんの売買予想。 目標株価： 2,178円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対",ソフトバンクグループ,2012/02/24,21:38,売り予想,zero77さん,285.92,"2,382.0",-671.62,"2,178",短期(数分～数日),業績(会社計画の修正発表を含む),競争力,"8,008.0",04月10日,16:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9984-ソフトバンクグループ/2017-04-10-15-26-55/comment\1005.html
"ソフトバンクグループ(9984)の買い予想。 noginews さんの売買予想。 目標株価： 7,419円 期間： 長期(数ヶ月～数年) 理由： その他 将来の大きな資産になる",ソフトバンクグループ,2012/02/23,17:18,買い予想,noginewsさん,189.22,"2,458.0",+641.83,"7,419",長期(数ヶ月～数年),その他,将来性,"8,008.0",04月10日,16:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9984-ソフトバンクグループ/2017-04-10-15-26-55/comment\1006.html
