0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ダイキン工業(6367)の買い予想。 いちくん！ さんの売買予想。 目標株価： 12,194円 期間： 中期(数週間~数ヶ月) 理由： その他 買い",ダイキン工業,2017/04/04,11:17,買い予想,いちくん！さん,-13.34,"11,100.0",-8.60,"12,193",中期(数週間～数ヶ月),その他,,"10,765.0",04月09日,13:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6367-ダイキン工業/2017-04-09-13-52-00/comment\1.html
"ダイキン工業(6367)の買い予想。 Motty3 さんの売買予想。 目標株価： 10,003円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",ダイキン工業,2016/09/04,20:27,買い予想,Motty3さん,58.19,"9,664.0",+32.36,"10,003",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"10,765.0",04月09日,13:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6367-ダイキン工業/2017-04-09-13-52-00/comment\10.html
"ダイキン工業(6367)の買い予想。 ボタモチ さんの売買予想。 目標株価： 3,283円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",ダイキン工業,2012/10/19,14:14,買い予想,ボタモチさん,248.2,"2,191.0","+1,112.65","3,283",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"10,765.0",04月09日,13:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6367-ダイキン工業/2017-04-09-13-52-00/comment\100.html
"ダイキン工業(6367)の買い予想。 アジア さんの売買予想。 目標株価： 2,448円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割安」に賛成",ダイキン工業,2012/10/04,22:13,買い予想,アジアさん,609.13,"1,975.0","+1,265.43","2,448",中期(数週間～数ヶ月),その他,"【株価分析結果】2012/10/04 02:10
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,448円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","10,765.0",04月09日,13:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6367-ダイキン工業/2017-04-09-13-52-00/comment\101.html
"ダイキン工業(6367)の買い予想。 akinokaze さんの売買予想。 目標株価： 2,294円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",ダイキン工業,2012/09/22,16:00,買い予想,akinokazeさん,327.69,"2,077.0","+1,189.32","2,294",中期(数週間～数ヶ月),チャート,,"10,765.0",04月09日,13:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6367-ダイキン工業/2017-04-09-13-52-00/comment\102.html
"ダイキン工業(6367)の買い予想。 nana1984 さんの売買予想。 目標株価： 2,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 経営手腕",ダイキン工業,2012/09/08,17:24,買い予想,nana1984さん,245.08,"2,026.0","+1,226.42","2,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2012/09/08 02:12
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,500円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","10,765.0",04月09日,13:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6367-ダイキン工業/2017-04-09-13-52-00/comment\103.html
"ダイキン工業(6367)の売り予想。 billy3 さんの売買予想。 目標株価： 1,900円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「売り」に賛成",ダイキン工業,2012/08/31,15:29,売り予想,billy3さん,-1209.67,"2,051.0","-1,208.28","1,900",短期(数分～数日),イベント(増資／合弁・買収／分割等),,"10,765.0",04月09日,13:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6367-ダイキン工業/2017-04-09-13-52-00/comment\104.html
"ダイキン工業(6367)の買い予想。 GSX-R1000 さんの売買予想。 目標株価： 2,323円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 株価診断結果「割安」に賛成",ダイキン工業,2012/08/30,17:43,買い予想,GSX-R1000さん,1004.33,"2,087.0","+1,182.26","2,323",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),"【株価分析結果】2012/08/30 02:07
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,517円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","10,765.0",04月09日,13:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6367-ダイキン工業/2017-04-09-13-52-00/comment\105.html
"ダイキン工業(6367)の買い予想。 レクサス さんの売買予想。 目標株価： 2,517円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ダイキン工業,2012/08/29,08:07,買い予想,レクサスさん,154.68,"2,001.0","+1,245.30","2,517",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/08/29 02:07
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,517円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","10,765.0",04月09日,13:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6367-ダイキン工業/2017-04-09-13-52-00/comment\106.html
"ダイキン工業(6367)の買い予想。 haru1234* さんの売買予想。 目標株価： 2,332円 期間： 中期(数週間~数ヶ月) 理由： チャート 買います",ダイキン工業,2012/06/29,13:49,買い予想,haru1234*さん,411.96,"2,226.0","+1,090.68","2,332",中期(数週間～数ヶ月),チャート,節電します。,"10,765.0",04月09日,13:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6367-ダイキン工業/2017-04-09-13-52-00/comment\107.html
