概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"テルモ(4543)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 4,250円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価4,250円",テルモ,2017/04/06,22:00,買い予想,徳川慶喜さん,-2.73,"3,910.0",-2.61,"4,250",長期(数ヶ月～数年),チャート,,"3,875.0",04月09日,00:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\1.html
"テルモ(4543)の買い予想。 なおき投資 さんの売買予想。 目標株価： 5,246円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",テルモ,2016/11/19,08:09,買い予想,なおき投資さん,15.05,"4,050.0",-12.35,"5,245",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2016/11/19 02:42
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「4,686円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","3,875.0",04月09日,00:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\10.html
"テルモ(4543)の買い予想。 もとちゃん さんの売買予想。 目標株価： 2,750円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買ってから2-3年待とう",テルモ,2010/05/16,14:33,買い予想,もとちゃんさん,670.23,"2,227.5",+210.19,"2,750",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"売り上げは海外半分だが、国内ではここ2－3年で老人（65歳以上）が爆発的に増える。
アホでも売り上げ、利益は予想以上に上がる。","3,875.0",04月09日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\100.html
"テルモ(4543)の買い予想。 naomo さんの売買予想。 目標株価： 2,500円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い",テルモ,2010/05/10,16:57,買い予想,naomoさん,248.08,"2,327.5",+188.94,"2,500",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,875.0",04月09日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\101.html
テルモ(4543)の買い予想。 レイリー さんの売買予想。 目標株価： 45円 期間： 短期(数分~数日) aaaa,テルモ,2010/05/07,11:40,買い予想,レイリーさん,341.47,"2,292.5",+196.16,44,短期(数分～数日),,,"3,875.0",04月09日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\102.html
"テルモ(4543)の買い予想。 さくらchan さんの売買予想。 目標株価： 2,750円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",テルモ,2010/04/10,13:20,買い予想,さくらchanさん,347.68,"2,600.0",+139.33,"2,750",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2010/04/10 03:14
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「4,651円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","3,875.0",04月09日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\103.html
"テルモ(4543)の買い予想。 sui*efi*hi*g さんの売買予想。 目標株価： 2,805円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",テルモ,2010/03/02,21:52,買い予想,sui*efi*hi*gさん,316.66,"2,407.5",+173.21,"2,805",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),かい,"3,875.0",04月09日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\104.html
"テルモ(4543)の売り予想。 野球小僧 さんの売買予想。 目標株価： 2,400円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に反対",テルモ,2010/01/31,08:51,売り予想,野球小僧さん,-261.31,"2,535.0",-150.42,"2,400",短期(数分～数日),チャート,,"3,875.0",04月09日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\105.html
テルモ(4543)の買い予想。 日はまた昇る さんの売買予想。 目標株価： 45円 宝珠と痛くない注射針,テルモ,2010/01/26,07:11,買い予想,日はまた昇るさん,339.2,"2,530.0",+151.05,44,,,使う人のことお思い、製品開発を続ける、同じ方々が製作していることに驚きと、何処か遠いところで、同じ精神で、物造りが行われていることに、深く感銘を受けました、すごいぞ日本力、頑張れ日本！！！,"3,875.0",04月09日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\106.html
"テルモ(4543)の買い予想。 jj88 さんの売買予想。 目標株価： 2,800円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「買い」に賛成",テルモ,2009/12/25,17:32,買い予想,jj88さん,51.46,"2,765.0",+114.05,"2,800",短期(数分～数日),その他,2010年の上昇を見越して,"3,875.0",04月09日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\107.html
"テルモ(4543)の売り予想。 ブリーンプラン さんの売買予想。 目標株価： 2,359円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割高」に賛成",テルモ,2009/12/09,18:03,売り予想,ブリーンプランさん,124.17,"2,650.0",-131.55,"2,359",中期(数週間～数ヶ月),チャート,"【株価分析結果】2009/12/09 03:13
　割高

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「4,718円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","3,875.0",04月09日,00:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\108.html
"テルモ(4543)の売り予想。 Marge さんの売買予想。 目標株価： 2,367円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",テルモ,2009/12/05,01:19,売り予想,Margeさん,-246.34,"2,600.0",-139.55,"2,366",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2009/12/04 03:14
　割高

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「4,733円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","3,875.0",04月09日,00:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\109.html
"テルモ(4543)の買い予想。 ぜんちゃん99 さんの売買予想。 目標株価： 4,203円 期間： 短期(数分~数日) 理由： チャート 株価診断結果「割安」に賛成",テルモ,2016/11/01,21:00,買い予想,ぜんちゃん99さん,1.37,"4,045.0",-12.02,"4,203",短期(数分～数日),チャート,"【株価分析結果】2016/11/01 02:42　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「4,688円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","3,875.0",04月09日,00:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\11.html
"テルモ(4543)の売り予想。 これかわぎんぞう2世 さんの売買予想。 目標株価： 2,250円 期間： 中期(数週間~数ヶ月) URI",テルモ,2009/11/19,11:05,売り予想,これかわぎんぞう2世さん,-377.96,"2,545.0",-148.71,"2,250",中期(数週間～数ヶ月),,,"3,875.0",04月09日,00:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4543-テルモ/2017-04-09-00-37-04/comment\110.html
