概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
デンカ(4061)の買い予想。 twitter88 さんの売買予想。 目標株価： 760円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価759円,デンカ,2017/03/27,13:41,買い予想,twitter88さん,-0.95,588.0,-17.89,760,長期(数ヶ月～数年),チャート,,552.0,04月08日,22:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4061-デンカ/2017-04-08-22-51-52/comment\1.html
デンカ(4061)の買い予想。 eco net skl さんの売買予想。 目標株価： 585円 期間： 短期(数分~数日) 理由： その他 個人投資家の意見「買い」に賛成,デンカ,2016/09/06,18:04,買い予想,eco net sklさん,40.87,447.0,+66.15,585,短期(数分～数日),その他,上がりそう,552.0,04月08日,22:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4061-デンカ/2017-04-08-22-51-52/comment\10.html
"デンカ(4061)の買い予想。 りつmotohachi さんの売買予想。 目標株価： 10,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買う！",デンカ,2008/12/12,21:04,買い予想,りつmotohachiさん,442.92,217.0,+437.67,"10,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,552.0,04月08日,22:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4061-デンカ/2017-04-08-22-51-52/comment\100.html
デンカ(4061)の買い予想。 77じゅん77 さんの売買予想。 目標株価： 300円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 配当,デンカ,2008/11/30,00:13,買い予想,77じゅん77さん,218.72,215.0,+888.79,300,中期(数週間～数ヶ月),配当(株主優待を含む),"安い
",552.0,04月08日,22:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4061-デンカ/2017-04-08-22-51-52/comment\101.html
デンカ(4061)の買い予想。 Kappa Q さんの売買予想。 目標株価： 300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 割安,デンカ,2008/11/25,15:35,買い予想,Kappa Qさん,141.0,218.0,+434.36,300,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,552.0,04月08日,22:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4061-デンカ/2017-04-08-22-51-52/comment\102.html
デンカ(4061)の買い予想。 wins236 さんの売買予想。 目標株価： 360円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 今が買い,デンカ,2008/08/12,10:24,買い予想,wins236さん,305.22,306.0,+227.67,360,短期(数分～数日),イベント(増資／合弁・買収／分割等),上がる予感,552.0,04月08日,22:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4061-デンカ/2017-04-08-22-51-52/comment\103.html
デンカ(4061)の買い予想。 ラムタムタガー さんの売買予想。 目標株価： 455円 期間： 短期(数分~数日) 理由： チャート なんとなく,デンカ,2008/06/19,19:01,買い予想,ラムタムタガーさん,-337.08,434.0,+76.65,455,短期(数分～数日),チャート,,552.0,04月08日,22:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4061-デンカ/2017-04-08-22-51-52/comment\104.html
デンカ(4061)の買い予想。 やすまろ さんの売買予想。 目標株価： 500円 期間： 長期(数ヶ月～数年) 理由： その他 のんびり待ちます,デンカ,2008/06/17,19:59,買い予想,やすまろさん,309.19,438.0,+73.36,500,長期(数ヶ月～数年),その他,,552.0,04月08日,22:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4061-デンカ/2017-04-08-22-51-52/comment\105.html
デンカ(4061)の買い予想。 たっく☆ さんの売買予想。 目標株価： 650円 期間： 中期(数週間~数ヶ月) 気長に,デンカ,2008/06/11,23:26,買い予想,たっく☆さん,525.58,412.0,+95.93,650,中期(数週間～数ヶ月),,,552.0,04月08日,22:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4061-デンカ/2017-04-08-22-51-52/comment\106.html
デンカ(4061)の買い予想。 angelsho さんの売買予想。 目標株価： 450円 期間： 中期(数週間~数ヶ月) 理由： チャート 強気で・・・,デンカ,2008/06/09,18:58,買い予想,angelshoさん,63.79,422.0,+86.92,450,中期(数週間～数ヶ月),チャート,まだまだ強気で買い継続でしょう。,552.0,04月08日,22:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4061-デンカ/2017-04-08-22-51-52/comment\107.html
デンカ(4061)の買い予想。 Air さんの売買予想。 目標株価： 400円 期間： 短期(数分~数日) 理由： その他 短期買い,デンカ,2008/04/10,01:47,買い予想,Airさん,90.88,355.0,+156.99,400,短期(数分～数日),その他,,552.0,04月08日,22:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4061-デンカ/2017-04-08-22-51-52/comment\108.html
