概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
トクヤマ(4043)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 511円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 67.3pss,トクヤマ,2017/04/01,14:53,売り予想,７本ＤＭさん,0.86,531.0,+19.81,511,中期(数週間～数ヶ月),個人投資家の予想,,493.0,04月08日,22:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4043-トクヤマ/2017-04-08-22-47-13/comment\1.html
トクヤマ(4043)の買い予想。 みわっち さんの売買予想。 目標株価： 658円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 上がりそう,トクヤマ,2017/01/31,17:28,買い予想,みわっちさん,4.17,523.0,-16.85,657,中期(数週間～数ヶ月),個人投資家の予想,,493.0,04月08日,22:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4043-トクヤマ/2017-04-08-22-47-13/comment\10.html
トクヤマ(4043)の買い予想。 taq*0* さんの売買予想。 目標株価： 650円 期間： 中期(数週間~数ヶ月) 理由： その他 買い,トクヤマ,2010/01/17,17:12,買い予想,taq*0*さん,263.34,549.0,-29.52,650,中期(数週間～数ヶ月),その他,,493.0,04月08日,22:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4043-トクヤマ/2017-04-08-22-47-13/comment\100.html
"トクヤマ(4043)の買い予想。 CHANNEL さんの売買予想。 目標株価： 1,500円 期間： 長期(数ヶ月～数年) 理由： その他 買い",トクヤマ,2010/01/08,12:26,買い予想,CHANNELさん,1360.85,540.0,-25.27,"1,500",長期(数ヶ月～数年),その他,,493.0,04月08日,22:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4043-トクヤマ/2017-04-08-22-47-13/comment\101.html
トクヤマ(4043)の買い予想。 star さんの売買予想。 目標株価： 550円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,トクヤマ,2010/01/01,15:13,買い予想,starさん,115.71,518.0,-14.27,550,,業績(会社計画の修正発表を含む),"【株価分析結果】2009/12/31 03:12
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「550円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",493.0,04月08日,22:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4043-トクヤマ/2017-04-08-22-47-13/comment\102.html
トクヤマ(4043)の買い予想。 シシカバブ さんの売買予想。 目標株価： 533円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,トクヤマ,2009/11/26,09:50,買い予想,シシカバブさん,424.14,478.0,+8.32,533,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2009/11/26 03:12
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「533円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",493.0,04月08日,22:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4043-トクヤマ/2017-04-08-22-47-13/comment\103.html
トクヤマ(4043)の売り予想。 hirokoshuuhei さんの売買予想。 目標株価： 485円 期間： 短期(数分~数日) 理由： チャート 売り,トクヤマ,2009/11/16,06:53,売り予想,hirokoshuuheiさん,97.13,514.0,+11.06,485,短期(数分～数日),チャート,,493.0,04月08日,22:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4043-トクヤマ/2017-04-08-22-47-13/comment\104.html
トクヤマ(4043)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 800円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割高」に反対,トクヤマ,2009/09/16,21:30,買い予想,goodknight1987さん,319.77,709.0,-87.03,800,中期(数週間～数ヶ月),その他,,493.0,04月08日,22:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4043-トクヤマ/2017-04-08-22-47-13/comment\105.html
トクヤマ(4043)の買い予想。 シャカ さんの売買予想。 目標株価： 7円 期間： 長期(数ヶ月～数年) 理由： イベント(増資／合弁・買収／分割等) 株価診断結果「割安」に賛成,トクヤマ,2009/09/02,16:17,買い予想,シャカさん,34.22,680.0,-78.61,7,長期(数ヶ月～数年),イベント(増資／合弁・買収／分割等),"【株価分析結果】2009/09/02 03:13
　割安

【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で妥当圏内と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「720円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値と同水準の為、過去比較の観点からは妥当圏内と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",493.0,04月08日,22:50,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4043-トクヤマ/2017-04-08-22-47-13/comment\106.html
"トクヤマ,4043,Tokuyama,株価,株価予想,目標株価,株,株式,みんなの株式,みんかぶ,minkabu",トクヤマ,2009/08/27,22:21,買い予想,kendottoさん,165.16,676.0,-77.39,--,,,　,493.0,04月08日,22:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4043-トクヤマ/2017-04-08-22-47-13/comment\107.html
