概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"トレンドマイクロ(4704)の売り予想。 up.down さんの売買予想。 目標株価： 4,288円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価4,246円",トレンドマイクロ,2017/04/07,12:32,売り予想,up.downさん,0.28,"4,855.0",-1.22,"4,288",中期(数週間～数ヶ月),チャート,,"4,875.0",04月09日,01:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4704-トレンドマイクロ/2017-04-09-01-22-42/comment\1.html
"トレンドマイクロ(4704)の買い予想。 とちこ さんの売買予想。 目標株価： 5,824円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 買い",トレンドマイクロ,2017/01/29,23:35,買い予想,とちこさん,245.96,"4,470.0",+25.70,"5,824",中期(数週間～数ヶ月),個人投資家の予想,,"4,875.0",04月09日,01:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4704-トレンドマイクロ/2017-04-09-01-22-42/comment\10.html
"トレンドマイクロ(4704)の買い予想。 skybb さんの売買予想。 目標株価： 5,000円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",トレンドマイクロ,2017/01/29,23:11,買い予想,skybbさん,29.76,"4,470.0",+25.70,"5,000",中期(数週間～数ヶ月),チャート,,"4,875.0",04月09日,01:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4704-トレンドマイクロ/2017-04-09-01-22-42/comment\11.html
"トレンドマイクロ(4704)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 2,958円 期間： 長期(数ヶ月～数年) 理由： チャート 2017",トレンドマイクロ,2017/01/04,19:20,売り予想,エグゼクティブ・まっちさん,-14.13,"4,250.0",-41.88,"2,957",長期(数ヶ月～数年),チャート,,"4,875.0",04月09日,01:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4704-トレンドマイクロ/2017-04-09-01-22-42/comment\12.html
"トレンドマイクロ(4704)の買い予想。 twitter88 さんの売買予想。 目標株価： 5,429円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価5,429円",トレンドマイクロ,2016/12/21,23:05,買い予想,twitter88さん,-0.95,"4,290.0",+38.71,"5,429",長期(数ヶ月～数年),チャート,,"4,875.0",04月09日,01:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4704-トレンドマイクロ/2017-04-09-01-22-42/comment\13.html
"トレンドマイクロ(4704)の買い予想。 fsicon さんの売買予想。 目標株価： 3,640円 期間： 短期(数分~数日) 理由： 個人投資家の予想 買い予想 短期 目標株価3,945円",トレンドマイクロ,2016/11/11,09:21,買い予想,fsiconさん,11.38,"3,910.0",+70.10,"3,640",短期(数分～数日),個人投資家の予想,,"4,875.0",04月09日,01:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4704-トレンドマイクロ/2017-04-09-01-22-42/comment\14.html
"トレンドマイクロ(4704)の買い予想。 Hutamakimozi さんの売買予想。 目標株価： 3,791円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価3,791円",トレンドマイクロ,2016/11/04,13:21,買い予想,Hutamakimoziさん,34.09,"3,490.0",+112.76,"3,791",長期(数ヶ月～数年),その他,,"4,875.0",04月09日,01:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4704-トレンドマイクロ/2017-04-09-01-22-42/comment\15.html
"トレンドマイクロ(4704)の買い予想。 pinksapphire さんの売買予想。 目標株価： 4,247円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",トレンドマイクロ,2016/04/14,04:41,買い予想,pinksapphireさん,40.24,"4,150.0",+49.60,"4,247",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"■トレンドマイクロ  　4,045円　 +125 円 (+3.2％)　　本日終値
　トレンドマイクロが実に６営業日続伸。三菱ＵＦＪモルガン・スタンレー証券は同社について、「クラウドの成長と技術優位性を支えるＳＰＮ（Ｓｍａｒｔ　Ｐｒｏｔｅｃｔｉｏｎ　Ｎｅｔｗｏｒｋ）が価値創造の原点」とのリポートをリリース。同証券のエクイティストーリーは、技術優位に裏打ちされた同社のクラウド製品をトリガーにした企業向けシェアアップによる収益拡大であると紹介。クラウド関連ビジネスの市場期待以上の成長、株主還元向上、自動車セキュリティーなどのテーマに対する期待感醸成、などがカタリストになるとみて、レーティング「オーバーウエート」、目標株価５５００円を継続している。","4,875.0",04月09日,01:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4704-トレンドマイクロ/2017-04-09-01-22-42/comment\16.html
"トレンドマイクロ(4704)の売り予想。 ほのえ さんの売買予想。 目標株価： 3,976円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 160328 セキュリティ 4185",トレンドマイクロ,2016/03/28,18:00,売り予想,ほのえさん,9.63,"4,185.0",-46.95,"3,975",中期(数週間～数ヶ月),個人投資家の予想,,"4,875.0",04月09日,01:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4704-トレンドマイクロ/2017-04-09-01-22-42/comment\17.html
"トレンドマイクロ(4704)の売り予想。 Surface・プロスリぁー さんの売買予想。 目標株価： 4,743円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 ここで売り",トレンドマイクロ,2015/12/04,11:01,売り予想,Surface・プロスリぁーさん,35.75,"5,280.0",+21.75,"4,743",中期(数週間～数ヶ月),個人投資家の予想,"一先ず、利益確定。
長期保有。ここぞで売買を繰り返すのも一考。","4,875.0",04月09日,01:23,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4704-トレンドマイクロ/2017-04-09-01-22-42/comment\18.html
