0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ニコン(7731)の買い予想。 徳川慶喜 さんの売買予想。 目標株価： 1,753円 期間： 長期(数ヶ月～数年) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",ニコン,2017/04/01,10:56,買い予想,徳川慶喜さん,-2.73,"1,630.0",-10.64,"1,753",長期(数ヶ月～数年),個人投資家の予想,,"1,570.0",04月10日,00:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7731-ニコン/2017-04-10-00-56-07/comment\1.html
"ニコン(7731)の売り予想。 ７本ＤＭ さんの売買予想。 目標株価： 1,528円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 -275uri",ニコン,2017/02/14,17:22,売り予想,７本ＤＭさん,0.86,"1,621.0",+8.77,"1,527",中期(数週間～数ヶ月),個人投資家の予想,,"1,570.0",04月10日,00:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7731-ニコン/2017-04-10-00-56-07/comment\10.html
"ニコン(7731)の売り予想。 とくにゃん さんの売買予想。 目標株価： 1,524円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対",ニコン,2013/08/16,11:44,売り予想,とくにゃんさん,-145.84,"1,699.0",+21.42,"1,524",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"売り予想→一旦利益確定→再度売り
業績が良くない
ips関連としてみるならば､ﾘﾌﾟﾛｾﾙなんかより全然有望だとは思うが","1,570.0",04月10日,01:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7731-ニコン/2017-04-10-00-56-07/comment\100.html
"ニコン(7731)の買い予想。 ふんぶ さんの売買予想。 目標株価： 2,100円 期間： 中期(数週間~数ヶ月) 理由： チャート 中期保有銘柄",ニコン,2013/08/16,11:22,買い予想,ふんぶさん,137.46,"1,694.0",-20.98,"2,100",中期(数週間～数ヶ月),チャート,医療関連への期待,"1,570.0",04月10日,01:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7731-ニコン/2017-04-10-00-56-07/comment\101.html
"ニコン(7731)の買い予想。 aqu**ius80 さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 上がって下さい",ニコン,2013/08/15,16:26,買い予想,aqu**ius80さん,151.87,"1,709.0",-23.29,"3,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,570.0",04月10日,01:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7731-ニコン/2017-04-10-00-56-07/comment\102.html
"ニコン(7731)の買い予想。 jun1916 さんの売買予想。 目標株価： 1,911円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",ニコン,2013/08/15,10:55,買い予想,jun1916さん,145.97,"1,718.0",-24.66,"1,911",中期(数週間～数ヶ月),チャート,,"1,570.0",04月10日,01:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7731-ニコン/2017-04-10-00-56-07/comment\103.html
"ニコン(7731)の買い予想。 HAPIKA さんの売買予想。 目標株価： 2,344円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ニコン,2013/08/14,12:31,買い予想,HAPIKAさん,317.31,"1,680.0",-18.78,"2,344",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/08/14 02:16
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,344円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは類似時価総額の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","1,570.0",04月10日,01:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7731-ニコン/2017-04-10-00-56-07/comment\104.html
"ニコン(7731)の買い予想。 ゆうじ0602 さんの売買予想。 目標株価： 2,184円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割安」に賛成",ニコン,2013/08/14,12:09,買い予想,ゆうじ0602さん,41.92,"1,679.0",-18.62,"2,184",中期(数週間～数ヶ月),チャート,"【株価分析結果】2013/08/14 02:16
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,344円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に売上動向が比較されている可能性があります。
　結果、現在、この銘柄のPSRは類似時価総額の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","1,570.0",04月10日,01:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7731-ニコン/2017-04-10-00-56-07/comment\105.html
"ニコン(7731)の買い予想。 すこっち さんの売買予想。 目標株価： 3,345円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",ニコン,2013/08/14,10:32,買い予想,すこっちさん,0.17,"1,684.0",-19.41,"3,345",短期(数分～数日),チャート,,"1,570.0",04月10日,01:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7731-ニコン/2017-04-10-00-56-07/comment\106.html
"ニコン(7731)の買い予想。 球 さんの売買予想。 目標株価： 3,345円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",ニコン,2013/08/14,10:27,買い予想,球さん,211.51,"1,685.0",-19.57,"3,345",長期(数ヶ月～数年),チャート,,"1,570.0",04月10日,01:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7731-ニコン/2017-04-10-00-56-07/comment\107.html
"ニコン(7731)の買い予想。 風来の相場師 さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： チャート 今日買いました",ニコン,2013/08/13,23:39,買い予想,風来の相場師さん,112.18,"1,694.0",-20.98,"2,000",中期(数週間～数ヶ月),チャート,とりあえず１０００株買いました｡地合いさえよければとりあえずは反発｡後はﾊﾞｲｵ関連などへの投資などからのｻﾌﾟﾗｲｽﾞ情報などで回復と予想｡優良企業｡ 信じましょう｡,"1,570.0",04月10日,01:00,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7731-ニコン/2017-04-10-00-56-07/comment\108.html
