0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ニチレイ(2871)の買い予想。 twitter88 さんの売買予想。 目標株価： 3,867円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価3,867円",ニチレイ,2017/03/27,13:21,買い予想,twitter88さん,-0.95,"2,789.0",-5.60,"3,867",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,735.0",04月08日,20:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2871-ニチレイ/2017-04-08-20-40-07/comment\1.html
"ニチレイ(2871)の買い予想。 小林悠樹 さんの売買予想。 目標株価： 2,600円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い予想 短期 目標株価2,700円",ニチレイ,2017/01/12,13:11,買い予想,小林悠樹さん,3.22,"2,377.0",+42.70,"2,600",短期(数分～数日),業績(会社計画の修正発表を含む),,"2,735.0",04月08日,20:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2871-ニチレイ/2017-04-08-20-40-07/comment\10.html
"ニチレイ(2871)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 1,694円 期間： 長期(数ヶ月～数年) 理由： チャート 2017",ニチレイ,2017/01/01,00:16,売り予想,エグゼクティブ・まっちさん,-14.13,"2,430.0",-35.80,"1,694",長期(数ヶ月～数年),チャート,,"2,735.0",04月08日,20:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2871-ニチレイ/2017-04-08-20-40-07/comment\11.html
"ニチレイ(2871)の買い予想。 doctag さんの売買予想。 目標株価： 2,545円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",ニチレイ,2016/09/27,02:01,買い予想,doctagさん,12.05,"2,260.0",+59.64,"2,545",中期(数週間～数ヶ月),その他,,"2,735.0",04月08日,20:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2871-ニチレイ/2017-04-08-20-40-07/comment\12.html
"ニチレイ(2871)の買い予想。 くまー さんの売買予想。 目標株価： 2,272円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",ニチレイ,2016/06/29,23:19,買い予想,くまーさん,64.61,"1,880.0",+129.17,"2,272",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2016/06/29 01:48　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「750円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPERは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは類似時価総額の平均値よりも高い為、相対比較の観点からは割高と判断されます。,"2,735.0",04月08日,20:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2871-ニチレイ/2017-04-08-20-40-07/comment\13.html
"ニチレイ(2871)の買い予想。 t-oku さんの売買予想。 目標株価： 2,376円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",ニチレイ,2016/06/27,15:29,買い予想,t-okuさん,47.03,"1,800.0",+147.55,"2,376",中期(数週間～数ヶ月),個人投資家の予想,,"2,735.0",04月08日,20:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2871-ニチレイ/2017-04-08-20-40-07/comment\14.html
"ニチレイ(2871)の売り予想。 ほのあさ さんの売買予想。 目標株価： 1,708円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 個人投資家の意見「買い」に反対",ニチレイ,2016/05/11,07:27,売り予想,ほのあささん,-46.84,"1,910.0",-122.97,"1,708",短期(数分～数日),イベント(増資／合弁・買収／分割等),野菜に細菌混入のニュースが有ったため,"2,735.0",04月08日,20:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2871-ニチレイ/2017-04-08-20-40-07/comment\15.html
"ニチレイ(2871)の買い予想。 夢想人 さんの売買予想。 目標株価： 2,080円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価1,040円",ニチレイ,2016/03/19,21:15,買い予想,夢想人さん,37.1,"1,808.0",+145.64,"2,080",長期(数ヶ月～数年),その他,,"2,735.0",04月08日,20:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2871-ニチレイ/2017-04-08-20-40-07/comment\16.html
"ニチレイ(2871)の買い予想。 pokori さんの売買予想。 目標株価： 1,890円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",ニチレイ,2016/03/02,13:43,買い予想,pokoriさん,8.82,"1,878.0",+129.61,"1,890",中期(数週間～数ヶ月),個人投資家の予想,,"2,735.0",04月08日,20:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2871-ニチレイ/2017-04-08-20-40-07/comment\17.html
ニチレイ(2871)の売り予想。 松岡政也 さんの売買予想。 目標株価： 800円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,ニチレイ,2015/11/03,13:19,売り予想,松岡政也さん,-25.38,"1,604.0",-200.68,800,長期(数ヶ月～数年),その他,,"2,735.0",04月08日,20:40,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/2871-ニチレイ/2017-04-08-20-40-07/comment\18.html
