0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
パイオニア(6773)の買い予想。 畦道花の山 さんの売買予想。 目標株価： 274円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価274円,パイオニア,2017/04/08,14:43,買い予想,畦道花の山さん,1.35,成り行き ,,274,長期(数ヶ月～数年),その他,,203.0,04月09日,18:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\1.html
パイオニア(6773)の買い予想。 alex4u さんの売買予想。 目標株価： 279円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「売り」に反対,パイオニア,2017/02/02,10:44,買い予想,alex4uさん,-36.64,254.0,-58.21,279,短期(数分～数日),個人投資家の予想,,203.0,04月09日,18:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\10.html
パイオニア(6773)の買い予想。 ●ふぁん● さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： チャート ふぁん,パイオニア,2013/07/12,08:40,買い予想,●ふぁん●さん,134.42,203.0,-1.40,500,中期(数週間～数ヶ月),チャート,,203.0,04月09日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\100.html
パイオニア(6773)の買い予想。 ﾚｻﾄ さんの売買予想。 目標株価： 280円 期間： 中期(数週間~数ヶ月) 理由： その他 底値,パイオニア,2013/07/09,03:01,買い予想,ﾚｻﾄさん,82.4,209.0,-9.52,280,中期(数週間～数ヶ月),その他,,203.0,04月09日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\101.html
パイオニア(6773)の買い予想。 よったんかな さんの売買予想。 目標株価： 300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,パイオニア,2013/06/21,18:04,買い予想,よったんかなさん,486.18,199.0,+4.28,300,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),回復でしょう。,203.0,04月09日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\102.html
パイオニア(6773)の買い予想。 ひが さんの売買予想。 目標株価： 249円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,パイオニア,2013/06/15,06:28,買い予想,ひがさん,150.6,196.0,+8.70,249,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/06/15 02:08
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「249円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
",203.0,04月09日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\103.html
パイオニア(6773)の買い予想。 なっか～ さんの売買予想。 目標株価： 249円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,パイオニア,2013/06/04,00:22,買い予想,なっか～さん,70.05,209.0,-9.52,249,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/06/01 02:03
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「249円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
",203.0,04月09日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\104.html
パイオニア(6773)の買い予想。 救いの手 さんの売買予想。 目標株価： 252円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,パイオニア,2013/05/30,23:14,買い予想,救いの手さん,51.71,225.0,-29.06,252,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2013/05/30 02:05
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「252円」を超えると割高圏内に入ります。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
",203.0,04月09日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\105.html
パイオニア(6773)の買い予想。 中日本ドアラーズ さんの売買予想。 目標株価： 310円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,パイオニア,2013/05/16,23:45,買い予想,中日本ドアラーズさん,208.14,262.0,-65.12,310,中期(数週間～数ヶ月),チャート,,203.0,04月09日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\106.html
パイオニア(6773)の買い予想。 sin**aka20*2 さんの売買予想。 目標株価： 354円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,パイオニア,2013/05/16,17:07,買い予想,sin**aka20*2さん,-10.27,262.0,-65.12,354,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,203.0,04月09日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\107.html
パイオニア(6773)の買い予想。 lulukitty さんの売買予想。 目標株価： 332円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対,パイオニア,2013/05/14,13:21,買い予想,lulukittyさん,-32.36,300.0,-92.89,332,中期(数週間～数ヶ月),その他,,203.0,04月09日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\108.html
パイオニア(6773)の買い予想。 県北ｽﾋﾟｶ さんの売買予想。 目標株価： 600円 期間： 短期(数分~数日) 理由： イベント(増資／合弁・買収／分割等) 増資で反転攻勢,パイオニア,2013/05/13,19:47,買い予想,県北ｽﾋﾟｶさん,-27.96,305.0,-96.02,600,短期(数分～数日),イベント(増資／合弁・買収／分割等),,203.0,04月09日,18:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\109.html
パイオニア(6773)の売り予想。 エグゼクティブ・まっち さんの売買予想。 目標株価： 165円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に反対,パイオニア,2016/12/31,21:06,売り予想,エグゼクティブ・まっちさん,-14.13,239.0,+41.64,165,長期(数ヶ月～数年),チャート,,203.0,04月09日,18:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6773-パイオニア/2017-04-09-18-56-07/comment\11.html
