0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"パナソニック(6752)の買い予想。 murassy さんの売買予想。 目標株価： 1,359円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 手堅い",パナソニック,2017/04/07,09:08,買い予想,murassyさん,-1.67,"1,252.0",+0.45,"1,359",中期(数週間～数ヶ月),個人投資家の予想,,"1,255.0",04月09日,16:51,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6752-パナソニック/2017-04-09-16-51-38/comment\1.html
"パナソニック(6752)の買い予想。 twitter88 さんの売買予想。 目標株価： 1,722円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価1,721円",パナソニック,2017/03/27,14:48,買い予想,twitter88さん,-0.95,"1,198.0",+13.29,"1,722",長期(数ヶ月～数年),チャート,,"1,255.0",04月09日,16:52,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6752-パナソニック/2017-04-09-16-51-38/comment\10.html
"パナソニック(6752)の買い予想。 いもうすと さんの売買予想。 目標株価： 1,005円 期間： 短期(数分~数日) 理由： 個人投資家の予想 買い予想 短期 目標株価1,000円",パナソニック,2016/04/05,23:19,買い予想,いもうすとさん,78.69,892.8,+115.04,"1,005",短期(数分～数日),個人投資家の予想,,"1,255.0",04月09日,16:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6752-パナソニック/2017-04-09-16-51-38/comment\100.html
"パナソニック(6752)の買い予想。 やま007 さんの売買予想。 目標株価： 1,328円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価1,328円",パナソニック,2016/04/05,12:32,買い予想,やま007さん,38.38,903.6,+110.26,"1,328",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,255.0",04月09日,16:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6752-パナソニック/2017-04-09-16-51-38/comment\101.html
"パナソニック(6752)の買い予想。 大なまず さんの売買予想。 目標株価： 1,256円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",パナソニック,2016/04/03,15:19,買い予想,大なまずさん,35.56,914.3,+105.65,"1,256",中期(数週間～数ヶ月),その他,,"1,255.0",04月09日,16:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6752-パナソニック/2017-04-09-16-51-38/comment\102.html
"パナソニック(6752)の買い予想。 香 さんの売買予想。 目標株価： 1,111円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い予想 短期 目標株価1,107円",パナソニック,2016/04/03,11:27,買い予想,香さん,62.47,914.3,+105.65,"1,111",短期(数分～数日),業績(会社計画の修正発表を含む),,"1,255.0",04月09日,16:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6752-パナソニック/2017-04-09-16-51-38/comment\103.html
パナソニック(6752)の買い予想。 himic さんの売買予想。 目標株価： 908円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成,パナソニック,2016/04/02,10:01,買い予想,himicさん,43.31,914.3,+105.65,908,長期(数ヶ月～数年),チャート,,"1,255.0",04月09日,16:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6752-パナソニック/2017-04-09-16-51-38/comment\104.html
"パナソニック(6752)の買い予想。 浜のカブちゃん さんの売買予想。 目標株価： 1,326円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",パナソニック,2016/03/28,22:32,買い予想,浜のカブちゃんさん,73.72,999.0,+72.58,"1,326",中期(数週間～数ヶ月),個人投資家の予想,,"1,255.0",04月09日,16:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6752-パナソニック/2017-04-09-16-51-38/comment\105.html
"パナソニック(6752)の買い予想。 nononn さんの売買予想。 目標株価： 1,200円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割安」に賛成",パナソニック,2016/03/16,16:33,買い予想,nononnさん,-40.76,"1,008.0",+69.39,"1,200",中期(数週間～数ヶ月),その他,"【株価分析結果】2016/03/16 03:22　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「1,320円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","1,255.0",04月09日,16:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6752-パナソニック/2017-04-09-16-51-38/comment\106.html
"パナソニック(6752)の買い予想。 生涯現役 さんの売買予想。 目標株価： 1,012円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 下げすぎ",パナソニック,2016/03/13,13:44,買い予想,生涯現役さん,79.35,997.8,+73.01,"1,011",短期(数分～数日),業績(会社計画の修正発表を含む),,"1,255.0",04月09日,16:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6752-パナソニック/2017-04-09-16-51-38/comment\107.html
