0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ファナック(6954)の買い予想。 twitter88 さんの売買予想。 目標株価： 29,401円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価29,390円",ファナック,2017/03/27,14:54,買い予想,twitter88さん,-0.95,"22,710.0",-0.76,"29,401",長期(数ヶ月～数年),チャート,,"22,650.0",04月09日,19:32,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6954-ファナック/2017-04-09-19-32-38/comment\1.html
"ファナック(6954)の買い予想。 minひぐまつだ さんの売買予想。 目標株価： 25,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ファナック,2017/01/08,13:47,買い予想,minひぐまつださん,5.41,"20,080.0",+72.76,"25,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2017/01/07 03:46
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較で割安と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「21,506円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","22,650.0",04月09日,19:33,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6954-ファナック/2017-04-09-19-32-38/comment\10.html
"ファナック(6954)の買い予想。 まーサン さんの売買予想。 目標株価： 12,751円 期間： 長期(数ヶ月～数年) 理由： チャート 個人投資家の意見「買い」に賛成",ファナック,2013/06/20,21:43,買い予想,まーサンさん,-9.08,"14,110.0",+172.08,"12,751",長期(数ヶ月～数年),チャート,,"22,650.0",04月09日,19:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6954-ファナック/2017-04-09-19-32-38/comment\100.html
"ファナック(6954)の売り予想。 rodent さんの売買予想。 目標株価： 13,890円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割高」に賛成",ファナック,2013/06/06,21:05,売り予想,rodentさん,-3.5,"14,240.0",-167.96,"13,890",中期(数週間～数ヶ月),チャート,"【株価分析結果】2013/06/06 02:08
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「13,629円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
","22,650.0",04月09日,19:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6954-ファナック/2017-04-09-19-32-38/comment\101.html
"ファナック(6954)の売り予想。 bondny2 さんの売買予想。 目標株価： 12,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 高いものは高い",ファナック,2013/05/07,12:41,売り予想,bondny2さん,85.5,"14,970.0",-145.90,"12,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"22,650.0",04月09日,19:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6954-ファナック/2017-04-09-19-32-38/comment\102.html
"ファナック(6954)の買い予想。 ﾕﾝﾕﾝ さんの売買予想。 目標株価： 16,000円 期間： 中期(数週間~数ヶ月) 理由： チャート かい",ファナック,2013/05/06,22:41,買い予想,ﾕﾝﾕﾝさん,64.7,"15,080.0",+142.72,"16,000",中期(数週間～数ヶ月),チャート,,"22,650.0",04月09日,19:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6954-ファナック/2017-04-09-19-32-38/comment\103.html
"ファナック(6954)の売り予想。 まきまきホールディングス さんの売買予想。 目標株価： 10,000円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に反対",ファナック,2013/04/26,15:59,売り予想,まきまきホールディングスさん,-151.46,"14,770.0",-151.72,"10,000",短期(数分～数日),業績(会社計画の修正発表を含む),おわた　　　でっすｗｗｗｗ,"22,650.0",04月09日,19:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6954-ファナック/2017-04-09-19-32-38/comment\104.html
"ファナック(6954)の買い予想。 parmaeda さんの売買予想。 目標株価： 19,604円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",ファナック,2013/04/21,17:35,買い予想,parmaedaさん,55.11,"15,330.0",+135.76,"19,604",中期(数週間～数ヶ月),チャート,,"22,650.0",04月09日,19:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6954-ファナック/2017-04-09-19-32-38/comment\105.html
"ファナック(6954)の買い予想。 orion７５８ さんの売買予想。 目標株価： 15,214円 期間： 長期(数ヶ月～数年) 理由： チャート 日本の技術力",ファナック,2013/04/01,03:34,買い予想,orion７５８さん,97.21,"14,420.0",+162.27,"15,214",長期(数ヶ月～数年),チャート,,"22,650.0",04月09日,19:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6954-ファナック/2017-04-09-19-32-38/comment\106.html
"ファナック(6954)の買い予想。 どらごんえんぺらｰ さんの売買予想。 目標株価： 15,378円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ファナック,2013/03/14,23:29,買い予想,どらごんえんぺらｰさん,199.72,"14,160.0",+170.47,"15,378",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2013/03/14 02:15
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「15,378円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPBRの変動幅が最も狭いことから純資産動向が投資判断で重視されている可能性があります。現状、PBRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","22,650.0",04月09日,19:36,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6954-ファナック/2017-04-09-19-32-38/comment\107.html
