0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ファーストリテイリング(9983)の買い予想。 翠鳥 さんの売買予想。 目標株価： 36,000円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) 今が買い時",ファーストリテイリング,2017/03/28,21:17,買い予想,翠鳥さん,-9.91,"34,770.0",+1.30,"36,000",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"34,940.0",04月10日,15:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9983-ファーストリテイリング/2017-04-10-15-09-02/comment\1.html
"ファーストリテイリング(9983)の売り予想。 kinta24h さんの売買予想。 目標株価： 30,138円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想 長期 目標株価29,748円",ファーストリテイリング,2017/01/29,20:47,売り予想,kinta24hさん,9.13,"36,500.0",+12.22,"30,138",長期(数ヶ月～数年),その他,,"34,950.0",04月10日,15:09,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9983-ファーストリテイリング/2017-04-10-15-09-02/comment\10.html
"ファーストリテイリング(9983)の買い予想。 本田圭介 さんの売買予想。 目標株価： 37,546円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",ファーストリテイリング,2014/06/11,14:36,買い予想,本田圭介さん,92.47,"34,215.0",+5.93,"37,546",長期(数ヶ月～数年),その他,,"34,940.0",04月10日,15:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9983-ファーストリテイリング/2017-04-10-15-09-02/comment\100.html
"ファーストリテイリング(9983)の買い予想。 うーーたん さんの売買予想。 目標株価： 38,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",ファーストリテイリング,2014/06/05,17:40,買い予想,うーーたんさん,95.77,"34,995.0",-0.53,"38,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"34,940.0",04月10日,15:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9983-ファーストリテイリング/2017-04-10-15-09-02/comment\101.html
"ファーストリテイリング(9983)の売り予想。 mikamotosase さんの売買予想。 目標株価： 33,358円 期間： 中期(数週間~数ヶ月) 理由： チャート 売り予想 中期 目標株価30,468円",ファーストリテイリング,2014/05/28,23:38,売り予想,mikamotosaseさん,-112.21,"33,600.0",-11.26,"33,358",中期(数週間～数ヶ月),チャート,,"34,940.0",04月10日,15:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9983-ファーストリテイリング/2017-04-10-15-09-02/comment\102.html
"ファーストリテイリング(9983)の買い予想。 BLACKSENSE さんの売買予想。 目標株価： 37,081円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",ファーストリテイリング,2014/04/19,08:56,買い予想,BLACKSENSEさん,-118.82,"33,825.0",+9.28,"37,081",中期(数週間～数ヶ月),チャート,金あれば買いたいw,"34,940.0",04月10日,15:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9983-ファーストリテイリング/2017-04-10-15-09-02/comment\103.html
"ファーストリテイリング(9983)の買い予想。 aoioi さんの売買予想。 目標株価： 34,721円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",ファーストリテイリング,2014/04/18,22:52,買い予想,aoioiさん,-8.06,"33,825.0",+9.28,"34,721",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"34,940.0",04月10日,15:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9983-ファーストリテイリング/2017-04-10-15-09-02/comment\104.html
"ファーストリテイリング(9983)の買い予想。 sinnji 41 さんの売買予想。 目標株価： 42,458円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「妥当圏内」に反対",ファーストリテイリング,2014/04/16,05:00,買い予想,sinnji 41さん,55.68,"32,920.0",+17.35,"42,458",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2014/04/16 02:39
　妥当圏内

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で妥当圏内と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「妥当圏内」と結論付けました。
　現在値から下落すれば割安圏内に、上昇すれば割高圏内となります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において妥当圏内と判断されますが、この結果は必ずしも今後の株価の維持を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で妥当圏内と判断されます。
","34,940.0",04月10日,15:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9983-ファーストリテイリング/2017-04-10-15-09-02/comment\105.html
"ファーストリテイリング(9983)の売り予想。 f－１５ さんの売買予想。 目標株価： 6,559円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「妥当圏内」に反対",ファーストリテイリング,2014/04/14,16:46,売り予想,f－１５さん,41.56,"33,205.0",-14.78,"6,559",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2014/04/12 02:45
　妥当圏内

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で妥当圏内と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「妥当圏内」と結論付けました。
　現在値から下落すれば割安圏内に、上昇すれば割高圏内となります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において妥当圏内と判断されますが、この結果は必ずしも今後の株価の維持を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で妥当圏内と判断されます。
","34,940.0",04月10日,15:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9983-ファーストリテイリング/2017-04-10-15-09-02/comment\106.html
"ファーストリテイリング(9983)の買い予想。 kikusuke さんの売買予想。 目標株価： 46,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",ファーストリテイリング,2014/04/13,18:59,買い予想,kikusukeさん,38.88,"33,120.0",+15.53,"46,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"34,940.0",04月10日,15:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9983-ファーストリテイリング/2017-04-10-15-09-02/comment\107.html
