0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
フジクラ(5803)の買い予想。 わーい さんの売買予想。 目標株価： 800円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,フジクラ,2017/04/05,13:00,買い予想,わーいさん,-0.31,783.0,+1.81,800,中期(数週間～数ヶ月),個人投資家の予想,,789.0,04月09日,12:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5803-フジクラ/2017-04-09-12-54-25/comment\1.html
フジクラ(5803)の買い予想。 twitter88 さんの売買予想。 目標株価： 845円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価845円,フジクラ,2016/12/22,02:09,買い予想,twitter88さん,-0.95,645.0,+63.04,845,長期(数ヶ月～数年),チャート,,789.0,04月09日,12:54,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5803-フジクラ/2017-04-09-12-54-25/comment\10.html
フジクラ(5803)の買い予想。 t-oku さんの売買予想。 目標株価： 720円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,フジクラ,2016/08/04,17:01,買い予想,t-okuさん,47.03,546.0,+126.03,720,中期(数週間～数ヶ月),個人投資家の予想,,789.0,04月09日,12:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5803-フジクラ/2017-04-09-12-54-25/comment\11.html
フジクラ(5803)の買い予想。 37 工事中 ! さんの売買予想。 目標株価： 603円 期間： 長期(数ヶ月～数年) 理由： その他 電線地中化関連,フジクラ,2016/07/31,08:23,買い予想,37 　 工事中 !さん,57.65,572.0,+107.38,603,長期(数ヶ月～数年),その他,,789.0,04月09日,12:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5803-フジクラ/2017-04-09-12-54-25/comment\12.html
フジクラ(5803)の買い予想。 VHS一号機 さんの売買予想。 目標株価： 602円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価598円 Age-Man化？,フジクラ,2016/07/29,09:30,買い予想,VHS一号機さん,137.03,575.0,+105.33,602,長期(数ヶ月～数年),その他,,789.0,04月09日,12:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5803-フジクラ/2017-04-09-12-54-25/comment\13.html
フジクラ(5803)の売り予想。 松岡政也 さんの売買予想。 目標株価： 340円 期間： 長期(数ヶ月～数年) 理由： その他 売り予想,フジクラ,2015/12/04,16:53,売り予想,松岡政也さん,-25.38,705.0,-34.28,340,長期(数ヶ月～数年),その他,"【株価分析結果】2015/12/04 01:26
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「586円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
",789.0,04月09日,12:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5803-フジクラ/2017-04-09-12-54-25/comment\14.html
フジクラ(5803)の買い予想。 pinksapphire さんの売買予想。 目標株価： 601円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,フジクラ,2015/10/09,21:21,買い予想,pinksapphireさん,40.24,562.0,+114.35,601,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/10/09 01:27
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「601円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

",789.0,04月09日,12:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5803-フジクラ/2017-04-09-12-54-25/comment\15.html
フジクラ(5803)の買い予想。 ぴかっと さんの売買予想。 目標株価： 595円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,フジクラ,2015/10/07,15:37,買い予想,ぴかっとさん,3.26,542.0,+129.06,595,短期(数分～数日),業績(会社計画の修正発表を含む),,789.0,04月09日,12:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5803-フジクラ/2017-04-09-12-54-25/comment\16.html
"フジクラ(5803)の買い予想。 jajaja さんの売買予想。 目標株価： 1,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 割安",フジクラ,2015/09/24,13:32,買い予想,jajajaさん,-15.12,537.0,+132.91,"1,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,789.0,04月09日,12:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5803-フジクラ/2017-04-09-12-54-25/comment\17.html
フジクラ(5803)の買い予想。 mg733 さんの売買予想。 目標株価： 729円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,フジクラ,2015/06/09,13:00,買い予想,mg733さん,8.07,708.0,+32.13,729,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/06/09 01:29
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「678円」を割ると割安圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPBRは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に純資産動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。
",789.0,04月09日,12:55,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5803-フジクラ/2017-04-09-12-54-25/comment\18.html
