概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ブリヂストン(5108)の売り予想。 徳川慶喜 さんの売買予想。 目標株価： 3,993円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に賛成",ブリヂストン,2017/04/01,11:02,売り予想,徳川慶喜さん,-2.73,"4,550.0",+3.81,"3,993",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2017/04/01 02:53　割高  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。　但し、この銘柄の株価が「3,993円」を割ると割安圏内に入ります。　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。投資判断においては、純資産関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より高い為、過去比較の観点からは割高と判断されます。【相対比較】　一方、この銘柄のPBRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に純資産動向が比較されている可能性があります。　結果、現在、この銘柄のPBRは同一業種分類の平均値よりも高い為、相対比較の観点からは割高と判断されます。","4,488.0",04月09日,02:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5108-ブリヂストン/2017-04-09-02-43-07/comment\1.html
"ブリヂストン(5108)の買い予想。 自来也527 さんの売買予想。 目標株価： 4,561円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) なし",ブリヂストン,2017/02/01,13:37,買い予想,自来也527さん,24.05,"4,150.0",+23.09,"4,560",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),特になし。,"4,488.0",04月09日,02:43,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5108-ブリヂストン/2017-04-09-02-43-07/comment\10.html
"ブリヂストン(5108)の買い予想。 WABU さんの売買予想。 目標株価： 3,600円 期間： 中期(数週間~数ヶ月) 理由： 配当(株主優待を含む) 株価診断結果「割高」に反対",ブリヂストン,2013/06/15,19:45,買い予想,WABUさん,276.1,"3,030.0",+273.47,"3,600",中期(数週間～数ヶ月),配当(株主優待を含む),"【株価分析結果】2013/06/15 01:50

割安

ＰＥＲの値が低い事。　世界経済、特に米国の経済が堅調で同社の米国での業績ＵＰが期待できる。　又利回りは一株辺りの配当が５４円／年に変更になった為、配当利回りは１．８％となりメリット大。　中間配当が６／２６保有で確定であるので今がチャンス。","4,488.0",04月09日,02:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5108-ブリヂストン/2017-04-09-02-43-07/comment\100.html
"ブリヂストン(5108)の売り予想。 きかん坊将軍！！ さんの売買予想。 目標株価： 2,000円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) しゃりあ",ブリヂストン,2013/06/14,00:48,売り予想,きかん坊将軍！！さん,-13.3,"3,075.0",-130.75,"2,000",中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,"4,488.0",04月09日,02:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5108-ブリヂストン/2017-04-09-02-43-07/comment\101.html
"ブリヂストン(5108)の売り予想。 是川 ﾊﾞﾌｪｯﾄ さんの売買予想。 目標株価： 3,305円 期間： 中期(数週間~数ヶ月) 理由： その他 円高進行中",ブリヂストン,2013/06/07,03:48,売り予想,是川 ﾊﾞﾌｪｯﾄさん,-41.66,"3,115.0",-125.42,"3,305",中期(数週間～数ヶ月),その他,全体の流れ,"4,488.0",04月09日,02:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5108-ブリヂストン/2017-04-09-02-43-07/comment\102.html
"ブリヂストン(5108)の買い予想。 ジョビン さんの売買予想。 目標株価： 3,700円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",ブリヂストン,2013/05/29,01:45,買い予想,ジョビンさん,44.25,"3,540.0",+76.07,"3,700",短期(数分～数日),業績(会社計画の修正発表を含む),,"4,488.0",04月09日,02:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5108-ブリヂストン/2017-04-09-02-43-07/comment\103.html
"ブリヂストン(5108)の買い予想。 ストロンボリ さんの売買予想。 目標株価： 4,000円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い",ブリヂストン,2013/05/26,12:43,買い予想,ストロンボリさん,92.5,"3,400.0",+90.91,"4,000",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"4,488.0",04月09日,02:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5108-ブリヂストン/2017-04-09-02-43-07/comment\104.html
"ブリヂストン(5108)の買い予想。 蛇阿斗久 さんの売買予想。 目標株価： 3,820円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",ブリヂストン,2013/05/09,22:48,買い予想,蛇阿斗久さん,66.55,"3,520.0",+78.11,"3,820",中期(数週間～数ヶ月),チャート,この価格ならお買い得だと思います。,"4,488.0",04月09日,02:46,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5108-ブリヂストン/2017-04-09-02-43-07/comment\105.html
"ブリヂストン(5108)の買い予想。 荒★☆ さんの売買予想。 目標株価： 3,822円 期間： 中期(数週間~数ヶ月) 理由： その他 また円安にされるのにいつ買うの？｢今でしょ！｣",ブリヂストン,2013/05/09,18:45,買い予想,荒★☆さん,228.67,"3,520.0",+78.11,"3,822",中期(数週間～数ヶ月),その他,"超円安やアベノミクスによる物価上昇にこのチャートを照らし合わせると？・・・
物が高くなってのこのチャートなら割安と見る。
また世界シェアー誇るタイヤメーカーとしても注目株で
新商品開発の簡単に磨り減ったところだけ？張替えできるタイヤのアイデアなどは
前向きに将来のエコ自動車時代を見据えていると思える。
また、タイヤの年費性能もいいよね～(だが私はグッドイヤー派w)

株的にはムーディーズの格付けがA3というのも　まあまあな感想。
来年の決算は楽しみだと思う♪(楽観)
あとは・・・株主優待がつけばいいのになぁ～　","4,488.0",04月09日,02:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5108-ブリヂストン/2017-04-09-02-43-07/comment\106.html
"ブリヂストン(5108)の買い予想。 ﾕﾝﾕﾝ さんの売買予想。 目標株価： 4,200円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) かい",ブリヂストン,2013/05/04,07:00,買い予想,ﾕﾝﾕﾝさん,64.7,"3,660.0",+64.25,"4,200",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"4,488.0",04月09日,02:47,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/5108-ブリヂストン/2017-04-09-02-43-07/comment\107.html
