概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"マツダ(7261)の買い予想。 キノッピ さんの売買予想。 目標株価： 1,752円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",マツダ,2017/04/08,02:37,買い予想,キノッピさん,-9.5,成り行き ,,"1,752",中期(数週間～数ヶ月),個人投資家の予想,,"1,502.0",04月09日,23:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7261-マツダ/2017-04-09-23-38-42/comment\1.html
"マツダ(7261)の買い予想。 カリーノ さんの売買予想。 目標株価： 1,819円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「買い」に賛成",マツダ,2017/03/16,23:29,買い予想,カリーノさん,0.55,"1,635.0",-23.30,"1,819",中期(数週間～数ヶ月),その他,,"1,502.0",04月09日,23:39,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7261-マツダ/2017-04-09-23-38-42/comment\10.html
"マツダ(7261)の買い予想。 ly3pmpv さんの売買予想。 目標株価： 1,995円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割安」に賛成",マツダ,2016/02/15,12:02,買い予想,ly3pmpvさん,51.03,"1,574.0",-13.18,"1,995",中期(数週間～数ヶ月),チャート,"【株価分析結果】2016/02/13 03:30　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「2,356円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。","1,502.0",04月09日,23:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7261-マツダ/2017-04-09-23-38-42/comment\100.html
"マツダ(7261)の買い予想。 Sakamaki さんの売買予想。 目標株価： 2,476円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成",マツダ,2016/02/05,13:22,買い予想,Sakamakiさん,-73.49,"1,817.0",-49.45,"2,476",中期(数週間～数ヶ月),チャート,,"1,502.0",04月09日,23:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7261-マツダ/2017-04-09-23-38-42/comment\101.html
"マツダ(7261)の買い予想。 normal-user さんの売買予想。 目標株価： 2,500円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価2,500円",マツダ,2016/02/01,06:06,買い予想,normal-userさん,-25.18,"2,262.0",-95.66,"2,500",短期(数分～数日),チャート,,"1,502.0",04月09日,23:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7261-マツダ/2017-04-09-23-38-42/comment\102.html
"マツダ(7261)の買い予想。 32penguin さんの売買予想。 目標株価： 3,073円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割安」に賛成",マツダ,2016/01/31,20:17,買い予想,32penguinさん,-16.54,"2,262.0",-95.66,"3,073",中期(数週間～数ヶ月),個人投資家の予想,"【株価分析結果】2016/01/30 01:39
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「3,073円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","1,502.0",04月09日,23:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7261-マツダ/2017-04-09-23-38-42/comment\103.html
"マツダ(7261)の買い予想。 taikoboo さんの売買予想。 目標株価： 2,500円 期間： 中期(数週間~数ヶ月) 理由： その他 為替リスクが改善され買い",マツダ,2016/01/30,11:15,買い予想,taikobooさん,-37.35,"2,262.0",-191.33,"2,500",中期(数週間～数ヶ月),その他,日銀追加緩和、販売台数良好、生産の分散化、トヨタとの連携などで、構造的な改善が見込まれるはず。,"1,502.0",04月09日,23:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7261-マツダ/2017-04-09-23-38-42/comment\104.html
"マツダ(7261)の買い予想。 ケプリン さんの売買予想。 目標株価： 2,380円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い予想 中期 目標株価2,359円",マツダ,2016/01/30,11:01,買い予想,ケプリンさん,-19.53,"2,262.0",-95.66,"2,380",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,502.0",04月09日,23:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7261-マツダ/2017-04-09-23-38-42/comment\105.html
"マツダ(7261)の買い予想。 koichansan さんの売買予想。 目標株価： 2,424円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",マツダ,2016/01/27,22:50,買い予想,koichansanさん,58.8,"2,010.0",-72.00,"2,424",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2016/01/27 01:38　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「2,786円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。","1,502.0",04月09日,23:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7261-マツダ/2017-04-09-23-38-42/comment\106.html
"マツダ(7261)の買い予想。 楽天家２１０ さんの売買予想。 目標株価： 2,858円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",マツダ,2016/01/25,16:55,買い予想,楽天家２１０さん,-36.63,"1,981.5",-68.95,"2,858",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2016/01/23 01:40
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「2,858円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。
","1,502.0",04月09日,23:42,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7261-マツダ/2017-04-09-23-38-42/comment\107.html
