0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"マルハニチロ(1333)の売り予想。 リサ・ランドール さんの売買予想。 目標株価： 3,352円 期間： 長期(数ヶ月～数年) 理由： その他 買い予想 長期 目標株価3,425円",マルハニチロ,2017/04/03,16:44,売り予想,リサ・ランドールさん,137.27,"3,380.0",+9.17,"3,352",長期(数ヶ月～数年),その他,,"3,270.0",04月08日,17:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1333-マルハニチロ/2017-04-08-17-02-26/comment\1.html
"マルハニチロ(1333)の売り予想。 bakadon さんの売買予想。 目標株価： 2,500円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 ヨーロッパ発全世界株安に",マルハニチロ,2016/06/16,15:18,売り予想,bakadonさん,910.3,"2,736.0",-111.20,"2,500",中期(数週間～数ヶ月),個人投資家の予想,,"3,270.0",04月08日,17:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1333-マルハニチロ/2017-04-08-17-02-26/comment\10.html
"マルハニチロ(1333)の買い予想。 akkyie さんの売買予想。 目標株価： 2,782円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「売り」に反対",マルハニチロ,2016/04/21,16:03,買い予想,akkyieさん,105.75,"2,434.0",+97.55,"2,782",短期(数分～数日),チャート,,"3,270.0",04月08日,17:02,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1333-マルハニチロ/2017-04-08-17-02-26/comment\11.html
"マルハニチロ(1333)の買い予想。 masahira さんの売買予想。 目標株価： 3,200円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 増益44％",マルハニチロ,2016/04/21,09:06,買い予想,masahiraさん,137.88,"2,485.0",+89.71,"3,200",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"3,270.0",04月08日,17:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1333-マルハニチロ/2017-04-08-17-02-26/comment\12.html
"マルハニチロ(1333)の買い予想。 短期決戦 さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) 理由： チャート おお、高値更新！",マルハニチロ,2016/04/16,12:36,買い予想,短期決戦さん,131.46,"2,367.0",+108.36,"3,000",中期(数週間～数ヶ月),チャート,,"3,270.0",04月08日,17:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1333-マルハニチロ/2017-04-08-17-02-26/comment\13.html
"マルハニチロ(1333)の買い予想。 ひまりのじいちゃん さんの売買予想。 目標株価： 2,512円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 個人投資家の意見「売り」に反対",マルハニチロ,2016/03/01,16:56,買い予想,ひまりのじいちゃんさん,52.83,"2,305.0",+118.92,"2,512",中期(数週間～数ヶ月),個人投資家の予想,,"3,270.0",04月08日,17:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1333-マルハニチロ/2017-04-08-17-02-26/comment\14.html
"マルハニチロ(1333)の買い予想。 piron-@ さんの売買予想。 目標株価： 2,526円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 短期 目標株価2,600円",マルハニチロ,2016/02/07,23:20,買い予想,piron-@さん,30.0,"2,219.0",+134.55,"2,526",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"3,270.0",04月08日,17:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1333-マルハニチロ/2017-04-08-17-02-26/comment\15.html
"マルハニチロ(1333)の売り予想。 kan*aki*2*1 さんの売買予想。 目標株価： 2,185円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に賛成",マルハニチロ,2016/02/01,20:39,売り予想,kan*aki*2*1さん,-126.02,"2,270.0",-125.39,"2,185",中期(数週間～数ヶ月),チャート,,"3,270.0",04月08日,17:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1333-マルハニチロ/2017-04-08-17-02-26/comment\16.html
"マルハニチロ(1333)の買い予想。 小桜インコ さんの売買予想。 目標株価： 2,240円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対",マルハニチロ,2016/01/04,23:35,買い予想,小桜インコさん,46.98,"2,050.0",+169.09,"2,239",中期(数週間～数ヶ月),その他,,"3,270.0",04月08日,17:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1333-マルハニチロ/2017-04-08-17-02-26/comment\17.html
マルハニチロ(1333)の売り予想。 松岡政也 さんの売買予想。 目標株価： 859円 期間： 長期(数ヶ月～数年) 理由： その他 米国利上げによる脆弱な新興国打撃 amp;安倍さん失敗する可能性が…,マルハニチロ,2015/10/24,17:53,売り予想,松岡政也さん,-25.38,"1,835.0",-222.52,859,長期(数ヶ月～数年),その他,,"3,270.0",04月08日,17:03,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/1333-マルハニチロ/2017-04-08-17-02-26/comment\18.html
