概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"ミネベアミツミ(6479)の買い予想。 優々株 さんの売買予想。 目標株価： 1,665円 期間： 短期(数分~数日) 理由： その他 買い予想 短期 目標株価1,665円",ミネベア,2017/04/07,09:14,買い予想,優々株さん,1.58,"1,478.0",+0.76,"1,665",短期(数分～数日),その他,,"1,483.0",04月09日,14:12,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6479-ミネベア/2017-04-09-14-12-37/comment\1.html
"ミネベアミツミ(6479)の買い予想。 Newジェントルマン さんの売買予想。 目標株価： 1,828円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価1,828円",ミネベア,2017/02/24,11:46,買い予想,Newジェントルマンさん,-5.41,"1,392.0",+18.38,"1,828",中期(数週間～数ヶ月),その他,,"1,483.0",04月09日,14:13,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6479-ミネベア/2017-04-09-14-12-37/comment\10.html
ミネベアミツミ(6479)の買い予想。 ぽこにゅあん さんの売買予想。 目標株価： 300円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 底値からの反転開始,ミネベア,2011/10/08,20:18,買い予想,ぽこにゅあんさん,154.07,263.0,"+1,318.00",300,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"1,483.0",04月09日,14:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6479-ミネベア/2017-04-09-14-12-37/comment\100.html
ミネベアミツミ(6479)の買い予想。 birdie1 さんの売買予想。 目標株価： 327円 期間： 長期(数ヶ月～数年) 理由： その他 買います,ミネベア,2011/10/03,10:27,買い予想,birdie1さん,622.11,249.0,"+1,408.09",327,長期(数ヶ月～数年),その他,下げ過ぎかと。,"1,483.0",04月09日,14:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6479-ミネベア/2017-04-09-14-12-37/comment\101.html
ミネベアミツミ(6479)の買い予想。 AAI Fund さんの売買予想。 目標株価： 270円 期間： 長期(数ヶ月～数年) 理由： チャート kai,ミネベア,2011/09/30,15:25,買い予想,AAI Fundさん,594.97,255.0,"+1,368.27",270,長期(数ヶ月～数年),チャート,,"1,483.0",04月09日,14:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6479-ミネベア/2017-04-09-14-12-37/comment\102.html
ミネベアミツミ(6479)の買い予想。 yoc1234 さんの売買予想。 目標株価： 444円 期間： 中期(数週間~数ヶ月) 理由： その他 個人投資家の意見「売り」に反対,ミネベア,2011/09/07,09:44,買い予想,yoc1234さん,458.15,295.0,"+1,144.18",444,中期(数週間～数ヶ月),その他,,"1,483.0",04月09日,14:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6479-ミネベア/2017-04-09-14-12-37/comment\103.html
ミネベアミツミ(6479)の買い予想。 jaian999 さんの売買予想。 目標株価： 500円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,ミネベア,2011/08/29,23:18,買い予想,jaian999さん,397.14,317.0,"+1,045.04",500,中期(数週間～数ヶ月),チャート,,"1,483.0",04月09日,14:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6479-ミネベア/2017-04-09-14-12-37/comment\104.html
ミネベアミツミ(6479)の買い予想。 seasonspage さんの売買予想。 目標株価： 309円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「売り」に反対,ミネベア,2011/08/20,21:21,買い予想,seasonspageさん,346.4,301.0,"+1,115.71",309,短期(数分～数日),チャート,検証中,"1,483.0",04月09日,14:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6479-ミネベア/2017-04-09-14-12-37/comment\105.html
ミネベアミツミ(6479)の買い予想。 ごんた2 さんの売買予想。 目標株価： 434円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,ミネベア,2011/08/16,23:07,買い予想,ごんた2さん,617.59,333.0,+981.17,434,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/08/16 03:47
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「436円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一業種分類の平均値よりも低い為、相対比較の観点からは割安と判断されます。

","1,483.0",04月09日,14:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6479-ミネベア/2017-04-09-14-12-37/comment\106.html
ミネベアミツミ(6479)の買い予想。 nmamo さんの売買予想。 目標株価： 640円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対,ミネベア,2011/06/30,19:27,買い予想,nmamoさん,237.7,434.0,+686.65,640,中期(数週間～数ヶ月),チャート,,"1,483.0",04月09日,14:16,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/6479-ミネベア/2017-04-09-14-12-37/comment\107.html
