0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ヤフー(4689)の買い予想。 ヒナボ さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： その他 来る,ヤフー,2017/04/05,10:05,買い予想,ヒナボさん,-3.88,521.0,-2.18,600,中期(数週間～数ヶ月),その他,,518.0,04月09日,00:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4689-ヤフー/2017-04-09-00-56-06/comment\1.html
ヤフー(4689)の買い予想。 aloegel さんの売買予想。 目標株価： 606円 期間： 中期(数週間~数ヶ月) 理由： その他 買い予想 中期 目標株価606円,ヤフー,2017/03/03,21:25,買い予想,aloegelさん,-7.55,528.0,-5.92,606,中期(数週間～数ヶ月),その他,,518.0,04月09日,00:56,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4689-ヤフー/2017-04-09-00-56-06/comment\10.html
ヤフー(4689)の買い予想。 shin-88 さんの売買予想。 目標株価： 601円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,ヤフー,2015/07/30,19:31,買い予想,shin-88さん,-44.81,547.0,-15.59,601,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),【株価分析結果】2015/07/30 01:23　割安  【総論】　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。　但し、この銘柄の株価が「544円」を超えると割高圏内に入ります。　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。【過去比較】　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。【相対比較】　一方、この銘柄のPERは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に利益動向が比較されている可能性があります。　結果、現在、この銘柄のPERは類似時価総額の平均値よりも低い為、相対比較の観点からは割安と判断されます。,518.0,04月09日,00:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4689-ヤフー/2017-04-09-00-56-06/comment\100.html
ヤフー(4689)の買い予想。 nir さんの売買予想。 目標株価： 544円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,ヤフー,2015/07/30,13:42,買い予想,nirさん,5.6,507.0,+5.60,544,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/07/30 01:23
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「544円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは類似時価総額の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",518.0,04月09日,00:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4689-ヤフー/2017-04-09-00-56-06/comment\101.html
ヤフー(4689)の買い予想。 ryu126 さんの売買予想。 目標株価： 600円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成,ヤフー,2015/07/10,21:19,買い予想,ryu126さん,-62.95,475.0,+25.14,600,短期(数分～数日),個人投資家の予想,,518.0,04月09日,00:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4689-ヤフー/2017-04-09-00-56-06/comment\102.html
ヤフー(4689)の買い予想。 そーたuu さんの売買予想。 目標株価： 600円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 買い,ヤフー,2015/07/06,18:04,買い予想,そーたuuさん,-15.89,494.0,+13.23,600,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,518.0,04月09日,00:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4689-ヤフー/2017-04-09-00-56-06/comment\103.html
ヤフー(4689)の買い予想。 vmv999 さんの売買予想。 目標株価： 540円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,ヤフー,2015/07/01,12:49,買い予想,vmv999さん,-6.62,491.0,+15.05,540,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2015/07/01 01:25
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「532円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPERの変動幅が最も狭いことから利益動向が投資判断で重視されている可能性があります。現状、PERは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは類似時価総額銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では類似時価総額を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは類似時価総額の平均値よりも低い為、相対比較の観点からは割安と判断されます。

",518.0,04月09日,00:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4689-ヤフー/2017-04-09-00-56-06/comment\104.html
ヤフー(4689)の買い予想。 カブコロッケ さんの売買予想。 目標株価： 583円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価583円,ヤフー,2015/06/25,21:15,買い予想,カブコロッケさん,-21.16,511.0,+3.33,583,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,518.0,04月09日,00:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4689-ヤフー/2017-04-09-00-56-06/comment\105.html
ヤフー(4689)の買い予想。 マイため さんの売買予想。 目標株価： 529円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「買い」に賛成,ヤフー,2015/06/25,18:43,買い予想,マイためさん,110.5,511.0,+3.33,529,中期(数週間～数ヶ月),チャート,,518.0,04月09日,00:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4689-ヤフー/2017-04-09-00-56-06/comment\106.html
ヤフー(4689)の買い予想。 まあ～ちゃん さんの売買予想。 目標株価： 563円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,ヤフー,2015/06/17,17:37,買い予想,まあ～ちゃんさん,43.07,508.0,+5.03,563,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,518.0,04月09日,00:59,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/4689-ヤフー/2017-04-09-00-56-06/comment\107.html
