0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ヤマトホールディングス(9064)の買い予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 2,600円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･騰がりそう☆",ヤマトホールディングス,2017/04/07,17:50,買い予想,ひとみん｡｡☆さん,0.86,"2,363.5",-3.91,"2,600",中期(数週間～数ヶ月),チャート,,"2,323.0",04月10日,11:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9064-ヤマトホールディングス/2017-04-10-11-15-20/comment\1.html
"ヤマトホールディングス(9064)の買い予想。 doutakudouhoko1512 さんの売買予想。 目標株価： 2,494円 期間： 短期(数分~数日) 理由： 個人投資家の予想 個人投資家の意見「買い」に賛成",ヤマトホールディングス,2017/02/25,23:16,買い予想,doutakudouhoko1512さん,-11.69,"2,477.0",-16.76,"2,493",短期(数分～数日),個人投資家の予想,,"2,323.0",04月10日,11:15,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9064-ヤマトホールディングス/2017-04-10-11-15-20/comment\10.html
"ヤマトホールディングス(9064)の買い予想。 pip*map* さんの売買予想。 目標株価： 1,255円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ヤマトホールディングス,2010/09/29,19:58,買い予想,pip*map*さん,254.33,"1,036.0",+355.45,"1,255",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"
割安

ゆうパックの敵失に支えられ大躍進　","2,323.0",04月10日,11:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9064-ヤマトホールディングス/2017-04-10-11-15-20/comment\100.html
"ヤマトホールディングス(9064)の買い予想。 けんじゅ さんの売買予想。 目標株価： 1,200円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ヤマトホールディングス,2010/08/13,11:52,買い予想,けんじゅさん,853.95,"1,051.0",+692.63,"1,200",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/08/13 03:35
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,105円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","2,323.0",04月10日,11:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9064-ヤマトホールディングス/2017-04-10-11-15-20/comment\101.html
"ヤマトホールディングス(9064)の買い予想。 yottsu さんの売買予想。 目標株価： 1,122円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ヤマトホールディングス,2010/08/11,19:31,買い予想,yottsuさん,391.6,"1,035.0",+356.06,"1,122",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),"【株価分析結果】2010/08/11 03:34
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,122円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。

","2,323.0",04月10日,11:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9064-ヤマトホールディングス/2017-04-10-11-15-20/comment\102.html
"ヤマトホールディングス(9064)の買い予想。 mikisukidayo さんの売買予想。 目標株価： 3,000円 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ヤマトホールディングス,2010/08/04,23:43,買い予想,mikisukidayoさん,342.4,"1,068.0",+336.27,"3,000",,業績(会社計画の修正発表を含む),"【株価分析結果】2010/08/04 03:37
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,195円」を超えると割高圏内に入ります。なお、この銘柄は相対比較においてプレミアム評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄の配当利回りは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に株主還元策が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。","2,323.0",04月10日,11:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9064-ヤマトホールディングス/2017-04-10-11-15-20/comment\103.html
"ヤマトホールディングス(9064)の買い予想。 an11 さんの売買予想。 目標株価： 2,655円 期間： 中期(数週間~数ヶ月) 個人投資家の意見「売り」に反対",ヤマトホールディングス,2010/07/05,09:32,買い予想,an11さん,723.65,"1,145.0",+294.54,"2,655",中期(数週間～数ヶ月),,,"2,323.0",04月10日,11:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9064-ヤマトホールディングス/2017-04-10-11-15-20/comment\104.html
"ヤマトホールディングス(9064)の買い予想。 mez*k*m さんの売買予想。 目標株価： 1,560円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",ヤマトホールディングス,2010/06/21,14:32,買い予想,mez*k*mさん,327.5,"1,284.0",+231.87,"1,560",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,"2,323.0",04月10日,11:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9064-ヤマトホールディングス/2017-04-10-11-15-20/comment\105.html
"ヤマトホールディングス(9064)の買い予想。 堕落汚バマ さんの売買予想。 目標株価： 1,400円 期間： 中期(数週間~数ヶ月) 理由： その他 0",ヤマトホールディングス,2010/05/21,13:45,買い予想,堕落汚バマさん,327.04,"1,199.0",+268.47,"1,400",中期(数週間～数ヶ月),その他,0,"2,323.0",04月10日,11:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9064-ヤマトホールディングス/2017-04-10-11-15-20/comment\106.html
"ヤマトホールディングス(9064)の買い予想。 とかめ さんの売買予想。 目標株価： 1,518円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成",ヤマトホールディングス,2010/05/02,11:45,買い予想,とかめさん,195.47,"1,291.0",+458.14,"1,518",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,323.0",04月10日,11:18,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/9064-ヤマトホールディングス/2017-04-10-11-15-20/comment\107.html
