0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ヤマハ発動機(7272)の買い予想。 おだちやん さんの売買予想。 目標株価： 2,722円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 会社の業績",ヤマハ発動機,2017/03/29,10:38,買い予想,おだちやんさん,-8.28,"2,690.0",-17.65,"2,722",中期(数週間～数ヶ月),個人投資家の予想,,"2,524.0",04月10日,00:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7272-ヤマハ発動機/2017-04-10-00-48-57/comment\1.html
"ヤマハ発動機(7272)の売り予想。 kensyaku さんの売買予想。 目標株価： 2,038円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 売り予想 短期 目標株価2,020円",ヤマハ発動機,2016/10/21,13:48,売り予想,kensyakuさん,5.26,"2,242.0",-35.89,"2,038",短期(数分～数日),業績(会社計画の修正発表を含む),,"2,524.0",04月10日,00:49,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7272-ヤマハ発動機/2017-04-10-00-48-57/comment\10.html
"ヤマハ発動機(7272)の買い予想。 ファミリア、マクハリ さんの売買予想。 目標株価： 1,167円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ヤマハ発動機,2012/09/04,08:57,買い予想,ファミリア、マクハリさん,148.36,668.0,+789.65,"1,167",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/09/04 02:22
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,167円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","2,524.0",04月10日,00:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7272-ヤマハ発動機/2017-04-10-00-48-57/comment\100.html
"ヤマハ発動機(7272)の買い予想。 あきらんぽ さんの売買予想。 目標株価： 1,204円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ヤマハ発動機,2012/08/20,00:56,買い予想,あきらんぽさん,248.53,775.0,+641.36,"1,204",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/08/18 02:23
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,204円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","2,524.0",04月10日,00:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7272-ヤマハ発動機/2017-04-10-00-48-57/comment\101.html
"ヤマハ発動機(7272)の買い予想。 レクサス さんの売買予想。 目標株価： 1,204円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",ヤマハ発動機,2012/08/19,00:35,買い予想,レクサスさん,154.68,775.0,+641.36,"1,204",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2012/08/18 02:23
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,204円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","2,524.0",04月10日,00:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7272-ヤマハ発動機/2017-04-10-00-48-57/comment\102.html
ヤマハ発動機(7272)の買い予想。 (*´ω`*) さんの売買予想。 目標株価： 779円 期間： 短期(数分~数日) 理由： チャート rank,ヤマハ発動機,2012/08/18,22:19,買い予想,,268.22,775.0,+641.36,779,短期(数分～数日),チャート,,"2,524.0",04月10日,00:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7272-ヤマハ発動機/2017-04-10-00-48-57/comment\103.html
"ヤマハ発動機(7272)の買い予想。 kisetohiden さんの売買予想。 目標株価： 1,140円 期間： 中期(数週間~数ヶ月) 理由： チャート 株価診断結果「割安」に賛成",ヤマハ発動機,2012/08/18,21:24,買い予想,kisetohidenさん,115.86,775.0,+641.36,"1,140",中期(数週間～数ヶ月),チャート,"【株価分析結果】2012/08/18 02:23
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較でも割安と判断されます。結果、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,204円」を超えると割高圏内に入ります。なお、この銘柄は相対比較において割引評価される傾向にあり、理論株価はその点を考慮して算出されております。加えて、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には下値リスクの軽減から買い圧力が高まる可能性があります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より低い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPSRは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に売上動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割安と判断されます。
","2,524.0",04月10日,00:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7272-ヤマハ発動機/2017-04-10-00-48-57/comment\104.html
ヤマハ発動機(7272)の買い予想。 【ランキング１位】神様【５冠王】 さんの売買予想。 目標株価： 646円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「売り」に反対,ヤマハ発動機,2012/08/04,02:46,買い予想,【ランキング１位】神様【５冠王】さん,591.12,645.0,+827.95,646,長期(数ヶ月～数年),その他,,"2,524.0",04月10日,00:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7272-ヤマハ発動機/2017-04-10-00-48-57/comment\105.html
ヤマハ発動機(7272)の買い予想。 moko♡ さんの売買予想。 目標株価： 659円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い♡,ヤマハ発動機,2012/08/03,22:45,買い予想,moko♡さん,338.94,645.0,+827.95,659,中期(数週間～数ヶ月),チャート,"全銘柄分析中で～す♡ 

ヨコヨコだね 
　(＊^_-＊)~♡ 
","2,524.0",04月10日,00:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7272-ヤマハ発動機/2017-04-10-00-48-57/comment\106.html
ヤマハ発動機(7272)の買い予想。 アジア さんの売買予想。 目標株価： 655円 期間： 中期(数週間~数ヶ月) 理由： その他 k,ヤマハ発動機,2012/07/27,01:56,買い予想,アジアさん,609.13,646.0,+826.22,655,中期(数週間～数ヶ月),その他,,"2,524.0",04月10日,00:53,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7272-ヤマハ発動機/2017-04-10-00-48-57/comment\107.html
