概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
ユニチカ(3103)の売り予想。 kouboudaisi さんの売買予想。 目標株価： 80円 期間： 中期(数週間~数ヶ月) 理由： 個人投資家の予想 株価診断結果「割高」に賛成,ユニチカ,2017/03/07,22:56,売り予想,kouboudaisiさん,12.36,102.0,+30.66,80,中期(数週間～数ヶ月),個人投資家の予想,,90.0,04月08日,21:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3103-ユニチカ/2017-04-08-21-07-57/comment\1.html
ユニチカ(3103)の買い予想。 musashiXP さんの売買予想。 目標株価： 90円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「買い」に賛成,ユニチカ,2016/10/03,14:46,買い予想,musashiXPさん,4.55,58.0,+151.98,90,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,90.0,04月08日,21:08,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3103-ユニチカ/2017-04-08-21-07-57/comment\10.html
ユニチカ(3103)の買い予想。 ジャックブルー さんの売買予想。 目標株価： 70円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想！,ユニチカ,2012/05/22,23:51,買い予想,ジャックブルーさん,630.31,41.0,+332.90,70,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),業績期待！買い予想！,90.0,04月08日,21:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3103-ユニチカ/2017-04-08-21-07-57/comment\100.html
ユニチカ(3103)の買い予想。 I SAY企画プロダクション さんの売買予想。 目標株価： 50円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) アパレル,ユニチカ,2012/03/28,10:43,買い予想,I SAY企画プロダクションさん,233.27,54.0,+184.30,50,中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),"私の研究している、蘇生細胞の成果をユニチカで成果を出そうと思う
研究は進んで成果は出てるので後は商品開発のプレゼンをするだけです。
長期間と初めから意見してますので今更ですが意見しておきます。
長期間で考えて下さい。",90.0,04月08日,21:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3103-ユニチカ/2017-04-08-21-07-57/comment\101.html
ユニチカ(3103)の買い予想。 蓬 さんの売買予想。 目標株価： 60円 期間： 長期(数ヶ月～数年) 理由： その他 買い,ユニチカ,2012/03/27,22:33,買い予想,蓬さん,182.63,54.0,+184.30,60,長期(数ヶ月～数年),その他,,90.0,04月08日,21:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3103-ユニチカ/2017-04-08-21-07-57/comment\102.html
ユニチカ(3103)の買い予想。 quinty さんの売買予想。 目標株価： 76円 期間： 中期(数週間~数ヶ月) 理由： チャート 個人投資家の意見「売り」に反対,ユニチカ,2012/02/10,09:57,買い予想,quintyさん,257.81,52.0,+202.33,76,中期(数週間～数ヶ月),チャート,,90.0,04月08日,21:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3103-ユニチカ/2017-04-08-21-07-57/comment\103.html
ユニチカ(3103)の買い予想。 そｰせｰじ さんの売買予想。 目標株価： 47円 期間： 中期(数週間~数ヶ月) 理由： その他 かい,ユニチカ,2012/02/02,19:04,買い予想,そｰせｰじさん,263.37,46.0,+265.81,47,中期(数週間～数ヶ月),その他,,90.0,04月08日,21:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3103-ユニチカ/2017-04-08-21-07-57/comment\104.html
ユニチカ(3103)の買い予想。 sanchome0512 さんの売買予想。 目標株価： 45円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成,ユニチカ,2012/01/10,21:00,買い予想,sanchome0512さん,352.89,42.0,+318.21,45,長期(数ヶ月～数年),業績(会社計画の修正発表を含む),なんとなく,90.0,04月08日,21:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3103-ユニチカ/2017-04-08-21-07-57/comment\105.html
ユニチカ(3103)の買い予想。 hhn*x3*3 さんの売買予想。 目標株価： 150円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対,ユニチカ,2011/12/28,23:33,買い予想,hhn*x3*3さん,534.31,43.0,+304.19,150,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),,90.0,04月08日,21:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3103-ユニチカ/2017-04-08-21-07-57/comment\106.html
ユニチカ(3103)の買い予想。 キリンゾウカバ さんの売買予想。 目標株価： 55円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い,ユニチカ,2011/12/28,20:37,買い予想,キリンゾウカバさん,119.52,43.0,+304.19,55,中期(数週間～数ヶ月),チャート,業績回復。割安。そろそろ上昇。,90.0,04月08日,21:11,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/3103-ユニチカ/2017-04-08-21-07-57/comment\107.html
