0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"ユニー・ファミリーマートホールディングス(8028)の買い予想。 twitter88 さんの売買予想。 目標株価： 8,325円 期間： 長期(数ヶ月～数年) 理由： チャート 買い予想 長期 目標株価8,325円",ユニー・ファミリーマートホールディングス,2017/03/27,16:04,買い予想,twitter88さん,-0.95,"6,830.0",-11.28,"8,325",長期(数ヶ月～数年),チャート,,"6,560.0",04月10日,02:27,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8028-ユニー・ファミリーマートホールディングス/2017-04-10-02-27-40/comment\1.html
"ユニー・ファミリーマートホールディングス(8028)の買い予想。 nakayamahideki さんの売買予想。 目標株価： 6,561円 期間： 短期(数分~数日) 理由： チャート 買い予想 短期 目標株価6,561円",ユニー・ファミリーマートホールディングス,2016/10/25,08:10,買い予想,nakayamahidekiさん,0.7,"6,520.0",+1.70,"6,561",短期(数分～数日),チャート,,"6,560.0",04月10日,02:28,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8028-ユニー・ファミリーマートホールディングス/2017-04-10-02-27-40/comment\10.html
"ユニー・ファミリーマートホールディングス(8028)の買い予想。 サボテンの花 さんの売買予想。 目標株価： 3,600円 期間： 中期(数週間~数ヶ月) 理由： チャート 買い",ユニー・ファミリーマートホールディングス,2009/05/05,06:43,買い予想,サボテンの花さん,433.9,"2,665.0",+415.49,"3,600",中期(数週間～数ヶ月),チャート,,"6,560.0",04月10日,02:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8028-ユニー・ファミリーマートホールディングス/2017-04-10-02-27-40/comment\100.html
"ユニー・ファミリーマートホールディングス(8028)の買い予想。 masaruikuko さんの売買予想。 目標株価： 3,500円 期間： 中期(数週間~数ヶ月) 買い",ユニー・ファミリーマートホールディングス,2009/05/04,12:10,買い予想,masaruikukoさん,97.3,"2,665.0",+415.49,"3,500",中期(数週間～数ヶ月),,,"6,560.0",04月10日,02:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8028-ユニー・ファミリーマートホールディングス/2017-04-10-02-27-40/comment\101.html
"ユニー・ファミリーマートホールディングス(8028)の買い予想。 ふじ丸 さんの売買予想。 目標株価： 3,000円 期間： 中期(数週間~数ヶ月) かい",ユニー・ファミリーマートホールディングス,2009/05/01,12:13,買い予想,ふじ丸さん,390.14,"2,660.0",+416.81,"3,000",中期(数週間～数ヶ月),,,"6,560.0",04月10日,02:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8028-ユニー・ファミリーマートホールディングス/2017-04-10-02-27-40/comment\102.html
"ユニー・ファミリーマートホールディングス(8028)の買い予想。 AAI Fund さんの売買予想。 目標株価： 5,000円 期間： 中期(数週間~数ヶ月) 理由： チャート kai",ユニー・ファミリーマートホールディングス,2009/04/22,20:46,買い予想,AAI Fundさん,594.97,"2,700.0",+406.42,"5,000",中期(数週間～数ヶ月),チャート,"ファミリーマートが続伸、ベトナム進出を好感(株式新聞)
2009/04/22(13:51)
http://minkabu.jp/stock/8028/news/22086","6,560.0",04月10日,02:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8028-ユニー・ファミリーマートホールディングス/2017-04-10-02-27-40/comment\103.html
"ユニー・ファミリーマートホールディングス(8028)の買い予想。 Jude-a さんの売買予想。 目標株価： 3,500円 理由： 業績(会社計画の修正発表を含む) 悪いニュースなし",ユニー・ファミリーマートホールディングス,2009/04/21,07:53,買い予想,Jude-aさん,-1637.62,"2,600.0",+432.99,"3,500",,業績(会社計画の修正発表を含む),,"6,560.0",04月10日,02:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8028-ユニー・ファミリーマートホールディングス/2017-04-10-02-27-40/comment\104.html
"ユニー・ファミリーマートホールディングス(8028)の買い予想。 7200 さんの売買予想。 目標株価： 4,000円 期間： 中期(数週間~数ヶ月) 理由： チャート 上げ",ユニー・ファミリーマートホールディングス,2009/04/15,19:14,買い予想,7200さん,632.83,"2,675.0",+412.88,"4,000",中期(数週間～数ヶ月),チャート,,"6,560.0",04月10日,02:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8028-ユニー・ファミリーマートホールディングス/2017-04-10-02-27-40/comment\105.html
ユニー・ファミリーマートホールディングス(8028)の買い予想。 ゆきのした さんの売買予想。 目標株価： 0円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) いくらなんでも,ユニー・ファミリーマートホールディングス,2009/04/15,16:06,買い予想,ゆきのしたさん,-122.01,"2,675.0",+412.88,--,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),いくらなんでも安すぎでは,"6,560.0",04月10日,02:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8028-ユニー・ファミリーマートホールディングス/2017-04-10-02-27-40/comment\106.html
ユニー・ファミリーマートホールディングス(8028)の買い予想。 LightningVolt さんの売買予想。 期間： 長期(数ヶ月～数年) 私とコンビニ,ユニー・ファミリーマートホールディングス,2009/04/11,19:18,買い予想,LightningVoltさん,116.65,"2,795.0",+382.94,--,長期(数ヶ月～数年),,"私の生活圏で最も身近に店舗があり、いつも利用しています。
応援の意味も込めて買いPicksにします。","6,560.0",04月10日,02:31,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8028-ユニー・ファミリーマートホールディングス/2017-04-10-02-27-40/comment\107.html
