概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"リコー(7752)の買い予想。 tai115 さんの売買予想。 目標株価： 1,000円 期間： 短期(数分~数日) 理由： 個人投資家の予想 上がりを期待",リコー,2017/04/06,18:36,買い予想,tai115さん,14.7,892.0,-1.27,"1,000",短期(数分～数日),個人投資家の予想,,889.0,04月10日,01:37,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7752-リコー/2017-04-10-01-37-35/comment\1.html
"リコー(7752)の買い予想。 kdh74 さんの売買予想。 目標株価： 1,039円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 買い予想 長期 目標株価1,039円",リコー,2017/01/24,13:01,買い予想,kdh74さん,-25.42,991.0,-29.55,"1,039",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,889.0,04月10日,01:38,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7752-リコー/2017-04-10-01-37-35/comment\10.html
リコー(7752)の買い予想。 むかちゃん さんの売買予想。 目標株価： 595円 期間： 短期(数分~数日) 理由： 業績(会社計画の修正発表を含む) 買い,リコー,2012/02/06,19:41,買い予想,むかちゃんさん,505.28,598.0,+137.90,595,短期(数分～数日),業績(会社計画の修正発表を含む),,889.0,04月10日,01:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7752-リコー/2017-04-10-01-37-35/comment\100.html
"リコー(7752)の買い予想。 TAROSSA さんの売買予想。 目標株価： 1,200円 期間： 長期(数ヶ月～数年) 理由： その他 そろそろ昇龍",リコー,2012/01/20,08:58,買い予想,TAROSSAさん,379.24,650.0,+104.11,"1,200",長期(数ヶ月～数年),その他,ﾕｰﾛが戻りつつあり､そろそろ…｡,889.0,04月10日,01:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7752-リコー/2017-04-10-01-37-35/comment\101.html
リコー(7752)の買い予想。 タオ_ さんの売買予想。 目標株価： 684円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対,リコー,2011/11/26,22:12,買い予想,タオ_さん,448.78,659.0,+98.81,684,中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/11/26 02:03
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、相対比較の方が連動性が高いことから、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「544円」を割ると割安圏内に入ります。加えて、この銘柄は割高と判断されるも、PBRが一倍割れなことから将来のキャッシュフローが悪化する見通しの場合を除き、長期的には株価が下支えされる可能性があります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、利益関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一取引市場銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一取引市場を対象に利益動向が比較されている可能性があります。
　結果、現在、この銘柄のPERは同一取引市場の平均値よりも高い為、相対比較の観点からは割高と判断されます。

",889.0,04月10日,01:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7752-リコー/2017-04-10-01-37-35/comment\102.html
リコー(7752)の買い予想。 goodknight1987 さんの売買予想。 目標株価： 700円 期間： 長期(数ヶ月～数年) 理由： その他 買い,リコー,2011/11/14,15:09,買い予想,goodknight1987さん,319.77,626.0,+119.01,700,長期(数ヶ月～数年),その他,,889.0,04月10日,01:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7752-リコー/2017-04-10-01-37-35/comment\103.html
"リコー(7752)の買い予想。 きもちゃん さんの売買予想。 目標株価： 1,000円 期間： 中期(数週間~数ヶ月) 理由： その他 かい",リコー,2011/10/13,21:50,買い予想,きもちゃんさん,655.04,685.0,+84.27,"1,000",中期(数週間～数ヶ月),その他,,889.0,04月10日,01:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7752-リコー/2017-04-10-01-37-35/comment\104.html
リコー(7752)の買い予想。 prunus さんの売買予想。 目標株価： 829円 期間： 短期(数分~数日) 理由： チャート kai,リコー,2011/08/03,20:45,買い予想,prunusさん,180.12,795.0,+33.26,829,短期(数分～数日),チャート,,889.0,04月10日,01:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7752-リコー/2017-04-10-01-37-35/comment\105.html
リコー(7752)の買い予想。 DJmomiji さんの売買予想。 目標株価： 920円 期間： 中期(数週間~数ヶ月) 理由： イベント(増資／合弁・買収／分割等) かい,リコー,2011/07/01,18:43,買い予想,DJmomijiさん,247.98,872.0,+5.21,920,中期(数週間～数ヶ月),イベント(増資／合弁・買収／分割等),,889.0,04月10日,01:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7752-リコー/2017-04-10-01-37-35/comment\106.html
"リコー(7752)の買い予想。 これかわぎんぞう2世 さんの売買予想。 目標株価： 1,080円 期間： 中期(数週間~数ヶ月) 理由： チャート KAI",リコー,2011/05/26,10:42,買い予想,これかわぎんぞう2世さん,-377.96,903.0,-4.72,"1,080",中期(数週間～数ヶ月),チャート,,889.0,04月10日,01:41,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/7752-リコー/2017-04-10-01-37-35/comment\107.html
