概要,企業,予想日,予想時刻,売買,ユーザ名,所持ポイント,登録時株価,取得ポイント,目標株価,予想期間,理由,コメント,データ取得時株価,データ取得日,データ取得時間,参照html
"三井不動産(8801)の買い予想。 ひとみん｡｡☆ さんの売買予想。 目標株価： 3,200円 期間： 中期(数週間~数ヶ月) 理由： チャート ･･･騰がりそう☆",三井不動産,2017/04/07,12:49,買い予想,ひとみん｡｡☆さん,0.86,"2,356.5",+1.14,"3,200",中期(数週間～数ヶ月),チャート,,"2,366.5",04月10日,10:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8801-三井不動産/2017-04-10-10-22-18/comment\1.html
"三井不動産(8801)の買い予想。 サラリーマンショク さんの売買予想。 目標株価： 3,302円 期間： 長期(数ヶ月～数年) 理由： その他 個人投資家の意見「買い」に賛成",三井不動産,2016/12/05,08:34,買い予想,サラリーマンショクさん,12.32,"2,716.5",-36.68,"3,302",長期(数ヶ月～数年),その他,,"2,366.5",04月10日,10:22,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8801-三井不動産/2017-04-10-10-22-18/comment\10.html
"三井不動産(8801)の買い予想。 kazu-2010 さんの売買予想。 目標株価： 1,517円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割安」に賛成",三井不動産,2011/05/24,12:29,買い予想,kazu-2010さん,368.84,"1,337.0",+218.85,"1,517",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2011/05/24 03:36
　割安

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割安と判断され、また相対比較で割高と判断されます。しかし、過去比較の方が連動性が高いことから、現在の株価は「割安」と結論付けました。
　但し、この銘柄の株価が「1,517円」を超えると割高圏内に入ります。
　このように、この銘柄は現在の株価水準において割安と判断されますが、この結果は必ずしも今後の株価の上昇を示唆するものではありません。
投資判断においては、株主還元関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄は配当利回りの変動幅が最も狭いことから株主還元策が投資判断で重視されている可能性があります。現状、配当利回りは過去平均値より高い為、過去比較の観点からは割安と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較においてプレミアム評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","2,370.5",04月10日,10:25,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8801-三井不動産/2017-04-10-10-22-18/comment\100.html
"三井不動産(8801)の買い予想。 dover さんの売買予想。 目標株価： 2,500円 期間： 中期(数週間~数ヶ月) 理由： その他 株価診断結果「割高」に反対",三井不動産,2010/12/03,08:57,買い予想,doverさん,75.34,"1,523.0",+157.39,"2,500",中期(数週間～数ヶ月),その他,"【株価分析結果】2010/12/03 03:33
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,429円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","2,370.5",04月10日,10:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8801-三井不動産/2017-04-10-10-22-18/comment\101.html
"三井不動産(8801)の買い予想。 真一文字に邁進せよ！ さんの売買予想。 目標株価： 1,701円 期間： 短期(数分~数日) 理由： チャート 個人投資家の意見「買い」に賛成",三井不動産,2010/12/01,20:04,買い予想,真一文字に邁進せよ！さん,5.26,"1,537.0",+153.37,"1,701",短期(数分～数日),チャート,,"2,370.5",04月10日,10:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8801-三井不動産/2017-04-10-10-22-18/comment\102.html
"三井不動産(8801)の買い予想。 vw6*08 さんの売買予想。 目標株価： 1,669円 期間： 中期(数週間~数ヶ月) 理由： 業績(会社計画の修正発表を含む) 株価診断結果「割高」に反対",三井不動産,2010/11/14,13:19,買い予想,vw6*08さん,198.38,"1,528.0",+155.95,"1,669",中期(数週間～数ヶ月),業績(会社計画の修正発表を含む),"【株価分析結果】2010/11/13 03:33
　割高

  【総論】
　この銘柄は、みんかぶリサーチによる株価診断において過去比較で割高と判断され、また相対比較でも割高と判断されます。結果、現在の株価は「割高」と結論付けました。
　但し、この銘柄の株価が「1,429円」を割ると割安圏内に入ります。
　このように、この銘柄は現在の株価水準において割高と判断されますが、この結果は必ずしも今後の株価の下落を示唆するものではありません。
投資判断においては、売上関連事項を中心に、企業や外部環境の動向に注視してください。


【過去比較】
　過去2年間において、この銘柄はPSRの変動幅が最も狭いことから売上動向が投資判断で重視されている可能性があります。現状、PSRは過去平均値より高い為、過去比較の観点からは割高と判断されます。

【相対比較】
　一方、この銘柄のPERは同一業種分類銘柄の平均値と連動性が高い傾向にあります。つまり、この銘柄の投資判断では同一業種分類を対象に利益動向が比較されている可能性があります。また、この銘柄は相対比較において割引評価される傾向にある為、それを考慮します。
　結果、現在、この銘柄の株価は相対比較の観点で割高と判断されます。

","2,370.5",04月10日,10:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8801-三井不動産/2017-04-10-10-22-18/comment\103.html
三井不動産(8801)の買い予想。 komkom(*~(ｴ)~*) さんの売買予想。 期間： 中期(数週間~数ヶ月) 買い(’(エ)’) ,三井不動産,2010/10/15,13:00,買い予想,komko,268.64,"1,612.0",+133.00,--,中期(数週間～数ヶ月),,,"2,370.5",04月10日,10:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8801-三井不動産/2017-04-10-10-22-18/comment\104.html
"三井不動産(8801)の買い予想。 ライオンキング☆ノノノ さんの売買予想。 目標株価： 1,430円 期間： 短期(数分~数日) 理由： その他 株価診断結果「割高」に反対",三井不動産,2010/09/19,19:31,買い予想,ライオンキング☆ノノノさん,185.54,"1,392.0",+198.97,"1,430",短期(数分～数日),その他,,"2,370.5",04月10日,10:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8801-三井不動産/2017-04-10-10-22-18/comment\105.html
三井不動産(8801)の買い予想。 穏やかﾘﾗｯｸﾏ さんの売買予想。 目標株価： 0円 期間： 短期(数分~数日) かい,三井不動産,2010/09/09,14:41,買い予想,穏やかﾘﾗｯｸﾏさん,75.71,"1,352.0",+213.27,--,短期(数分～数日),,,"2,370.5",04月10日,10:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8801-三井不動産/2017-04-10-10-22-18/comment\106.html
"三井不動産(8801)の買い予想。 ツカジーコ さんの売買予想。 目標株価： 2,000円 期間： 長期(数ヶ月～数年) 理由： 業績(会社計画の修正発表を含む) 個人投資家の意見「売り」に反対",三井不動産,2010/08/19,21:01,買い予想,ツカジーコさん,238.78,"1,412.0",+192.12,"2,000",長期(数ヶ月～数年),業績(会社計画の修正発表を含む),,"2,370.5",04月10日,10:26,C:\Users\naoya\Desktop\nikkei225\minkabu\Output/8801-三井不動産/2017-04-10-10-22-18/comment\107.html
